date,close,volume
2019-08-16,878,407
2019-08-19,881.1,233
2019-08-20,881,205
2019-08-21,884.9,402
2019-08-22,884.8,390
2019-08-23,884.6,216
2019-08-26,882.2,430
2019-08-27,878.9,383
2019-08-28,879.7,265
2019-08-29,882.8,359
2019-08-30,885,342
2019-09-03,884,287
2019-09-04,885.7,200
2019-09-05,886,203
2019-09-06,0,23
2019-09-09,887,143
2019-09-10,0,493
2019-09-11,886.9,292
2019-09-12,888.9,893
2019-09-13,903,2261
2019-09-16,902.1,2978
2019-09-17,906.5,6265
2019-09-18,908,12577
2019-09-19,912.3,22061
2019-09-20,914,51552
2019-09-23,907,57886
2019-09-24,909.9,70421
2019-09-25,911.1,70160
2019-09-26,916.1,72656
2019-09-27,923,87144
2019-09-30,922.1,94594
2019-10-01,930,95532
2019-10-02,920.8,100075
2019-10-03,926,86857
2019-10-04,918.6,94539
2019-10-07,912.2,68447
2019-10-08,916.6,84929
2019-10-09,914.8,73897
2019-10-10,913,76849
2019-10-11,915.5,69772
2019-10-14,922.7,57511
2019-10-15,924.2,52361
2019-10-16,923.6,52186
2019-10-17,918.8,47138
