Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,11885602909,5961779801,0,0,0,296045238,5595752330,0,23739180278,-53184978386,-21351906725,20968005760,-44082585,-5595752330,0,0,-855423483,-36324957471,-24295585709,32409091,0,0,0,0,17536441,-24245640177,0,0,110655289313,-105692566457,0,-172546000,0,4790176856,-55780420792,77821764375,0,22041343583
2010,2,17167869003,6061826662,0,2299403650,0,296045238,7149456478,0,32974601031,-67622772095,-42793345114,44746958422,1191843345,-7149456478,0,6168084124,-7708725833,-40192812598,-21135115053,367590909,0,0,0,0,0,-20767524144,122100000000,0,84958966128,-176791578732,0,-6427454000,0,23839933396,-37120403346,77821764375,163290459,40864651488
2010,3,77156363001,19486990024,0,0,2299403650,10818182,17345626574,0,116299201431,-109349061744,-23444804935,-1183432455,0,-14668126574,0,33139629274,-797000000,-3595003,-63781364888,420112356,0,0,0,0,0,-63361252532,122100000000,0,302624205706,-372746312996,0,-6600000000,0,45377892710,-17986954825,77821764375,0,59834809550
2010,4,23056438905,5540592112,0,0,0,708534403,5977794678,0,35283360098,31932521866,-8803278677,23303920152,1629181934,-5977794678,0,0,-75049629232,2318281463,-87223279240,263330496,-10000000000,0,0,0,610787183,-96349161561,0,0,148166813774,-93535473891,0,-2694272,0,54628645611,-39402234487,59834809550,-44602440,20387972623
2011,1,19161456790,8430913931,0,0,0,-443734080,6886618769,0,34035255410,-26486126382,16426472116,-3691853705,452972587,-6886618769,-3117627018,0,-12793727908,-2061253669,-43664350905,0,0,0,0,0,443734080,-43220616825,0,0,172995745671,-139331584979,0,-727272727,0,32936887965,-12344982529,20196093317,0,7851110788
2011,2,11049166047,8455065863,0,0,0,0,-596512382,8068280375,26975999903,41325208376,-37510457092,-12826345699,765795177,-5773280375,-2809344001,7600000,4875556767,15030733056,-2321511294,0,0,0,-66300000000,0,-372273219,-68993784513,380000000,0,173602972072,-108376179054,0,0,0,65606793018,11643741561,7851110788,19635780,19514488129
2011,3,22560512660,8390988663,0,0,0,-628737884,18411462342,-8068280375,40665945406,18746586449,-21268197375,-14800394619,195119210,-13189169585,-1015003528,10318175920,286048474,19939110352,-28509832719,180000000,0,11597235000,-7000000000,0,1001011103,-22731586616,0,0,221755616384,-195727014925,0,0,0,26028601459,23236125195,19514488129,-19635780,42730977544
2011,4,25129345567,8787201918,0,239182336,0,228548050,10139057863,0,44523335734,14527765760,-2627563523,-27735813751,-119175340,-7079057863,-2483426875,12435903346,-8217694443,23224273045,-22325179804,-86363636,0,-1597235000,-5800000000,0,632896352,-29175882088,0,0,224621249416,-218689180570,0,-9799792400,0,-3867723554,-9819332597,42730977544,9437150,32921082097
2012,1,18266392907,11654485031,0,0,0,-13253236,9031367946,0,38938992648,-16831857765,-7333429135,19680842668,-170214649,-7883867946,-2524260503,9723701152,-16484498665,17115407805,-9064974169,0,0,0,0,0,13253236,-9051720933,5620000000,0,191025963615,-220732497409,0,-1214194713,0,-25300728507,-17237041635,32921082097,0,15684040462
2012,2,12469773383,11638413421,0,16660988,0,772155,8486300044,0,32611919991,37348149887,-36473481042,-3516293358,-51948976,-7338800044,-3060218901,1837069430,7526911754,28883308741,-18463235869,231818182,0,0,0,50000000000,30947232,31799529545,0,0,177073826364,-229003802765,0,-1828000,0,-51931804401,8751033885,15684040462,-13986590,24421087757
2012,3,13246067506,11808921871,0,0,0,-12511273,6523593158,0,31566071262,-5386557507,14584726077,14449502815,-743671523,-9966093158,-1671956012,11135000,-2046045723,40797111231,-8496582034,0,-2147640596,0,0,0,10576356,-10633646274,0,0,172782755676,-204247354293,0,-11835130560,0,-43299729177,-13136264220,24421087757,13986590,11298810127
2012,4,22641343829,11531067889,0,-14203652,-167776939,29387598989,-24041261148,0,39336768968,-23722912283,-40756543952,63221447826,-2066922375,-7616345487,-2860782704,4650000,-1214655034,24324704959,-28781489050,97490909,-2808141164,3455781760,0,0,113000115,-27923357430,122833926549,0,224247039626,-251341648021,0,0,0,95739318154,92140665683,11298810127,-18430330,103421045480
2013,1,21236787206,12006383839,0,0,0,-2002574977,5222906057,0,36463502125,-16561848849,40696388461,-38792510462,-1186847821,-5222906057,-5489617221,27080000,-9076110611,857129565,-37428106400,0,0,0,0,0,2002574977,-35425531423,0,0,242370430736,-214714765209,0,-5192000,0,27650473527,-6917928331,103421045480,0,96503117149
2013,2,16229996601,11387760207,0,2131605775,0,-303113766,4796952169,0,34243200986,-66794431944,-22187844317,84604595037,-1077562928,-4796952169,-5092530101,5600000,-3008715854,15895358710,-94040258488,0,0,0,-33151197105,0,1245895766,-125945559827,0,0,257671207683,-198448003709,0,0,0,59223203974,-50826997143,96503117149,208252456,45884372462
