date,open,high,low,close,volume,unadjusted,putthrough
2020-03-18,12.5024,12.5024,12.5024,12.5024,9690,12.9500,0
2020-03-19,13.3713,13.3713,13.3713,13.3713,12840,13.8500,0
2020-03-20,14.2885,14.2885,14.2885,14.2885,10080,14.8000,0
2020-03-23,15.2539,15.2539,15.2539,15.2539,8110,15.8000,0
2020-03-24,16.3159,16.3159,16.3159,16.3159,210860,16.9000,0
2020-03-25,17.4262,17.4262,17.4262,17.4261,124850,18.0500,0
2020-03-26,18.6329,18.6329,18.5364,18.6329,198820,19.3000,0
2020-03-27,19.9362,19.9362,19.9362,19.9363,91940,20.6500,0
2020-03-30,21.2879,21.2879,21.2879,21.2879,96540,22.0500,0
2020-03-31,22.7361,22.7361,22.6395,22.7360,211060,23.5500,0
2020-04-01,24.2807,24.2807,24.2807,24.2807,99250,25.1500,0
2020-04-03,25.9702,25.9702,25.9702,25.9703,108670,26.9000,0
2020-04-06,27.7564,27.7564,27.7564,27.7563,98590,28.7500,0
2020-04-07,29.6872,29.6872,29.6872,29.6872,67880,30.7500,0
2020-04-08,31.7629,31.7629,31.7629,31.7629,89030,32.9000,0
2020-04-09,33.9834,33.9834,33.9834,33.9834,65630,35.2000,0
2020-04-10,36.3487,36.3487,31.6181,31.6181,311640,32.7500,0
2020-04-13,29.5424,29.5424,29.4459,29.4458,23580,30.5000,0
2020-04-14,27.4184,27.4184,27.4184,27.4184,2390,28.4000,0
2020-04-15,25.5358,25.5358,25.5358,25.5358,2760,26.4500,0
2020-04-16,23.7497,23.7497,23.7497,23.7498,1810,24.6000,0
2020-04-17,23.7498,23.7498,22.1086,22.1085,5300,22.9000,0
2020-04-20,20.5638,20.5638,20.5638,20.5638,2090,21.3000,0
2020-04-21,19.1639,19.1639,19.1639,19.1639,480,19.8500,0
2020-04-22,17.8606,17.8606,17.8606,17.8606,5910,18.5000,0
2020-04-23,16.6538,16.6538,16.6538,16.6538,5730,17.2500,0
2020-04-24,17.8123,17.8123,15.4953,17.8123,493220,18.4500,0
2020-04-27,19.0191,19.0191,17.4744,18.5364,349260,19.2000,0
2020-04-28,17.8606,18.3433,17.2813,17.2813,185300,17.9000,0
2020-04-29,16.0745,16.0745,16.0745,16.0745,141340,16.6500,0
2020-05-04,14.9642,14.9642,14.9642,14.9643,50130,15.5000,0
2020-05-05,13.9506,15.4470,13.9506,14.3850,347130,14.9000,0
2020-05-06,13.9506,15.3504,13.9506,15.3505,150420,15.9000,0
2020-05-07,15.4470,15.4470,14.4816,14.7712,109900,15.3000,0
2020-05-08,14.4816,14.7712,13.9988,14.7712,299560,15.3000,0
2020-05-11,14.3850,14.9643,13.9988,14.3850,230270,14.9000,0
2020-05-12,14.7229,14.9160,14.4815,14.9160,158790,15.4500,0
2020-05-13,14.6746,14.9160,14.1919,14.4816,169550,15.0000,0
2020-05-14,14.1920,14.4816,13.9023,14.0471,203350,14.5500,0
2020-05-15,14.0471,14.4815,13.9023,14.1919,254320,14.7000,0
2020-05-18,13.9988,14.2884,13.7092,13.9023,130190,14.4000,0
2020-05-19,13.9023,14.1919,13.8540,13.9988,227310,14.5000,0
2020-05-20,13.9988,14.0953,13.3713,13.3713,227880,13.8500,0
2020-05-21,13.3230,13.6127,13.3230,13.5161,222900,14.0000,0
2020-05-22,13.5161,13.7092,13.2747,13.7092,227050,14.2000,0
2020-05-25,13.4196,13.8057,13.4196,13.7092,156330,14.2000,0
2020-05-26,13.7092,13.7575,13.3713,13.7575,158340,14.2500,0
2020-05-27,13.7575,13.7575,13.3231,13.3713,111050,13.8500,0
2020-05-28,13.3713,13.4678,13.0334,13.4196,103110,13.9000,0
2020-05-29,13.5161,13.5161,13.1300,13.5161,113420,14.0000,0
2020-06-01,13.5161,13.5644,13.2747,13.5644,234490,14.0500,0
2020-06-02,13.5644,13.7575,13.3230,13.6127,100240,14.1000,0
