Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,4,18146848291,1679332960,411992778,1194323217,0,-7651707616,1225021808,0,15005811438,23172879420,-24293491100,-1738983665,3581112379,-1410682436,-3972208108,-199882930,1441250593,11585805591,-198169091,-593643995349,861720293782,-235317200550,0,0,5378895416,37939824208,0,0,153161131386,-98378156822,0,-17245799100,0,37537175464,87062805263,55269202003,-143295572,142188711694
2015,1,23001284756,1685778464,-1106602733,-81344036,0,2108303966,666609564,0,26274029981,60901748840,5371803493,-11283888177,251987005,-663048356,-3288791129,0,-14077888831,42165050468,-1135064029,0,-50000000000,110000000000,0,0,3678855171,62543791142,2795800,0,146292284040,-194165755840,0,-17245885500,0,-65116561500,39592280110,142188711694,1032443298,182813435102
2015,2,19068656002,1714835798,-9479387264,1644744740,0,-9507360405,855967046,0,4297455917,15028010073,-17110259244,-6730012301,167680064,-715510100,-2587082000,0,31692562109,83816738511,-2356617438,0,50000000000,-110000000000,0,0,1340598074,-61016019364,0,0,185328216845,-172784477463,0,-16764193275,0,-4220453893,18580265254,182813435102,11861749,201405562105
2015,3,19656752641,1796194574,-379754139,550371451,0,-3457421351,766540842,0,18932684018,-26800146684,1303657508,17140978043,-16765450,-768317479,-1450000000,303832069,-10524961615,-10351910017,-1786877005,0,0,110000000000,0,0,4267491545,112480614540,0,0,117204460364,-208559350723,0,-17727577725,0,-109082468084,-6953763561,201405562105,53989043,194505787587
2015,4,9794723020,675831462,-1296345344,-2614594871,0,-2850608692,917072001,0,4626077576,-3720518755,-9143866487,-5209588596,2529691262,-1072300893,14651746258,-253132069,2015876379,25036541063,-1476906254,0,0,-10000000000,0,0,8380141692,-3096764562,0,0,155855159747,-91510440552,0,-16285911300,0,48058807895,69998584396,194505787587,-733438080,263770933903
2016,1,12102110967,1885253337,7113250668,-189231883,0,-2410130540,983171109,0,19484423658,29443908198,2138765988,-15627967284,-247019743,-563739600,-3756602945,1394161632,-1041800583,-32171262347,-1050517389,0,0,0,0,0,3143464540,2092947151,0,0,152352936261,-137259251582,0,-8048079900,0,7045604779,-23032710417,263770933903,13794698,240752018184
2016,2,15023236544,1739209270,-7113250668,557226875,0,-3987133518,2013674537,0,8232963040,10429250721,10918238288,1951822627,105891491,-2380867810,-1266000000,-1394161632,-992124717,89000403676,-1550558954,0,-32310000000,0,0,0,3127577296,-30732981658,0,0,198742316248,-129361419587,0,5985,0,69380902646,127648324664,240752018184,-111389172,368288953676
2016,3,17729639836,1793836004,0,-116428197,0,-5063180156,2234133998,0,16578001485,-10420799305,16189994641,-433648889,-170900269,-2110022776,0,0,-587575467,19045049420,699344552,0,0,0,0,0,4497079461,5196424013,0,0,90583438250,-181610170914,0,-28743121125,0,-119769853789,-95528380356,368288953676,97594474,272858167794
2016,4,9291593561,1612970863,1797085930,238175371,0,-5627063159,1255182483,0,8567945049,12083004720,-4570822280,-1513633845,3130052695,-1388132983,-1200000000,0,297278829,15405692185,-1372927632,0,-150000000000,2000000000,0,0,1176689555,-148196238077,0,0,280491727372,-198102670788,0,0,0,82389056584,-50401489308,272858167794,242810861,222699489347
2017,1,12051793040,1696726020,0,-60476652,0,-5056984408,2116023924,0,10747081924,-28908763862,14467513820,-5970446759,-6947582436,-2176135035,0,0,-2830584189,-21618916537,-2191437683,0,179000000000,0,0,0,6231202600,183039764917,0,0,192195028600,-178508852570,0,-22994514000,0,-9308337970,152112510410,33699489347,17947526,185829947283
