Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2009,4,2930526000000,-2113090000000,817436000000,268450000000,-34045000000,234405000000,-162143000000,-88637000000,477636000000,136320000000,-20739000000,115581000000,4372000000,1398650000000,-528057000000,870593000000,-5156000000,865437000000,-198562000000,0,-198562000000,666875000000,0,0
2010,1,3024255000000,-2298875000000,725380000000,157968000000,-30675000000,127293000000,104613000000,3881000000,55935000000,20562000000,-20090000000,472000000,20245000000,1037819000000,-442378000000,595441000000,-17059000000,578382000000,-139720000000,0,-139720000000,438662000000,0,0
2010,2,3393979000000,-2390245000000,1003734000000,154385000000,-36136000000,118249000000,170732000000,15009000000,-9310000000,42456000000,-21544000000,20912000000,27437000000,1346763000000,-500705000000,846058000000,-90947000000,755111000000,-185574000000,1010000000,-184564000000,570547000000,0,0
2010,3,3859469000000,-2722308000000,1137161000000,176472000000,-32840000000,143632000000,44662000000,-46736000000,1713000000,32848000000,-27222000000,5626000000,26821000000,1312879000000,-570894000000,741985000000,-74795000000,667190000000,-188514000000,0,-188514000000,478676000000,0,0
2010,4,4693068000000,-3384857000000,1308211000000,473317000000,-41056000000,432261000000,-128903000000,51656000000,-2702000000,164544000000,-141426000000,23118000000,111975000000,1795616000000,-646043000000,1149573000000,-44655000000,1104918000000,-253786000000,0,-253786000000,851132000000,0,0
2011,1,5116139000000,-3847628000000,1268511000000,359546000000,-38768000000,320778000000,-29797000000,-21101000000,-10572000000,65654000000,-94611000000,-28957000000,5449000000,1504311000000,-564881000000,939430000000,-76004000000,863426000000,-227257000000,0,-227257000000,636169000000,0,0
2011,2,6333721000000,-4644478000000,1689243000000,211048000000,-151909000000,59139000000,-74122000000,-89002000000,101636000000,29299000000,-57199000000,-27900000000,23184000000,1682178000000,-722503000000,959675000000,-137214000000,822461000000,-253613000000,-5250000000,-258863000000,563598000000,0,0
2011,3,6831577000000,-5223671000000,1607906000000,203715000000,-60412000000,143303000000,-83713000000,73481000000,5503000000,32805000000,-28561000000,4244000000,13314000000,1764038000000,-793307000000,970731000000,-91767000000,878964000000,-225552000000,5250000000,-220302000000,658662000000,0,0
2011,4,7171498000000,-5137603000000,2033895000000,372814000000,-62500000000,310314000000,26497000000,326629000000,-214044000000,76478000000,-25378000000,51100000000,176230000000,2710621000000,-1066774000000,1643847000000,10190000000,1654037000000,-293886000000,0,-293886000000,1360151000000,0,0
2012,1,6389062000000,-4777386000000,1611676000000,220560000000,-47005000000,173555000000,67111000000,169936000000,14318000000,24840000000,-29943000000,-5103000000,41912000000,2073405000000,-851466000000,1221939000000,-119466000000,1102473000000,-265268000000,0,-265268000000,837205000000,0,0
2012,2,6334542000000,-4247661000000,2086881000000,244750000000,-53563000000,191187000000,-173887000000,95189000000,-6457000000,28052000000,-24311000000,3741000000,68355000000,2265009000000,-1075075000000,1189934000000,-183835000000,1006099000000,-233006000000,-2679000000,-235685000000,770414000000,0,0
2012,3,5067660000000,-3462920000000,1604740000000,225909000000,-52590000000,173319000000,-1144459000000,-28485000000,-9927000000,21368000000,-27389000000,-6021000000,895000000,590062000000,-1007422000000,-417360000000,-274103000000,-691463000000,170793000000,0,170793000000,-520670000000,0,0
2012,4,4504556000000,-2910160000000,1594396000000,225376000000,-60870000000,164506000000,-612408000000,19353000000,-210977000000,23589000000,-14490000000,9099000000,33884000000,997853000000,-1303101000000,-305248000000,89862000000,-215386000000,56827000000,0,56827000000,-158559000000,0,0
2013,1,4183337000000,-2951522000000,1231815000000,221399000000,-50123000000,171276000000,-83960000000,29885000000,49736000000,14746000000,-17499000000,-2753000000,45376000000,1441375000000,-844465000000,596910000000,-202015000000,394895000000,-87865000000,0,-87865000000,307030000000,0,0
2013,2,3915141000000,-2836059000000,1079082000000,250184000000,-53727000000,196457000000,30294000000,52722000000,236694000000,25071000000,-25257000000,-186000000,14577000000,1609640000000,-1001974000000,607666000000,-56928000000,550738000000,-141007000000,0,-141007000000,409731000000,0,0
2013,3,3855297000000,-2666673000000,1188624000000,253061000000,-57312000000,195749000000,10136000000,-20410000000,184598000000,212434000000,-200558000000,11876000000,470000000,1571043000000,-954914000000,616129000000,-82197000000,533932000000,-133109000000,0,-133109000000,400823000000,0,0
2013,4,3251298000000,-2364406000000,886892000000,271999000000,-65061000000,206938000000,-34086000000,7335000000,-74633000000,-175512000000,198376000000,22864000000,11759000000,1027069000000,-1333952000000,-306883000000,-137583000000,-444466000000,141558000000,9782000000,151340000000,-293126000000,0,0
2014,1,3384086000000,-2329110000000,1054976000000,256962000000,-56446000000,200516000000,51249000000,105614000000,9680000000,15756000000,-2785000000,12971000000,4732000000,1439738000000,-951191000000,488547000000,-170294000000,318253000000,-80207000000,11972000000,-68235000000,250018000000,0,0
2014,2,3616264000000,-2248411000000,1367853000000,182507000000,-63264000000,119243000000,42672000000,-2210000000,96702000000,40754000000,-2885000000,37869000000,10944000000,1673073000000,-852357000000,820716000000,-408430000000,412286000000,-86943000000,-2085000000,-89028000000,323258000000,0,0
2014,3,3577301000000,-2579458000000,997843000000,246585000000,-62474000000,184111000000,39873000000,39558000000,74958000000,30581000000,-36698000000,-6117000000,6165000000,1336391000000,-910257000000,426134000000,-85669000000,340465000000,-76271000000,0,-76271000000,264194000000,0,0
2014,4,3474648000000,-2129687000000,1344961000000,258628000000,-68058000000,190570000000,49840000000,-32589000000,49307000000,19507000000,-15171000000,4336000000,670000000,1607095000000,-1149802000000,457293000000,-312896000000,144397000000,-27672000000,-2393000000,-30065000000,114332000000,0,0
2015,1,3399672000000,-2010084000000,1389588000000,222390000000,-54196000000,168194000000,20837000000,37519000000,-30117000000,20127000000,-1089000000,19038000000,4759000000,1609818000000,-1003078000000,606740000000,-247475000000,359265000000,-78551000000,0,-78551000000,280714000000,0,0
2015,2,3428453000000,-2061092000000,1367361000000,242506000000,-73796000000,168710000000,26289000000,-31667000000,-8252000000,64335000000,-1731000000,62604000000,74000000,1585119000000,-969977000000,615142000000,-243529000000,371613000000,-81722000000,0,-81722000000,289891000000,0,0
2015,3,3565615000000,-2093895000000,1471720000000,270028000000,-71160000000,198868000000,8573000000,3430000000,269790000000,74473000000,-28298000000,46175000000,6152000000,2004708000000,-1317054000000,687654000000,-327986000000,359668000000,-75635000000,0,-75635000000,284033000000,0,0
2015,4,3688052000000,-2033194000000,1654858000000,286065000000,-76611000000,209454000000,64925000000,-40577000000,-993182000000,116576000000,-1910000000,114666000000,10500000000,1020644000000,-731574000000,289070000000,-65465000000,223605000000,-47920000000,-1000000,-47921000000,175684000000,0,0
2016,1,3735096000000,-2153526000000,1581570000000,268709000000,-67438000000,201271000000,42564000000,-4005000000,-183604000000,61265000000,-1318000000,59947000000,1000000,1697744000000,-1075047000000,622697000000,-233447000000,389250000000,-78974000000,0,-78974000000,310276000000,0,0
2016,2,4014125000000,-2307046000000,1707079000000,306181000000,-83248000000,222933000000,56231000000,-6090000000,-278268000000,48290000000,-13192000000,35098000000,10264000000,1747247000000,-1171007000000,576240000000,-137047000000,439193000000,-85958000000,-516000000,-86474000000,352719000000,0,684
2016,3,4142504000000,-2485527000000,1656977000000,319368000000,-82987000000,236381000000,51701000000,7608000000,-140336000000,22006000000,10832000000,32838000000,5945000000,1851114000000,-1243131000000,607983000000,-192153000000,415830000000,-79724000000,-2284000000,-82008000000,333822000000,0,0
2016,4,4556524000000,-2610261000000,1946263000000,379873000000,-96076000000,283797000000,79600000000,74570000000,-283755000000,164724000000,-7427000000,157297000000,8601000000,2266373000000,-1188704000000,1077669000000,-654940000000,422729000000,-93910000000,-462000000,-94372000000,328357000000,0,0
2017,1,4647289000000,-2739222000000,1908067000000,335144000000,-87219000000,247925000000,66684000000,39679000000,45285000000,365781000000,-3077000000,362704000000,5553000000,2675897000000,-1473788000000,1202109000000,-607321000000,594788000000,-130399000000,13777000000,-116622000000,478166000000,0,0
2017,2,5002035000000,-2982147000000,2019888000000,388420000000,-95426000000,292994000000,58518000000,13181000000,326630000000,49410000000,-3513000000,45897000000,17912000000,2775020000000,-1748457000000,1026563000000,-359174000000,667389000000,-160453000000,-4988000000,-165441000000,501948000000,0,0
2017,3,5193635000000,-3046421000000,2147214000000,401477000000,-92784000000,308693000000,54375000000,-26107000000,2535000000,78441000000,-37366000000,41075000000,7559000000,2535344000000,-1268654000000,1266690000000,-524844000000,741846000000,-198964000000,3915000000,-195049000000,546797000000,0,0
2017,4,5476680000000,-3094095000000,2382585000000,449627000000,-110908000000,338719000000,57152000000,-1448000000,228629000000,458807000000,-16841000000,441966000000,5045000000,3452648000000,-1726460000000,1726188000000,-1074004000000,652184000000,-66325000000,5361000000,-60964000000,591220000000,0,0
2018,1,5585859000000,-3213048000000,2372811000000,462763000000,-109819000000,352944000000,78423000000,5392000000,137835000000,379995000000,-29390000000,350605000000,5366000000,3303376000000,-1679283000000,1624093000000,-134006000000,1490087000000,-347980000000,2379000000,-345601000000,1144486000000,0,0
2018,2,5804195000000,-3315933000000,2488262000000,510894000000,-117185000000,393709000000,68586000000,-34164000000,-74923000000,395040000000,-39477000000,355563000000,8012000000,3205045000000,-1232830000000,1972215000000,-311286000000,1660929000000,-343016000000,0,-343016000000,1317913000000,0,0
2018,3,6007831000000,-3444588000000,2563243000000,525726000000,-197304000000,328422000000,160887000000,-18545000000,123170000000,249778000000,-57895000000,191883000000,11381000000,3360441000000,-1520206000000,1840235000000,-214904000000,1625331000000,-315434000000,-475000000,-315909000000,1309422000000,0,0
2018,4,6617477000000,-3678873000000,2938604000000,595216000000,-172765000000,422451000000,-66506000000,-31012000000,-17548000000,927489000000,-10769000000,916720000000,1628000000,4164337000000,-2279898000000,1884439000000,-272215000000,1612224000000,-292988000000,45995000000,-246993000000,1365231000000,0,3999
2019,1,6535477000000,-3678937000000,2856540000000,540578000000,-169131000000,371447000000,80552000000,26120000000,18446000000,136198000000,-2466000000,133732000000,3325000000,3490162000000,-1798929000000,1691233000000,15661000000,1706894000000,-371594000000,30589000000,-341005000000,1365889000000,0,0
2019,2,6811805000000,-3908801000000,2903004000000,707878000000,-187775000000,520103000000,68747000000,-3942000000,-26749000000,480648000000,-1109000000,479539000000,7947000000,3948649000000,-1922154000000,2026495000000,-111156000000,1915339000000,-365036000000,-17560000000,-382596000000,1532743000000,0,0
2019,3,7285383000000,-4262358000000,3023025000000,726617000000,-207479000000,519138000000,142048000000,51801000000,11967000000,88345000000,-4425000000,83920000000,16957000000,3848856000000,-1843617000000,2005239000000,-66466000000,1938773000000,-400951000000,11390000000,-389561000000,1549212000000,0,0
