Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,26703066378,2797046807,0,0,0,-972905519,9175260230,0,37702467896,-65372494309,-4333310481,-11837832176,209880495,-9367389153,-235866555,0,-378898645,-53613442928,-1634817402,0,0,0,0,35652435100,338590482,34356208180,0,0,259911115485,-298523611572,0,0,0,-38612496087,-57869730835,63657269847,871158522,6658697534
2010,2,48749815199,5616019270,0,-2779875664,0,-2566666000,16429023336,0,65448316141,-82568084346,-68698599756,-7531956346,434730893,-16730769785,-4759037511,0,-401771355,-114807172065,-3370494795,0,0,50000000,0,35652435100,1957349587,34289289892,39920204200,0,610723897193,-614834626084,0,-13500000000,0,22309475309,-58208406864,63657269847,868063218,6316926201
2010,3,53460379388,8468184261,0,0,0,-4731416356,24328678707,0,81525826000,-73951363638,-105270003817,5479951386,-791226522,-24708689338,-8122005252,0,-524671355,-126362182536,-1696688155,0,0,50000000,-1530000000,44052435100,5051570097,45927317042,39920224200,0,926654351298,-927874166835,0,-13500000000,0,25200408663,-55234456831,63657269847,961955059,9384768075
2011,1,23636678266,3514978369,0,0,0,0,16091548769,0,43243205404,7734933620,-79616289890,-22209475491,487388572,-16151969738,0,0,-4742058800,-71254266323,-164502992,0,0,0,0,0,0,-164502992,0,0,439688811613,-390230553682,0,-10477204050,0,38981053881,-32437715434,42358163642,1802520,9922250728
2011,2,56184394028,4745150277,5902660547,-3427752818,0,-459920678,14262687925,0,77207219281,-6085075836,70886438390,3251409702,379140758,-14646317048,0,0,-212800000,130780015247,-14687177554,0,0,0,0,0,69630555,-14617546999,0,0,310333111921,-393973114971,0,-522795950,0,-84162799000,31999669248,9922250728,18775807,41940695783
2011,3,33262456947,4288144372,2599744238,0,0,-343765013,5296823244,0,45103403788,16366743055,-197906647,29907324511,-2624310542,-5477084619,-3973650283,0,-1838105369,77266413894,-3628837550,0,0,0,-5000000000,10000000000,637405013,2008567463,7198,0,238236781548,-341770524318,0,0,0,-103533735572,-24258754215,41940695783,-20578327,17661363241
2011,4,9571344320,4023265646,0,1911463059,0,-531804072,8395374854,0,23369643807,-62967005747,-33027826720,15508353802,-329800732,-7967007719,0,0,728969045,-64684674264,2197008686,0,0,0,-10600000000,6530000000,354519131,-1518472183,-7198,0,425351648882,-318074341482,0,-27500000000,0,79777300202,13574153755,17661363241,305390998,31540907994
2012,1,558503060,4048886673,0,0,0,-755527684,10053927422,0,13905789471,75350197723,-19202289925,-10024452889,741352802,-10482294557,0,0,-295186444,49993116181,-1043640117,0,0,0,0,34868623,740749906,-268021588,0,0,440855624985,-472604483488,0,-36799350000,0,-68548208503,-18823113910,31508039371,0,12684925461
2012,2,16668989447,4059199913,-768535950,-291458040,0,-723107430,6815800858,0,25760888798,-21212405175,5497034970,17707564559,633948979,-5889679630,-75208629,0,-614659093,21807484779,-2831911571,0,0,0,0,-2000000,752662986,-2081248585,0,0,316351776720,-335697354597,0,0,0,-19345577877,380658317,12684925461,-270108,13065313670
2012,3,2696605360,3982104154,0,-15750860,0,-252211230,5125942910,0,11536690334,2113988328,5712691780,-24826770439,502063596,-4993407280,-1517626251,0,-2187763524,-13660133456,-4970059237,0,0,0,0,0,222655674,-4747403563,0,0,367677110645,-332366560387,0,0,0,35310550258,16903013239,13065313670,270108,29968597017
2012,4,-2866848995,4202356614,0,8051827,0,-369497711,5371774669,0,6345836404,-10017582356,-78431762090,35109665106,-116171109,-5750789101,0,487035231,1976378640,-50397389275,-26721755938,0,0,0,0,0,369497711,-26352258227,0,0,465014586588,-408249953980,0,0,0,56764632608,-19985014894,29968597017,7108312,9990690435
2013,1,-7554022680,4472300229,0,0,0,-44084812,6337838233,0,3212030970,11337952748,37303690345,-75598466405,136590881,-6248510701,0,0,-3760575664,-33617287826,-10656678619,0,0,0,0,0,44084812,-10612593807,0,0,292844220778,-248429003390,0,0,0,44415217388,185335755,9990690435,0,10176026190
2013,2,841755626,5446682890,0,-50355952,0,-38541259,8204107909,0,14403649214,-14894053591,10284032219,29677361788,-192952910,-8392635964,0,0,-1700000,30883700756,-15874199998,0,0,0,0,0,38541259,-15835658739,0,0,396188855982,-408220849810,0,-8279853750,0,-20311847578,-5263805561,10176026190,78755431,4990976060
