Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,583326322.0785,583326322.0785,21238.6830128073,12015.4733546428,21232.9063912604,4210.85040912906,1498.64123455817,1498.64123455817,1470.33118733253,0,0,2.23108991031241,3.01298919248534,3.17446161147525,0.45708683085425,0.253197661414576,0.481785898368517,0.266879407882846,0.342262991269417,0.189592399361439,0.803875219736504,0.445296849454219,0.0705618721111127,0.0661421269161074,0.0390868863366248,10.4358381984753,34.9756285080509,9.79821306200005,37.2516904552283,2.73734464900698,133.34090032558,753244694.249973,94149234.2232133,0,0,0,0.311002065719547,0.361087830098891,0.171043816792455,0.163106240464738,0.124991566408523,0.162844390521689,0.313382169437055,0.565735330547438,-0.0381146740562147,0,0,49.2345988476377,49.2345988476377,50.1825715428511,3.47408546732895,6.14083172773958,3.47503062653591,17.5225887483524,6.3277582718097,17.5241526973554,36.9949548044044,0,0,0,0,0,0,0,0,0,0
2012,0,627142811.135,627142811.135,23574.4539161567,12773.6418020098,23557.505627465,3396.89732257079,2403.31584253391,2403.31584253391,2336.60409828936,0,0,1.43779372739202,2.21035301517288,2.3105189042743,0.506373605353181,0.248839980252875,0.524676606106216,0.257834363644515,0.522226861416166,0.25663052044682,1.03008108313596,0.506198098946393,0.110930102824874,0.0119623618330323,0.0574701009095168,10.7019921636567,34.1057995949126,12.5554021702674,29.0711516086964,2.35424297503072,155.039222319539,860923979.381408,162290559.185384,0,0,0,0.202098022549452,0.268335770338515,0.0302317057649269,0.249330963982217,0.188507421180199,0.17311976420695,0.30545401913114,0.589594331908982,-0.0608235428020179,0,0,30.7013330059046,30.7013330059046,31.577878363741,3.12987101471868,5.77634797841211,3.13212277933094,21.7212924010783,6.45590001106794,24.0590361952997,213.5473287967,0.142953924472915,-0.257275904368392,0.613812592403724,0,0.747166772798609,0.723758674453138,0.603663229807273,0.34523926996777,0.193404452069922,0.0751148840675897
2013,0,1061086286.0436,1061086286.0436,15999.6866556519,8998.79275800258,16012.7412521444,4217.93347595588,2164.83148364111,2164.83148364111,2165.59838499466,0,0,1.40434546864356,2.01156959883631,2.12037003109635,0.508825368393534,0.249230747040558,0.524181531562584,0.256752439660528,0.524588732345168,0.25695189307135,1.03625154362992,0.507572464706733,0.144638872425746,0.0197746350565101,0.0709539462308953,11.0037840055582,33.170407544862,14.4500609597279,25.259409009917,2.37202331147325,153.877071205215,1026168252.17249,247309426.880817,0,0,0,0.219563470258162,0.268212690987914,0.0498282888624283,0.327814711908332,0.241002804712815,0.121959649766248,0.294942060072209,0.601236284461872,-0.0868119071955167,0,0,34.0834843532016,34.0834843532016,34.0714144004046,4.61165281470906,8.19943318890008,4.60789310450633,17.4931635173024,8.87739559907087,33.0983428352049,178.159752256005,0.191938285781994,0.29494639808176,0.342660721452349,0,0.567133498084109,0.523868228208615,-0.0992313846861519,0.152040921887441,0.148290234448937,0.691937254487939
2014,0,1627443019.0554,1627443019.0554,12080.7334840187,6485.45655887243,12538.883068992,1653.2782579704,1617.36759605492,1617.36759605492,1594.57889130121,0,0,0.520728244158836,0.968460557008327,2.52010460188855,0.59872549368442,0.280270723579996,0.610905708643054,0.285972431116798,0.367978837530957,0.172255392738107,1.13623986849818,0.531887774052724,0.140502532375698,0.043654287873588,0.0671185523736881,10.6205182367735,34.3674378088435,14.313662532115,25.5001121607459,3.42793695384393,106.478037640309,1134305319.94884,283054081.352499,0,0,0,0.290456614531376,0.329770373147457,0.128189668754618,0.32284238391106,0.249539587247342,0.087896680339804,0.269137613969593,0.563398866378186,-0.0733027966637177,0,0,45.6204267848423,45.6204267848423,46.2724048352289,6.10765895113972,11.3769939448686,5.88449542068594,44.629510878937,12.19371025741,36.9763667397665,95.1224102213051,0.105379471200187,0.462286866753297,0.66917324286634,0,0.0886129592268148,0.144534136537011,-0.25288984002828,0.262852913391401,0.206896119581819,0.533751816851328
2015,0,1709326931.2227,1709326931.2227,11600.803591892,7706.4013372254,12018.3243592407,2464.92004783259,1001.69865167819,1001.69865167819,903.949851337093,0,0,0.551497563470514,0.978227988624911,2.67635921894209,0.636383369235023,0.292493261497607,0.651315278567289,0.299356236037986,0.395405164144844,0.181735337007228,1.1757197618046,0.540381984134494,0.0833101749854213,0.0516932716098445,0.0386403745187847,10.0111065703334,36.4595059932364,15.4250872290941,23.6627511131058,6.40600931506915,56.977750429022,1415664626.38689,188404157.564535,0,0,0,0.266970480089158,0.417251345681219,0.143103406309352,0.172889051090207,0.133085304282404,0.113367776412984,0.297273270123276,0.640932922128351,-0.0398037468078024,0,0,67.8617265642866,67.8617265642866,75.1999681170926,5.85968027658967,8.82084867182305,5.65611294620563,27.5777707515391,9.50105206567218,22.7705726153152,66.3929134232725,0.248045479016825,0.14712932684903,0.652311420537634,0.572413962085682,-0.331644761227866,-0.334388125886417,-0.380661109990375,0.0246618688666893,0.00606869249894992,0.0503144572243317
