Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2013,1,23025346,5929145612,-7209856488,0,0,-937218664,8808064742,0,6613160548,25803516401,-74562290891,-408205896,90058804,-7994771543,0,238353028544,-243710410554,-55815914587,-9620925666,54545455,0,0,-37700000000,37700000000,4248149780,-5318230431,0,0,703011270235,-686734697909,0,0,0,16276572326,-44857572692,215269032463,0,170411459771
2013,2,418624403,5836518844,-5342478876,0,0,14965278017,11001282227,0,26879224615,-109824884675,96415009664,-17063128101,-829281865,-12144898297,-2500000,-223386493711,199318797265,-40638155105,6806619321,19090909,0,0,37700000000,-37700000000,9218091036,16043801266,0,0,564761387243,-608171575291,0,70000000,0,-43340188048,-67934541887,170411459771,9693927,102486611811
2013,3,148185709,5689521198,-3769376231,0,0,0,-29777754872,10290325429,-17419098767,-14710057998,31146675395,-3582030884,1420088664,-10373801749,0,-14528382504,42195701978,14149094135,962095440,32640693,0,0,0,0,-3169160562,-2174424429,1846229735405,-1948337532076,-1267772657478,1294906273200,0,-6845532000,0,-81819712949,-69845043243,102486611811,-10123005,32631445563
2014,1,128979088,5420414428,-12273585746,0,0,-5960498021,5232209075,0,-7452481176,11737956997,55189876976,-21146639635,-828786856,-5389263567,0,55095352,-5400464249,26765293842,-4038113727,340547000,0,0,0,0,4374704346,677137619,0,0,341340007966,-402944793615,0,-19000000,0,-61623785649,-34181354188,46481790475,0,12300436287
2014,2,110521973,4931816126,-1989290831,1124054504,0,-2786440883,4964438223,0,6355099112,82344656460,-77994725957,25239654743,342259706,-4978492747,0,4049856663,2534159055,37892467035,1312239678,-340547000,-15900000000,8462752947,0,0,-4374704346,-10840258721,0,0,406342921303,-409517498871,0,-46645000,0,-3221222568,23830985746,12300436287,84156360,36215578393
2014,3,4497346,2655478095,-4332065196,0,0,-3300520245,4710547590,0,-262062410,-67289303534,-138206389681,2418500428,34381500,-4923207558,0,-3491297223,-1323011581,-213042390059,-492882727,0,-33000000000,0,0,0,1876207407,-31616675320,0,0,758962120111,-423361157393,0,-3800000,0,335597162718,90938097339,36215578393,-84268003,127069407729
2015,1,18672262,4883758876,-2919554892,1703573119,0,-401566789,3431292384,0,6716174960,-525002912,-126015945949,12745596166,-1496369105,-3982945141,0,301750719,-9459621705,-121716362967,-727416500,327825032,-35700000000,33000000000,0,0,1618651052,-1480940416,0,0,463463008153,-496307968489,0,0,0,-32844960336,-156042263719,164841322053,1189442,8800247776
2015,2,1253551333,4806947386,2493417678,-1617235137,0,-4344115814,6506610471,0,9099175917,-63907545496,51797139408,5029769205,546010664,-5700931989,0,60654476,6671628317,3595900502,-1101527009,25575455,0,4300000000,-6000000000,0,1155948366,-1620003188,0,0,394852613625,-392386116730,0,0,0,2466496895,4442394209,8800247776,-3616697,13239025288
2015,3,1322633476,4928991887,586791725,-71789930,0,-274281273,5938761235,0,12431107120,-3075816601,-14116685812,-14846619728,4842397611,-5732135775,0,-102126294,1249400090,-19350479389,-189707711,-8605000,35700000000,-300000000,-12750000000,0,229614871,22681302160,0,0,444188195173,-445996922817,0,0,0,-1808727644,1522095127,13239025288,2415322,14763535737
2015,4,-1235472435,4653116213,343170718,-9426789,0,-838034933,5822961067,0,8736313841,91824678666,97137243278,27616766475,-15620329557,-5847642882,0,5190471715,-444833702,208592667834,-672351611,0,-35700000000,0,0,0,3204460922,-33167890689,0,0,271738419561,-408739067466,0,-19635000000,0,-156635647905,18789129240,14763535737,-5541105,33547123872
2016,1,-7727602741,4647656503,-1860360219,23894001,0,-1516685407,5491141011,0,-941956852,-54442532627,50434339411,-3798786134,332528338,-4969086086,0,1298213421,-10243185598,-22330466127,-2071423598,320000000,0,0,0,0,1751658,-1749671940,0,0,425709521475,-427777240951,0,-304000,0,-2068023476,-26148161543,33547123872,-3549585,7395412744
2016,2,-186257241,4568221396,31045376,-23275879,0,-3940501580,4366636806,0,4815868878,119866659795,-7120701017,3707894642,1652924809,-4910624269,0,-1211481694,-93281726,116707259418,-789833878,0,-1700000000,0,0,0,2741040884,251207006,0,0,145153548569,-259081626791,0,0,0,-113928078222,3030388202,7395412744,2931463,10428732409
2016,3,12342912566,4544277702,-848918442,10674342,0,-854644599,3706669419,0,18900970988,-18482968876,47415140585,12273592545,1014024536,-4422556950,0,0,-1103698985,55594503843,-295855792,749459999,0,0,0,0,2440308446,2893912653,0,0,142606769312,-198350934359,0,0,0,-55744165047,2744251449,10428732409,588887,13173572745
2016,4,3764899876,4465468581,-2995211058,-11292464,0,-890748864,2454224406,0,6787340477,29775747623,12539489539,10102979236,2206385042,-2505396534,0,0,-976658730,57929886653,-7342036292,382090909,-71063500,1700000000,0,0,23253155,-5307755728,0,0,179380444092,-230803825487,0,0,0,-51423381395,1198749530,13173572745,498143,14372820418
2017,1,1201489569,4344034571,-691813600,110151,0,-447327,1743680580,0,6597053944,-21573791140,-24644079796,-26871596489,1651178898,-1759934536,0,0,-626912880,-67228081999,-236162000,0,0,919100000,0,0,2409400,685347400,0,0,201921509933,-146632317088,0,0,0,55289192845,-11253541754,14372820418,-110151,3119168513
2017,2,1361171373,4191518365,-461377368,4492019,0,-2178549219,2047072690,0,4964327860,11798965637,2966077129,19403778339,661328678,-2003085032,0,0,236912880,38028305491,-848991545,0,0,-960100000,112063500,0,1034947,-1695993098,0,0,157710077374,-189122923646,0,0,0,-31412846272,4919466121,3119168513,427981,8039062615
2017,3,19099312541,3996964595,-426405701,-4398140,0,-18102008598,1541402578,0,6104867275,-4574932969,43903230128,-19137319196,2181124292,-1702080836,0,0,0,26774888694,-1174402727,44442914524,-41000000,153063500,-112063500,0,2177148311,45445660108,0,0,182700582934,-257906463246,0,0,0,-75205880312,-2985331510,8039062615,-521861,5053209244
2017,4,3151288403,3146803083,-64187204,20193,0,-241953208,341077307,0,6333048574,17614418675,110829814861,-12114352136,1258473859,-395386305,-1082633020,0,0,122443384508,-1219833545,-23036817,-5300000000,0,0,0,264022844,-6278847518,0,0,52232397193,-104371939009,0,0,0,-52139541816,64024995174,5053209244,190560,69078394978
2018,1,-5506383184,3031758787,-398138255,0,0,-1016379660,223944140,0,-3665198172,-15798062770,-106362537605,25871266342,290177774,-102133371,-388814776,0,0,-100155302578,-236755909,12272727,0,0,0,0,1004106933,779623751,0,0,118462538675,-39816128943,0,0,0,78646409732,-20729269095,74378394978,297066,53649422949
2018,2,6756187170,2928829169,-600000000,-69889731,0,-2072421236,1556347241,0,8499052613,-12325124678,-23548817375,-4069625815,1234911122,-1551639065,-144284288,0,0,-31905527486,0,0,0,0,0,0,2072421236,2072421236,0,0,222616727556,-227975104190,0,-12250000000,0,-17608376634,-47441482884,53649422949,465053,6208405118
2018,3,4676374024,2783296179,0,54918704,0,-611873194,1481444124,0,8384159837,2538619837,-8997913662,-4804177716,1759823423,-1482614049,-299208592,0,-50000000,-2951310922,-210000000,0,0,0,0,0,611873194,401873194,0,0,213635501041,-214667087841,0,0,0,-1031586800,-3581024528,6208405118,-655749,2626724841
2018,4,1286243462,2832123068,1515256689,32361248,0,-901691,1062928931,0,6728011707,-5246161848,-6481709820,-11818602842,922495191,-826685196,-570000000,0,0,-17292652808,0,0,0,0,0,0,221835836,221835836,0,0,165266230636,-144833004674,0,0,0,20433225962,3362408990,2626724841,-863886,5988269945
2019,1,-1065880742,3024095202,-364997699,124702,0,-1803745,1462959103,0,3054496821,-3524869446,-43002100410,-2417344795,2001240032,-1572366833,-32672313,0,-1040000000,-46533616944,0,0,0,0,0,0,1803745,1803745,0,0,160606600540,-113298372556,0,0,0,47308227984,776414785,5988269945,-124702,6764560028
2019,2,7732010347,2669424751,717797076,363337,0,-2947595267,2033301982,0,10205302226,-5019599391,65328405346,-40934066,622163989,-2124349492,0,0,0,68970988612,-617981000,14545454,0,0,0,0,1622899101,1019463555,0,0,145793287876,-211672870567,0,-5119218250,0,-70998800941,-1008348774,6764560028,-363337,5755847917
2019,3,-6564802401,2427820460,-1677524747,-390974,0,1431187302,1106924845,0,-3276785515,-26954293374,32046395352,4139367511,2969968194,-1013504847,0,0,0,7911147321,-19507000,28181818,0,0,0,0,1462363615,1471038433,0,0,125429928948,-138498092184,0,-94054750,0,-13162217986,-3780032232,5755847917,390974,1976206659
2019,4,98900750,2297687591,1883481527,-71470,0,-1370090916,1173230076,0,4083137558,42066410177,-61412744687,5417155341,2715529439,-1333109535,0,0,0,-8463621707,-770594000,1852163636,0,0,0,0,96184795,1177754431,0,0,150020605427,-141427887492,0,1173250,0,8593891185,1308023909,1976206659,71470,3284302038
2020,1,349669462,2231642837,0,-1872062,0,-667103,1442601323,0,4021374457,-11813431573,-28846994579,39760043165,913369285,-1368827792,-77354367,0,-178000000,2410178596,-75000000,0,0,0,0,0,667103,-74332897,0,0,182483375721,-185991894545,0,-3890250,0,-3512409074,-1176563375,3284302038,1872062,2109610725
2020,2,12596136261,2152752585,-118086929,2300372,0,-3548287600,421361753,0,11506176442,-3582580000,156694010265,-44687316789,824596045,-601189714,0,0,0,120153696249,-10407895245,104545454,0,0,0,0,1690777974,-8612571817,0,0,39195048456,-117094813782,0,-1667250,0,-77901432576,33639691856,2109610725,-2300372,35747002209
