date,open,high,low,close,volume,unadjusted,putthrough
2014-11-11,13.62,13.62,13.62,13.62,218700,14.90,0
2014-11-12,14.90,14.90,14.90,14.90,128000,16.30,0
2014-11-13,16.36,16.36,16.36,16.36,92700,17.90,0
2014-11-14,17.91,17.91,17.55,17.64,284400,19.30,0
2014-11-17,17.55,19.47,17.27,19.38,313200,21.20,0
2014-11-18,18.56,20.39,18.10,20.39,416000,22.30,0
2014-11-19,19.20,19.75,18.74,19.75,639900,21.60,0
2014-11-20,19.29,20.12,19.11,20.02,486800,21.90,0
2014-11-21,19.65,20.29,18.65,18.83,613000,20.60,0
2014-11-24,19.47,19.56,18.74,19.29,400200,21.10,0
2014-11-25,19.20,19.66,18.83,19.38,434600,21.20,0
2014-11-26,19.29,19.29,18.37,18.56,409100,20.30,0
2014-11-27,18.65,18.83,17.10,18.19,423200,19.90,0
2014-11-28,17.92,17.92,17.55,17.55,160200,19.20,0
2014-12-01,17.82,17.92,17.46,17.46,152700,19.10,0
2014-12-02,17.64,17.73,16.00,17.37,414800,19.00,0
2014-12-03,16.55,17.00,15.91,15.91,247400,17.40,0
2014-12-04,16.55,16.64,14.90,15.27,462400,16.70,0
2014-12-05,15.54,16.73,15.54,16.36,215300,17.90,0
2014-12-08,16.27,16.27,15.90,16.00,223100,17.50,0
2014-12-09,16.00,16.09,14.54,14.53,309200,15.90,0
2014-12-10,14.90,16.45,14.16,16.45,197700,18.00,0
2014-12-11,14.90,15.26,14.07,14.90,407000,16.30,0
2014-12-12,14.63,15.45,14.53,14.99,408800,16.40,0
2014-12-15,14.81,16.27,14.44,16.18,390600,17.70,0
2014-12-16,15.17,15.17,14.17,14.99,413900,16.40,0
2014-12-17,14.53,14.81,13.44,14.17,412900,15.50,0
2014-12-18,14.26,15.54,14.17,15.54,438800,17.00,0
2014-12-19,14.63,14.81,14.17,14.53,416800,15.90,0
2014-12-22,14.44,15.17,14.44,14.44,388100,15.80,0
2014-12-23,14.90,14.99,14.53,14.81,403900,16.20,0
2014-12-24,14.81,15.08,14.72,14.90,309500,16.30,0
2014-12-25,15.08,15.08,14.35,14.72,263500,16.10,0
2014-12-26,14.72,14.81,14.45,14.53,143400,15.90,0
2014-12-29,14.53,14.71,14.35,14.53,152100,15.90,0
2014-12-30,14.53,14.62,14.26,14.53,105600,15.90,0
2014-12-31,14.44,14.71,14.44,14.72,106800,16.10,0
2015-01-05,14.63,14.90,14.45,14.63,200300,16.00,0
2015-01-06,14.63,14.90,14.36,14.81,170700,16.20,0
2015-01-07,14.63,14.99,14.54,14.81,201800,16.20,0
2015-01-08,14.81,14.99,14.63,14.81,162200,16.20,0
2015-01-09,14.81,14.99,14.72,14.81,163100,16.20,0
2015-01-12,14.81,14.90,14.63,14.72,200900,16.10,0
2015-01-13,14.81,14.99,14.72,14.90,203300,16.30,0
2015-01-14,14.90,14.99,14.63,14.81,205100,16.20,0
2015-01-15,14.72,14.99,14.72,14.81,211600,16.20,0
2015-01-16,14.81,14.99,14.63,14.72,217100,16.10,0
2015-01-19,14.72,14.90,14.54,14.63,203600,16.00,0
2015-01-20,14.63,14.81,14.54,14.53,206900,15.90,0
2015-01-21,14.71,14.71,14.35,14.44,191500,15.80,0
2015-01-22,14.53,14.71,14.26,14.44,221000,15.80,0
2015-01-23,14.53,14.71,14.44,14.63,197200,16.00,0
2015-01-26,14.54,14.63,14.36,14.53,214000,15.90,0
2015-01-27,14.53,14.62,14.35,14.44,206100,15.80,0
2015-01-28,14.44,14.62,14.44,14.53,204400,15.90,0
2015-01-29,14.44,14.53,14.26,14.26,205900,15.60,0
2015-01-30,14.35,14.53,14.26,14.35,170400,15.70,0
2015-02-02,14.35,14.62,14.17,14.26,201400,15.60,0
2015-02-03,14.35,14.44,14.17,14.26,211400,15.60,0
2015-02-04,14.17,14.26,13.89,13.89,122300,15.20,0
2015-02-05,14.07,14.44,14.07,14.17,201800,15.50,0
2015-02-06,14.17,14.35,14.08,14.26,186700,15.60,0
2015-02-09,14.26,14.44,14.08,14.17,194400,15.50,0
2015-02-10,14.17,14.26,14.08,14.26,183100,15.60,0
2015-02-11,14.17,14.44,14.08,14.35,190400,15.70,0
2015-02-12,14.35,14.53,14.26,14.35,184700,15.70,0
2015-02-13,14.44,14.62,14.44,14.53,146900,15.90,0
2015-02-24,14.53,14.71,14.53,14.63,189300,16.00,0
2015-02-25,14.72,14.90,14.54,14.63,176200,16.00,0
2015-02-26,14.72,14.90,14.63,14.72,175500,16.10,0
2015-02-27,14.81,14.99,14.63,14.81,161900,16.20,0
2015-03-02,14.90,14.99,14.63,14.72,154000,16.10,0
2015-03-03,14.72,14.99,14.63,14.72,175800,16.10,0
2015-03-04,14.81,14.99,14.72,14.72,186700,16.10,0
2015-03-05,14.81,14.81,14.63,14.72,188200,16.10,0
2015-03-06,14.72,14.81,14.54,14.81,179800,16.20,0
2015-03-09,14.72,14.90,14.54,14.63,193200,16.00,0
2015-03-10,14.81,14.90,14.63,14.72,129300,16.10,0
2015-03-11,14.81,14.99,14.72,14.72,172400,16.10,0
2015-03-12,14.81,14.99,14.63,14.81,186300,16.20,0
2015-03-13,14.63,14.81,14.54,14.72,170100,16.10,0
2015-03-16,14.72,14.72,14.35,14.35,170200,15.70,0
2015-03-17,14.53,14.81,14.53,14.72,162100,16.10,0
2015-03-18,14.72,14.81,14.54,14.72,183600,16.10,0
2015-03-19,14.72,14.81,14.54,14.63,169600,16.00,0
2015-03-20,14.63,14.81,14.63,14.81,168600,16.20,0
2015-03-23,14.72,14.90,14.63,14.81,164200,16.20,0
2015-03-24,14.72,14.72,14.44,14.53,190200,15.90,0
2015-03-25,14.53,14.71,14.35,14.53,186400,15.90,0
2015-03-26,14.53,14.62,14.35,14.63,165900,16.00,0
2015-03-27,14.54,14.63,14.45,14.63,165900,16.00,0
2015-03-30,14.45,14.63,14.36,14.44,184700,15.80,0
2015-03-31,14.53,14.62,14.35,14.44,171500,15.80,0
2015-04-01,14.44,14.62,14.26,14.44,171800,15.80,0
2015-04-02,14.44,14.62,14.26,14.35,171200,15.70,0
2015-04-03,14.53,14.62,14.35,14.44,170700,15.80,0
2015-04-06,14.53,14.90,14.44,14.53,160400,15.90,0
2015-04-07,14.53,14.62,14.35,14.63,165300,16.00,0
2015-04-08,14.54,14.63,14.26,14.35,164700,15.70,0
2015-04-09,14.26,14.62,14.26,14.44,157600,15.80,0
2015-04-10,14.44,14.62,14.44,14.44,145700,15.80,0
2015-04-13,14.44,14.62,14.35,14.53,154300,15.90,0
2015-04-14,14.53,14.71,14.35,14.53,104800,15.90,0
2015-04-15,14.53,14.62,14.35,14.63,87800,16.00,0
2015-04-16,14.45,14.72,14.45,14.63,100500,16.00,0
