Year,Quarter,I. Current Assets,1. Short term financial assets,1.1.Cash and cash equivalents,1.1.1. Cash,1.1.1.1 Cash deposited by investors for securities trading,1.1.2. Cash equivalents,1.2. Net Value Short-term investments,1.2.1. Short-term investments,1.2.2. Held-to-maturity investment,1.2.3. Loans,1.2.4. Available for sales assets,1.2.5. Provisions for impairments of short-term investments,1.3. Accounts receivable,1.3.1. Receivables(from 2019),1.3.1.1. Account receivables,1.3.1.2. Receivables and accrued dividend/interest of financial assets,1.3.1.2.1. Due or overdue receivables on dividend/interest,1.3.1.2.1.1. Doubtful debts on dividend/interest which are overdue,1.3.1.2.2 Undue accrued dividend/interest,1.3.2. Trade accounts receivable,1.3.3. Deductible value added tax,1.3.4. Receivables form services provided by the stock company,1.3.5. Prepayments to suppliers,1.3.6. Intercompany receivables,1.3.7. Receivables arise from transaction error,1.3.8. Receivable from trading stocks,1.3.9. Construction contract in progress receivables,1.3.10. Short-term loans receivables,1.3.11. Other receivables,1.3.12. Provision for short term receivables,1.3.13. Provision for doubtful debts,1.3.14. Shortage of current assets waiting for solution,"1.4.Inventories,net",1.4.1.Inventories,1.4.2. Provision for decline in inventories,2. Other current assets,2.1. Advance,2.2. Tools and equipments,2.3. Short-term prepayments,2.4. Short term Collaterals,2.5. VAT to be claimed,2.6. Other taxes receivable,2.7. Government bonds purchased for resale,2.8. Other current assets,2.9. Provision for other current assets,II. Long-Term Assets,1. Long term financial assets,1.1. Long-term trade receivables,1.1.1. Long-term customer receivables,1.1.2. Long-term prepayments to suppliers,1.1.3. Paid-in capital in wholly-owned subsidiaries,1.1.4. Long-term intercompany receivables,1.1.5. Long-term loans receivables,1.1.6. Other long-term receivables,1.1.7. Provision for doubtful LT receivable,1.2. Long-term investments,1.2.1. Investments in subsidiaries,1.2.2. Investments in associates,1.2.3. Long- term securities Investments,1.2.3.1. Held-to-maturity investment,1.2.4. Other long-term investments,1.2.5. Provision for diminuation in value of long-term investments,2. Fixed Assets,2.1. Tangible fixed assets Accumulated depreciation,2.1.1. Cost,2.1.2. Accumulated depreciation,2.1.3. Revaluation of tangible fixed assets using fair value model,2.2 Finance lease assets,2.2.1. Cost,2.2.2. Accumulated depreciation,2.2.3. Revaluation of fixed assets in financial lease using fair value model,2.3. Intangible fixed assets,2.3.1. Cost,2.3.2. Accumulated depreciation,2.3.3. Revaluation of intangible fixed assets using fair value model,2.4. Construction in progress,3. Net Investment properties,3.1. Cost,3.2.Accumulated depreciation,3.3.Revaluation of investment property using fair value model,4. Long-term incomplete assets,4.1. Long-term cost of work in progress,4.2. Construction in progress,5. Other long-term assets,5.1. Long term collaterals,5.2. Long-term prepayments,5.3. Deferred income tax assets,"5.4. Long-term equipment, material and spare parts",5.5. Payments to Settlement Assistance Fund,5.6. Other long-term assets,5.7. Goodwill,6. Provision for long term assets,A.  Total Assets,I. Liabilites,1. Current liabilities,1.1. Short-term borrowings,1.1.1. Short term borrowings,1.1.2. Short term finance lease,1.2. Short term financial assets borrowings,1.3. Short term convertible bonds,1.4. Short term bonds issued,1.5. Borrowings form payable assistance fund,1.6. Payables to securities trading,1.7. Payable arise from transaction errors,1.8. Short-term trade payables,1.9. Advances from customer,1.10. Taxes and liabilities to State budget,1.11. Payable to employees,1.12. Employees' welfare payable to authorities,1.13. Accrued expenses,1.14. Intercompany payables,1.15. Short-term unrealized revenue,1.16. Short term collaterals received,1.17. Construction contract in progress payables,"1.18. Dividend, principal and interest payables",1.19. Payables to securities issuers,1.20. Other payables,1.21. Provision for ST liabilities,1.22.Bonus and welfare funds,1.23.Price stabilization fund,1.24.Government bonds purchased for resale,2. Long-term liabilities,2.1. Long-term borrowings,2.1.1. Long term borrowings,2.1.2. Long term financial lease,2.2. Long term financial assets borrowings,2.3. Convertible bonds,2.4. Long term bonds,2.5. Long-term trade payables,2.6. Long-term advances from customers,2.7. Long-term accrued expenses,2.8. Long-term intercompany payables,2.9. Intra-company payables for operating capital received,2.10. Deffered revenue,2.11. Long term collaterals received,2.12. Other long-term payables,2.13. Preferred shares,2.14. Provision for severance allowances,2.15. Provision for long-term liabilities,2.16. Provision for compensation of investors,2.17. Deferred income tax liabilities,2.18. Technology-science development fund,II. Owner's equity,1. Capital and researves,1.1. Shareholders' equity,1.1.1. Paid-in capital,1.1.1.1 Common shares,1.1.1.2 Preferred shares,1.1.2. Share premium,1.1.3. Conversion options on convertible bonds,1.1.4. Owner's other capital,1.1.5. Treasury shares,1.2. Differences upon asset revaluation,1.3. Foreign exchange differences,1.4. Charter reserve,1.5. Investment and development funds,1.6. Financial researve funds,1.7. Other funds in owners' equity,1.8. Undistributed earnings,1.8.1. Realized gain,1.8.1.1 Beginning accumulated undistributed earnings,1.8.1.2 Current period undistributed earnings,1.8.2. Unrealized gain,1.9. Minority interests,2. Budget sources and other funds,2.1. Bonus and welfare funds,2.2. Budget sources and other funds,2.2. Funds used for fixed asset acquisitions,III. Minority Interests,B. Total Resources,C. Distributed profit to investor,1. Distributed profit to investor during the year
2015,1,380598388519,368374339107,55530719641,40030719641,0,15500000000,140415648910,141045027744,0,0,0,-629378834,172427970556,0,0,0,0,0,0,1441835237,0,0,7160459431,0,0,0,0,0,178202820980,0,-14377145092,0,0,0,0,12224049412,0,0,682077670,0,0,0,0,11541971742,0,22341831187,5309910467,0,0,0,0,0,0,0,0,5309910467,0,0,0,0,5309910467,0,7213593825,1931121167,8571876724,-6640755557,0,0,0,0,0,1662972658,3938357488,-2275384830,0,3619500000,0,0,0,0,0,0,0,9818326895,0,1190107520,0,0,8233913263,394306112,0,0,402940219706,47429745151,47429745151,0,0,0,0,0,0,0,38972826227,0,195534803,1263240320,700339875,0,0,2400000000,0,0,0,0,970270896,0,2922693030,0,4840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355510474555,355510474555,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-43357525445,-43357525445,0,-43357525445,0,0,0,0,0,0,0,402940219706,0,0
2015,2,426575432132,423455429072,87110255871,80160255871,0,6950000000,153949537355,156289611681,0,0,0,-2340074326,182395635846,0,0,0,0,0,0,332222247,0,0,11980107654,0,0,0,0,0,184302445314,0,-14219139369,0,0,0,0,3120003060,0,0,357525067,0,0,25423361,0,2737054632,0,21883733396,5309910467,0,0,0,0,0,0,0,0,5309910467,0,0,0,0,5309910467,0,6869701541,1702241480,8571876724,-6869635244,0,0,0,0,0,1547960061,3968357488,-2420397427,0,3619500000,0,0,0,0,0,0,0,9704121388,0,1083384493,0,0,8233913263,386823632,0,0,448459165528,90338846869,90338846869,0,0,0,0,0,0,0,78706418736,0,154516572,2365611600,493068944,278696525,0,4120000000,0,0,0,0,538647520,0,3640476972,0,41410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358120318659,358120318659,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-40747681341,-40747681341,0,-40747681341,0,0,0,0,0,0,0,448459165528,0,0
2015,3,398654956508,389732656057,61989976004,58489976004,0,3500000000,156500720464,160078162929,0,0,0,-3577442465,171241959589,0,0,0,0,0,0,342222247,0,0,3319136768,0,0,0,0,0,181799739943,0,-14219139369,0,0,0,0,8922300451,0,0,262833248,0,0,9538862,0,8649928341,0,21655245682,5309910467,0,0,0,0,0,0,0,0,5309910467,0,0,0,0,5309910467,0,6662261241,1567466879,8571876724,-7004409845,0,0,0,0,0,1475294362,4008357488,-2533063126,0,3619500000,0,0,0,0,0,0,0,9683073974,0,1062337079,0,0,8233913263,386823632,0,0,420310202190,62026680303,62026680303,0,0,0,0,0,0,0,51834064755,0,137939972,1665290320,397972139,288033095,0,4153293658,0,0,0,0,508594464,0,2969861900,0,71630000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358283521887,358283521887,0,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-40584478113,-40584478113,0,-40584478113,0,0,0,0,0,0,0,420310202190,0,0
2015,4,456358384569,454232672388,104885177866,104785177866,0,100000000,169516965753,174646484975,0,0,0,-5129519222,179830528769,0,0,0,0,0,0,454722249,0,0,3332251710,0,0,0,0,0,189954935516,0,-13911380706,0,0,0,0,2125712181,0,0,144434762,0,0,0,0,1981277419,0,20890105914,4734910467,0,0,0,0,0,0,0,0,4734910467,0,0,0,0,4734910467,0,6532635558,1543006895,8677632924,-7134626029,0,0,0,0,0,1370128663,4008357488,-2638228825,0,3619500000,0,0,0,0,0,0,0,9622559889,0,1001822994,0,0,8233913263,386823632,0,0,477248490483,116430496945,116430496945,5000000000,5000000000,0,0,0,0,0,0,0,140579972,1807290320,521417357,248112000,0,1318075734,0,0,0,0,1664890320,58861726155,46759168087,0,109237000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360817993538,360817993538,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-38050006462,-38050006462,0,-38050006462,0,0,0,0,0,0,0,477248490483,0,0
2016,1,377000659452,359579381684,33627699677,30127699677,0,3500000000,317799351619,172814608623,0,146405335452,4734910467,-6155502923,8152330388,0,0,0,0,0,0,0,0,583422250,0,0,0,0,0,0,15488154689,-7919246551,0,0,0,0,0,17421277768,17034725858,0,385551910,1000000,0,0,0,0,0,16408399295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2725953505,1408990541,8677632924,-7268642383,0,0,0,0,0,1316962964,4060357488,-2743394524,0,0,0,0,0,0,3619500000,0,3619500000,10062945790,386823632,902880438,0,0,8773241720,0,0,0,393409058747,36032394260,36032394260,0,0,0,0,0,0,0,29447033354,0,145749972,1581990320,720674602,278200000,2704500,291773480,0,0,0,0,0,0,3434011032,0,130257000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357376664487,357376664487,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-41491335513,-40659384093,0,-40659384093,-831951420,0,0,0,0,0,0,393409058747,0,0
2016,2,355982943627,335838157897,8093994081,4593994081,0,3500000000,289129129513,132084855795,0,161074476974,2125299667,-6155502923,38615034303,31353461088,30500000000,853461088,853461088,0,0,0,13119359,420222246,0,0,0,0,0,0,14747478161,-7919246551,0,0,0,0,0,20144785730,19867987815,0,275797915,1000000,0,0,0,0,0,12443347035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509008372,1305877775,8677632924,-7371755149,0,0,0,0,0,1203130597,4060357488,-2857226891,0,0,0,0,0,0,0,0,0,9934338663,386823632,774273311,0,0,8773241720,0,0,0,368426290662,6695315230,6695315230,0,0,0,0,0,0,0,193144484,0,145882577,1604790320,425527371,429122690,307484281,0,0,0,0,0,0,0,3433996015,0,155367492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361730975432,361730975432,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-37137024568,-20139537311,0,-20139537311,-16997487257,0,0,0,0,0,0,368426290662,0,0
2016,3,356775371789,310411952875,4007781765,2007781765,0,2000000000,258857578610,140647087865,0,122240694001,2125299667,-6155502923,47546592500,31772965935,30500000000,1272965935,0,0,1272965935,0,20086786,401348265,0,0,0,0,0,0,23271438065,-7919246551,0,0,0,0,0,46363418914,46243327580,0,119091334,1000000,0,0,0,0,0,12765362993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2909367999,1252640882,8715132924,-7462492042,0,0,0,0,0,1656727117,4625397488,-2968670371,0,0,0,0,0,0,0,0,0,9855994994,386823632,695929642,0,0,8773241720,0,0,0,369540734782,7728913341,7728913341,0,0,0,0,0,0,0,177439850,0,145739972,2558290320,361941441,390821590,0,463241425,0,0,0,0,0,0,3430920865,0,200517878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361811821441,361811821441,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-37056178559,-33679033836,0,-33679033836,-3377144723,0,0,0,0,0,0,369540734782,0,0
2016,4,359053381003,325543030976,4857809469,4857809469,0,0,277810119955,138740388899,0,147684356257,2125299667,-10739924868,42875101552,31832739029,30500000000,1332739029,0,0,1332739029,0,0,599722246,0,0,0,0,0,0,18361886828,-7919246551,0,0,0,0,0,33510350027,33508016694,0,1333333,1000000,0,0,0,0,0,12370354087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2628353739,1163773380,8715132924,-7551359544,0,0,0,0,0,1464580359,4759527488,-3294947129,0,0,0,0,0,0,0,0,0,9742000348,386823632,581934996,0,0,0,8773241720,0,0,371423735090,8270465629,8270465629,0,0,0,0,0,0,0,152978104,0,175378608,2491290320,333611720,387178365,0,1024018344,0,0,0,0,0,0,3484712290,0,221297878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363153269461,363153269461,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-35714730539,-33396562319,0,-33396562319,-2318168220,0,0,0,0,0,0,371423735090,0,0
2017,1,360894133015,303951611959,7521926533,521926533,0,7000000000,260326576316,138431350168,0,130509851349,2125299667,-10739924868,36103109110,32124795908,30500000000,1624795908,0,0,1624795908,0,0,611222246,2932924139,0,0,0,0,0,8353413368,-7919246551,0,0,0,0,0,56942521056,56474309819,0,392075605,76135632,0,0,0,0,0,12444680065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381861470,1077515368,8715132924,-7637617556,0,0,0,0,0,1304346102,4759527488,-3455181386,0,0,0,0,0,0,0,0,0,10062818595,311688000,437975904,0,0,9313154691,0,0,0,373338813080,7824755571,7824755571,0,0,0,0,0,0,0,196548876,0,145739972,2434790320,563384717,339725115,0,395469773,0,0,0,0,0,0,3506697670,0,242399128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365514057509,365514057509,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-33353942491,-33353942491,0,-33353942491,0,0,0,0,0,0,0,373338813080,0,0
2017,2,377654594014,343718730424,22717730256,13563103068,0,9154627188,284944835107,155128468637,0,138430991671,2125299667,-10739924868,36056165061,31460849303,29850000000,1610849303,0,0,1610849303,0,0,853572347,3453464457,0,0,0,0,0,8207525505,-7919246551,0,0,0,0,0,33935863590,28848562352,0,5011165606,76135632,0,0,0,0,0,12067161168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138978647,994866802,8715132924,-7720266122,0,0,0,0,0,1144111845,4759527488,-3615415643,0,0,0,0,0,0,0,0,0,9928182521,311688000,303339830,0,0,9313154691,0,0,0,389721755182,11187525877,8559654766,0,0,0,0,0,0,0,255884265,0,145739972,1575348562,1423890485,308000115,0,573108934,0,0,0,0,0,0,4016873305,0,260809128,0,0,2627871111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627871111,2627871111,378534229305,378534229305,396000000000,390000000000,390000000000,0,6000000000,0,0,0,0,0,0,0,2868000000,0,-20333770695,-30845255138,0,-30845255138,10511484443,0,0,0,0,0,0,389721755182,0,0
