Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2005,0,159898987730,1911135988,1911135988,0,0,0,0,18223333685,9071324430,2354574755,0,0,6797434500,0,130686906846,130686906846,0,9077611211,0,0,16408329,9061202882,55518566069,0,0,0,0,0,55435223972,51427126553,54963949780,-3536823227,0,0,0,4008097419,4008097419,0,0,0,0,0,0,0,0,0,0,83342097,83342097,0,0,0,215417553799,180755387732,99862387732,150000000,7659539882,22651249766,67839863,0,2009030081,0,0,67324728140,0,80893000000,0,0,0,80893000000,0,0,0,34662166067,34660816067,32820000000,0,0,0,0,0,0,0,0,1840816067,1350000,1350000,0,0,215417553799
2006,0,170188780724,1618425846,1618425846,0,0,0,0,22991550127,13082304639,3325445988,0,0,6583799500,0,135407045367,135407045367,0,10171759384,0,0,0,10171759384,73183969861,0,0,0,0,0,60895519050,56887421631,62026387025,-5138965394,0,0,0,4008097419,4008097419,0,0,0,0,0,12191108714,0,12191108714,0,0,97342097,97342097,0,0,0,243372750585,189693410907,106519410907,5650000000,14418965012,3751242098,7386099149,0,806464243,0,0,74506640405,0,83174000000,0,0,500000000,82674000000,0,0,0,53679339678,53677989678,32820000000,0,0,0,0,0,0,0,0,20857989678,1350000,1350000,0,0,243372750585
2007,0,480792074731,196241169795,172641169795,23600000000,0,0,0,92546610110,47735641305,32598174496,0,0,12212794309,0,119718235443,119718235443,0,72286059383,0,1031870,0,72285027513,153552962094,0,0,0,0,0,103666227702,29392627573,30559431515,-1166803942,0,0,0,54075625419,54075625419,0,20197974710,20220061514,25349714479,-5129652965,27566230781,0,27566230781,0,0,2100442097,2100442097,0,0,0,634345036825,387479780058,216861857658,0,14474123466,87223096440,30522650039,166730500,30987768953,0,0,53487488260,0,170617922400,0,0,500000000,170117922400,0,0,0,246879461112,246879461112,49563000000,141588960000,0,0,0,0,0,0,0,55727501112,0,0,0,-14204345,634345036825
2008,0,548968460419,30456966239,30456966239,0,0,0,0,206086851824,135038390514,52717749661,0,0,18330711649,0,273383445998,273383445998,0,39041196358,0,15592166744,813673616,22635355998,322459074257,827420000,0,0,827420000,0,135200883565,31171519902,32526534542,-1355014640,0,0,0,16137036813,16137036813,0,87892326850,55587208162,62632714479,-7045506317,130618749088,0,130618749088,0,0,224813442,224813442,0,0,0,871427534676,601121857579,419072137579,124623500000,112045403234,58368665577,64597432994,656815500,5606545225,0,0,53173775049,0,182049720000,0,0,500000000,181549720000,0,0,0,244133757286,242045713320,49563000000,141588960000,0,0,0,0,2095543966,2095543966,0,46702665388,2088043966,2088043966,0,26171919811,871427534676
2009,0,374022864122,6100557369,5570557369,530000000,0,0,0,105457943197,79784617215,19714573250,0,0,5958752732,0,240837885280,240837885280,0,21626478276,209224545,2138475038,16655400,19262123293,385183349718,946890000,0,946890000,0,0,164445533809,28705676795,31049432181,-2343755386,0,0,0,16194728813,16194728813,0,119545128201,54701324829,63783897193,-9082572364,164175106996,0,164175106996,0,0,914494084,914494084,0,0,0,759206213840,458095468481,262597833481,100175670500,50712125185,46591300513,43672192171,193000,0,0,0,21446352112,0,195497635000,0,0,500000000,194997635000,0,0,0,299609003131,296550406130,99126000000,141588960000,0,0,0,41570882,3138275001,3138275001,0,49517325246,3058597001,3058597001,0,1501742228,759206213840
2010,0,792945074909,102231328105,46706328105,55525000000,0,0,0,288412382483,262368865699,8247380900,0,0,17796135884,0,345536414086,345536414086,0,56764950235,0,12363990024,1440453360,42960506851,451947725235,956890000,0,956890000,0,0,213742518144,33609190650,36734836692,-3125646042,0,0,0,8413789419,8413789419,0,171719538075,42415133429,53165954099,-10750820670,191789540043,0,186289540043,5500000000,0,3043643619,3043643619,0,0,0,1244892800144,843140764523,631683925523,220849711192,288337828339,59734646612,28153066699,0,0,0,0,28992774442,0,211456839000,0,0,500000000,210956839000,0,0,0,400249993328,400249993328,99126000000,141588960000,0,0,0,-1472150923,6161382649,6161382649,0,148684418953,0,0,0,1502042293,1244892800144
2011,0,897400539347,32613021079,11713021079,20900000000,0,0,0,293971196832,181047241416,102570231152,0,0,10353724264,0,406761413201,406761413201,0,164054908235,358023200,12458528582,315931489,150922424964,480851607954,39193850,0,39193850,0,0,175359853571,25716048430,30595549613,-4879501183,0,0,0,4246425000,4246425000,0,145397380141,68940338761,81335026307,-12394687546,223966981055,0,218466981055,5500000000,0,1991734278,1991734278,0,0,10553506439,1378252147301,711161372532,589086535532,440541620223,56796163180,43552629005,27066231092,174402181,0,0,0,12502710817,0,122074837000,0,0,500000000,121574837000,0,0,0,665581437222,665581437222,397362020000,141588960000,0,0,0,1406713187,9303313444,9303313444,3641930795,102975186352,0,0,0,1509337547,1378252147301
2012,0,976692503225,55112698329,25112698329,30000000000,0,0,0,396034254909,207507787781,176321553400,0,0,12204913728,0,454746002962,454746002962,0,70799547025,169875000,23067274422,508030543,47054367060,601122561792,39193850,0,39193850,0,0,236789668764,25829300597,31842354993,-6013054396,0,0,0,5204165000,5204165000,0,205756203167,109252749608,124326913350,-15074163742,241685720063,0,216386642119,25323000000,-23922056,5440099678,5440099678,0,0,7915129829,1577815065017,898885775058,743534534870,513191988857,107461712914,91156188808,19256442843,0,0,0,0,4036422414,0,155351240188,0,0,500000000,154843589200,7650988,0,0,677415966446,677415966446,397362020000,141588960000,0,0,0,0,10633030444,10633030444,4971647795,112227277763,0,0,0,1513323513,1577815065017
2013,0,1069348136779,25768808229,19768808229,6000000000,0,0,0,470830267834,250167935228,207767412030,0,0,12894920576,0,502827932449,502827932449,0,69921128267,0,13721671550,6019478241,50179978476,604163744170,39193850,0,0,39193850,0,254033365727,36468947610,43370265927,-6901318317,0,0,0,12470765000,12470765000,0,205093653117,82025685169,99272993654,-17247308485,254816960218,0,231890012714,22940000000,-13052496,7971785986,7971785986,0,0,5276753220,1673511880949,969098345820,566207903871,363088739386,133016672315,58256082834,6128327,0,0,0,0,3428501975,0,402890441949,0,0,500000000,402387443544,2998405,0,0,702895595733,702895595733,476834400000,141588960000,0,0,0,0,10633030444,10633030444,4971647795,58234527050,0,0,0,1517939396,1673511880949
2014,0,1953211041211,389731896437,39466688104,350265208333,0,0,0,625974996721,337983074317,270196363430,0,0,17795558974,0,861193048643,861193048643,0,76311099410,29317000,16346245182,67024298,59868512930,528033451222,39193850,0,0,39193850,0,143047449584,69158198641,88892920841,-19734722200,0,0,0,22150765000,22150765000,0,51738485943,85763335670,105900867651,-20137531981,272876816811,0,248949869307,23940000000,-13052496,19274105674,16952822447,1738791714,582491513,7032549633,2481244492433,1203534595293,778826401977,521663950218,101040087826,88200414440,35930362549,482564004,150408400,0,0,22597607768,0,424708193316,0,0,3174600241,413595702900,1564203,0,0,1267206446675,1267206446675,1072877400000,45057080000,0,0,0,0,11652215615,11652215615,4971647795,120995887650,0,0,0,10503450465,2481244492433
