date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,28641,16250,420,12509,2000,1050
2019-12-03,7919,1490,620,57771,5700,4920
2019-12-04,18239,8130,50,23951,14540,910
2019-12-05,16780,11970,1020,24970,11500,430
2019-12-06,16590,10560,1080,24020,13010,130
2019-12-09,23370,10230,1250,17550,6050,200
2019-12-10,32366,17070,2600,29734,6070,790
2019-12-11,12030,2480,10,22450,7170,1820
2019-12-12,20030,8950,1750,20830,3770,3510
2019-12-13,11800,2520,210,27920,8100,2090
2019-12-16,31200,23150,1150,37940,24830,1590
2019-12-17,17845,5930,920,22585,8060,700
2019-12-18,18477,9797,530,23233,12910,100
2019-12-19,14414,2700,400,22676,8021,50
2019-12-20,20140,4590,270,11450,0,250
2019-12-23,34330,22405,5010,7810,0,2140
2019-12-24,19598,9080,120,18742,7120,100
2019-12-25,11689,1470,20,26671,12011,190
2019-12-26,13602,1610,940,24528,4120,220
2019-12-27,15700,8380,0,16490,4090,0
2019-12-30,12993,4330,330,21317,5760,410
2019-12-31,13607,2570,250,20123,10280,210
2020-01-02,12810,3350,390,19780,8180,750
2020-01-03,11482,2000,1340,23328,9350,2110
2020-01-06,26741,8341,540,17709,8780,1170
2020-01-07,16040,4990,2160,15120,1670,450
2020-01-08,18629,9640,7210,19111,9350,1730
2020-01-09,13552,1970,390,24408,16240,690
2020-01-10,8254,3770,660,116616,107180,340
2020-01-13,23571,18080,70,11099,6120,1190
2020-01-14,38191,26590,2000,19839,17680,20
2020-01-15,29050,18850,20,4290,0,540
2020-01-16,17640,4560,3490,15330,8350,1210
2020-01-17,20160,9450,230,11950,5980,160
2020-01-20,26730,7320,720,5870,0,700
2020-01-21,18010,7240,600,18970,6760,1350
2020-01-22,15860,8770,0,6700,4950,880
2020-01-30,17972,12390,4050,43528,32138,10
2020-01-31,10030,0,420,13870,5500,180
2020-02-03,9995,3140,2450,33565,13530,840
2020-02-04,16160,5510,540,15400,6790,1180
2020-02-05,10635,3000,1470,20895,12470,0
2020-02-06,6365,1375,16590,32485,27765,650
2020-02-07,15235,3660,1570,20315,11820,640
2020-02-10,14610,7060,280,27210,23680,1110
2020-02-11,20800,11090,0,10280,2990,630
2020-02-12,8989,3830,20,20021,14320,210
2020-02-13,16185,6870,1010,18205,11050,2290
2020-02-14,14750,7750,0,16390,12010,110
2020-02-17,7687,1490,3990,20183,11060,690
2020-02-18,4980,0,0,28200,19550,740
2020-02-19,19610,12310,0,21570,10020,530
2020-02-20,23589,13610,430,8041,2000,1590
2020-02-21,8244,1500,1100,31296,14790,2230
2020-02-24,18456,7010,110,26954,14850,1020
2020-02-25,10200,3510,580,46950,27470,3280
2020-02-26,15256,7063,3770,41954,26757,1100
2020-02-27,41435,9970,13540,169295,135575,9290
2020-02-28,19070,4760,9000,19870,4150,3660
2020-03-02,19422,5860,870,20838,2160,5690
2020-03-03,25641,12321,380,16099,3030,10370
2020-03-04,8936,2000,2310,13424,5500,800
2020-03-05,36978,17770,4030,8772,2150,2320
2020-03-06,20515,7710,1610,26425,18770,7960
2020-03-09,9633,5000,5120,64277,45480,6000
2020-03-10,24150,9660,160,15510,5080,1700
2020-03-11,5235,0,5140,23345,7750,1960
2020-03-12,12360,2420,580,19780,4750,10950
2020-03-13,5500,0,740,37910,24840,1300
2020-03-17,24030,18700,350,15270,10980,250
2020-03-18,15584,8790,0,46646,39480,1020
2020-03-19,10750,0,690,9750,0,1000
2020-03-20,7311,0,30000,7049,0,2240
2020-03-23,700,0,90,11980,6800,10
2020-03-24,5300,0,650,15010,12960,20
2020-03-25,14120,0,420,5440,0,1110
2020-03-26,2759,0,280,59751,49641,710
2020-03-27,3300,0,60,9030,0,310
2020-03-30,4380,0,390,16840,3600,0
2020-03-31,11530,0,100,17980,0,260
2020-04-01,34110,26120,0,34340,26390,930
2020-04-02,34225,34225,0,34225,34225,0
2020-04-03,90564,76754,990,27986,12655,1330
2020-04-06,23650,2810,1600,17450,12160,4370
2020-04-07,11887,0,90,26133,14490,3010
2020-04-08,8350,0,360,34170,17030,2540
2020-04-09,36283,13610,600,29517,10420,7440
2020-04-10,105577,58800,13280,64993,41578,7370
2020-04-13,127072,65872,39300,34678,16790,4000
2020-04-14,31972,19792,3000,73128,38178,7440
2020-04-15,49625,18475,1080,45995,21990,4560
2020-04-16,56085,20635,2330,47495,32875,11230
2020-04-17,91371,62461,4000,86219,49856,23100
2020-04-20,121313,67503,4900,64647,26620,15650
2020-04-21,56838,25670,8760,74852,35392,13100
2020-04-22,45403,16700,10800,30547,17743,7340
2020-04-23,34133,18093,870,39797,22330,3780
2020-04-24,24835,6660,860,19915,4580,4390
2020-04-27,22108,4380,10200,133792,61992,2700
2020-04-28,10869,0,930,12081,4700,1490
2020-04-29,42127,25040,10510,23913,14570,2010
2020-05-04,13204,2400,5270,35226,22890,1940
2020-05-05,6685,2000,4020,7995,0,4830
