date,open,high,low,close,volume,unadjusted,putthrough
2018-01-04,38.9781,38.9781,38.9781,38.9781,12000,54.0000,0
2018-01-05,41.6488,41.6488,41.6488,41.6488,8700,57.7000,30000
2018-01-08,44.5361,44.5361,44.5361,44.5360,150720,61.7000,0
2018-01-09,47.6398,47.6398,47.6398,47.6399,223230,66.0000,20000
2018-01-10,50.9603,50.9603,50.9603,50.9602,173190,70.6000,0
2018-01-11,49.0835,50.9602,47.4233,47.4233,203460,65.7000,0
2018-01-12,49.8053,49.8053,46.9180,47.6399,234850,66.0000,0
2018-01-15,47.6399,48.0008,46.1241,46.4128,63550,64.3000,0
2018-01-16,45.5466,46.2684,45.0413,46.2684,126190,64.1000,0
2018-01-17,47.6399,48.3617,46.9180,47.0624,106720,65.2000,0
2018-01-18,46.9180,46.9180,44.6082,46.7015,118340,64.7000,0
2018-01-19,46.7015,47.1346,45.4744,46.8459,159450,64.9000,0
2018-01-22,46.8459,48.0008,46.8459,47.7842,295680,66.2000,0
2018-01-25,48.3617,48.3617,46.9180,48.0008,278640,66.5000,0
2018-01-26,48.1452,48.2173,47.6399,47.9286,163520,66.4000,200000
2018-01-29,45.4744,47.8564,45.3301,47.4955,269020,65.8000,0
2018-01-30,46.1962,47.4955,45.8353,46.9902,354390,65.1000,150000
2018-01-31,48.3616,48.3616,47.4233,47.5677,116870,65.9000,0
2018-02-01,48.0008,49.6610,47.6399,49.6609,471760,68.8000,100000
2018-02-02,50.5271,50.5271,49.6609,50.3106,322370,69.7000,0
2018-02-05,50.0219,50.0219,49.2279,49.5166,193730,68.6000,0
2018-02-06,46.9181,48.2173,46.0519,46.4128,280640,64.3000,0
2018-02-07,47.8564,48.0008,46.9903,48.0008,252300,66.5000,50000
2018-02-08,48.0008,48.7226,47.2790,48.3617,186020,67.0000,0
2018-02-09,46.9181,47.4955,46.1963,47.3511,175110,65.6000,0
2018-02-12,48.0007,50.4549,47.9286,48.4338,135440,67.1000,0
2018-02-13,49.8052,49.8052,48.5782,49.0113,122540,67.9000,0
2018-02-21,49.4444,51.9707,49.4444,51.3933,179470,71.2000,0
