Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,1,12077448677,11360909822,1620667700,138049134,0,-2558787082,309064200,0,22947352451,1475540560,12688885742,-12463191289,-931352539,-309064200,0,714643539,-365287335,23757526929,-4566826718,73636364,-10000000000,0,0,0,2485150718,-12008039636,0,-543677406,6020680790,-25241568048,0,-15420782000,0,-35185346664,-23435859371,30533213380,0,7097354009
2010,1,8786560034,4015925200,0,0,0,0,784048746,0,13586533980,-12311691070,11090669244,-34909508830,193781024,-784048746,-1608418013,4443813096,-74513244,-20373382559,-60412161285,0,-63000000000,110000000000,0,0,3259946429,-10152214856,0,0,0,-17046830294,0,0,0,-17046830294,-47572427709,204756220545,0,157183792836
2010,2,4496418435,15788196159,-176394037,0,0,-8025469455,2321366946,0,14404118048,46295913166,-24605676565,-18739112071,153355875,-2321366946,-2310989859,2906240840,-6504326000,9278156488,-70333057443,7839091,-260000000000,220000000000,0,0,8115334047,-102209884305,0,0,5650697500,-30407896258,0,-15300760000,0,-40057958758,-132989686575,204756220545,17079896,71783613866
2010,3,15507662001,26261672044,-176394037,0,0,-5634635255,4174820813,0,40133125566,40858343130,-34400609600,-9135750689,458495332,-4174820813,-2940751175,4230814108,-6504326000,28524519859,-83353066129,7839091,-260000000000,230000000000,0,0,10506168247,-102839058791,0,0,9295393341,-37521296258,0,-15300760000,0,-43526662917,-117841201849,204756220545,17079896,86932098592
2010,4,44778706869,35450831097,1767126835,0,0,-5634635255,4174820813,0,80536850359,40858343130,-34400609600,-9135750689,458495332,-4174820813,-2940751175,4230814108,-6504326000,68928244652,-83353066129,7839091,-260000000000,230000000000,0,10506168247,0,-102839058791,0,0,9295393341,-37521296258,0,-15300760000,0,-43526662917,-77437477056,204756220545,17079896,127335823385
2011,1,8377136135,5350518168,0,-543191032,0,0,1894685988,0,15079149259,25074556233,-17775540882,-29537642289,-16289994,-1791830644,-4455910675,1414621487,2000000,-12006887505,-12108611056,0,-77214877000,96000000000,0,0,4251358138,10927870082,0,0,143476579,-8269971841,0,0,0,-8126495262,-9205512685,89081437503,0,79875924818
2011,2,6641157849,12482757418,624445100,543191032,0,-6502297475,1621753299,0,15411007223,20086787674,1403043027,-29246123460,-3486206353,-1769594742,4138690814,-561234487,-405343635,5571026061,5354778720,0,-73005000000,94219877000,0,0,3227434819,29797090539,0,0,4279452091,-12356010500,0,-15438290000,0,-23514848409,11853268191,79875924818,0,91729193009
2011,3,14484497503,7179050361,-5228587258,0,0,-1418274644,1942103973,0,16958789935,-58598889444,-35916544447,88981367748,-407328334,-1929395641,-146489416,1310325,-907043365,8035777361,-9336081889,0,-75000000000,75000000000,0,0,3360378617,-5975703272,0,0,225954251,-7613100000,0,0,0,-7387145749,-5327071660,91729193009,0,86402121349
2011,4,25784909187,5836232298,-28514842,0,0,5108612897,1272081307,0,37973320847,-11638072488,49414549066,-8020089162,631068764,-1272081307,-2592815081,0,0,64495880639,-93647984384,1364082281,-67000000000,95004920000,0,0,1466575863,-62812406240,0,0,865412887,-28629637698,0,0,0,-27764224811,-26080750412,86402121349,0,60321370937
2012,1,2218479843,8350895101,-201758731,0,0,-925174994,26099095,0,9468540314,-6383625532,-12621133740,-24549813237,867958642,-26099095,-3509412057,0,0,-36753584705,-43418471317,0,0,37007813000,0,0,925351994,-5485306323,0,0,0,-117726579,0,0,0,-117726579,-42356617607,60321483966,0,17964866359
2012,2,-8281353725,9610552102,-1676297814,0,0,-335189792,-26099095,0,-708388324,59205676411,-667382263,-11250750218,455331892,26099095,-133098374,2975616000,-3584469663,46318634556,-3733823224,0,0,-37007813000,0,18365404,339079294,-40384191526,0,0,1432134564,-87296091,0,-18382025600,0,-17037187127,-11102744097,17964866359,-9909212,6852213050
2012,3,16509877781,8958745897,-3744725429,0,0,4280590216,120971273,0,26125459738,-30127252529,-1396193701,22229714315,-8480325964,-120971273,512722774,-2208340097,3584469663,10119282926,-11685495083,0,0,0,0,-18365404,-962051279,-12665911766,0,0,10225609630,-178500000,0,-27582400,0,10019527230,7472898390,6852213050,9909212,14335020652
2012,4,22016996241,14508309133,3887510584,0,0,-5657770946,267234148,0,35022279160,13758858298,14827089728,-8715323963,3114535815,-267234148,-2111422328,2247340097,-7618800404,50257322255,-13322798327,1817727276,0,0,0,6440590834,1094676726,-3969803491,0,0,91760000,-11040119589,0,-193015000,0,-11141374589,35146144175,14335020652,-9909215,49471255612
2013,1,5466111178,9954987326,-2666662569,0,0,-467745099,22733955,0,12309424791,32522319950,9748060892,-61466299572,0,-22733955,-4131148974,539902168,-678028542,-11178503242,-5252323809,0,0,0,0,4060392569,467745099,-724186141,0,0,0,-410000000,0,-342000,0,-410342000,-12313031383,49471255612,0,37158224229
2013,2,929076283,9864314927,-386046217,0,0,2335812363,2013561,0,12745170917,-1823274508,8467253927,-4863961567,1901023185,-2013561,-2044264900,-317383435,-456303334,13606246724,-1865562982,150000000,0,0,0,-2731049002,249183728,-4197428256,0,0,430721000,410000000,0,342000,0,841063000,10249881468,37158224229,0,47408105697
