date,open,high,low,close,volume,unadjusted,putthrough
2011-09-06,5.6500,5.6500,5.6500,5.6500,80800,9.2000,0
2011-09-07,5.4000,5.4000,5.4000,5.4000,47270,8.8000,100000
2011-09-08,5.5200,5.6500,5.4000,5.6500,413500,9.2000,0
2011-09-09,5.6500,5.6500,5.4700,5.5300,62590,9.0000,0
2011-09-12,5.5900,5.5900,5.2800,5.2800,89140,8.6000,0
2011-09-13,5.3400,5.4000,5.1600,5.3400,109590,8.7000,0
2011-09-14,5.2800,5.2800,5.0900,5.1000,140150,8.3000,0
2011-09-15,5.0400,5.2200,4.8500,5.0300,57160,8.2000,0
2011-09-16,4.8500,5.0300,4.8500,4.8500,74480,7.9000,0
2011-09-19,4.7900,4.9700,4.7900,4.9100,21550,8.0000,0
2011-09-20,4.7900,4.9100,4.7900,4.7900,26460,7.8000,0
2011-09-21,4.7900,4.7900,4.6100,4.6000,51050,7.5000,0
2011-09-22,4.6600,4.7800,4.6000,4.7900,26700,7.8000,0
2011-09-23,4.7300,4.7900,4.7300,4.7900,8100,7.8000,0
2011-09-26,4.6100,4.8500,4.6100,4.6000,21060,7.5000,0
2011-09-27,4.6600,4.6600,4.6000,4.6700,46590,7.6000,0
2011-09-28,4.6700,4.8500,4.6700,4.6700,21670,7.6000,0
2011-09-29,4.5500,4.6700,4.4900,4.5400,39000,7.4000,0
2011-09-30,4.7200,4.7200,4.4800,4.6700,5540,7.6000,0
2011-10-03,4.4900,4.5500,4.4900,4.5400,15850,7.4000,0
2011-10-04,4.5400,4.5400,4.3600,4.3600,7510,7.1000,0
2011-10-05,4.3000,4.4800,4.3000,4.4800,12650,7.3000,0
2011-10-06,4.5400,4.5400,4.4800,4.5400,7550,7.4000,0
2011-10-07,4.6000,4.6000,4.4200,4.4800,43730,7.3000,0
2011-10-10,4.3600,4.4200,4.3600,4.4200,28560,7.2000,0
2011-10-11,4.4200,4.4200,4.3600,4.4200,10000,7.2000,0
2011-10-12,4.3600,4.3600,4.2400,4.2400,30620,6.9000,0
2011-10-13,4.1200,4.3000,4.1200,4.3000,5230,7.0000,0
2011-10-14,4.3000,4.4200,4.3000,4.3000,14180,7.0000,0
2011-10-17,4.3600,4.4200,4.3600,4.3600,24100,7.1000,0
2011-10-18,4.3600,4.3600,4.2400,4.2400,9620,6.9000,0
2011-10-19,4.1800,4.2400,4.1800,4.1800,6440,6.8000,0
2011-10-20,4.2400,4.3000,4.1200,4.1100,13980,6.7000,0
2011-10-21,4.1100,4.2900,4.1100,4.3000,15910,7.0000,0
2011-10-24,4.2400,4.3600,4.1800,4.1800,15760,6.8000,0
2011-10-25,4.0600,4.1800,4.0600,4.0500,25240,6.6000,0
2011-10-26,3.9900,3.9900,3.8700,3.8700,100650,6.3000,0
2011-10-27,3.8700,3.9900,3.8700,3.8700,2300,6.3000,0
2011-10-28,3.9300,3.9900,3.7500,3.9300,21500,6.4000,0
2011-10-31,3.9900,3.9900,3.8100,3.8100,16180,6.2000,0
2011-11-01,3.9300,3.9300,3.6300,3.6200,99100,5.9000,0
2011-11-02,3.6800,3.6800,3.6200,3.6800,11880,6.0000,0
2011-11-03,3.6800,3.6800,3.6200,3.6800,32640,6.0000,0
2011-11-04,3.7400,3.7400,3.6200,3.6800,160940,6.0000,0
2011-11-07,3.6800,3.6800,3.6200,3.6200,39240,5.9000,0
2011-11-08,3.6800,3.6800,3.5600,3.6200,13900,5.9000,0
2011-11-09,3.6800,3.6800,3.6200,3.6800,47990,6.0000,0
2011-11-10,3.6800,3.6800,3.6200,3.6800,34520,6.0000,0
2011-11-11,3.6800,3.7400,3.6800,3.6800,83010,6.0000,0
2011-11-14,3.7400,3.8000,3.7400,3.8100,152620,6.2000,0
2011-11-15,3.9900,3.9900,3.9300,3.9900,207370,6.5000,0
2011-11-16,4.1100,4.1700,4.1100,4.1800,231820,6.8000,0
2011-11-17,4.2400,4.3000,4.1800,4.3000,52960,7.0000,0
2011-11-18,4.3600,4.3600,4.1800,4.3000,80140,7.0000,0
2011-11-21,4.1800,4.3000,4.1200,4.1100,52710,6.7000,0
2011-11-22,3.9900,4.1100,3.9300,4.0500,119220,6.6000,0
2011-11-23,4.0500,4.1100,3.8700,4.1100,16140,6.7000,90000
2011-11-24,4.1100,4.1100,3.9900,4.0500,30170,6.6000,0
2011-11-25,3.9900,3.9900,3.8700,3.8700,5660,6.3000,0
2011-11-28,3.8700,3.9300,3.8700,3.9300,49120,6.4000,0
2011-11-29,3.9300,3.9900,3.9300,3.9900,42500,6.5000,100000
2011-11-30,3.9300,3.9900,3.9300,3.9900,29610,6.5000,0
2011-12-01,4.0500,4.0500,3.9300,3.9900,86140,6.5000,0
2011-12-02,3.9900,4.0500,3.9300,3.9900,89200,6.5000,0
2011-12-05,4.0500,4.1700,4.0500,4.1800,50970,6.8000,0
2011-12-06,4.1800,4.1800,4.0600,4.1800,98110,6.8000,0
2011-12-07,4.1800,4.3000,4.1800,4.3000,79940,7.0000,0
2011-12-08,4.3600,4.3600,4.3000,4.3600,20180,7.1000,0
2011-12-09,4.3000,4.3000,4.1800,4.3000,9180,7.0000,0
2011-12-12,4.2400,4.3000,4.2400,4.3000,13000,7.0000,0
2011-12-13,4.1800,4.2400,4.1800,4.2400,23500,6.9000,0
2011-12-14,4.2400,4.2400,4.0600,4.1100,10630,6.7000,0
2011-12-15,3.9900,4.0500,3.9300,4.0500,13080,6.6000,0
2011-12-16,4.1100,4.1100,4.1100,4.1100,6130,6.7000,0
2011-12-19,4.1100,4.1100,4.1100,4.1100,10110,6.7000,0
2011-12-20,3.9900,4.1100,3.9900,3.9900,23110,6.5000,0
2011-12-21,4.1100,4.1100,3.9900,3.9900,5210,6.5000,0
2011-12-22,4.1100,4.1100,3.9300,3.9300,400,6.4000,0
2011-12-23,3.8700,3.9300,3.8700,3.9300,32370,6.4000,0
2011-12-26,3.8700,3.9300,3.8700,3.9300,13900,6.4000,0
2011-12-27,3.8100,3.9300,3.7500,3.9300,5010,6.4000,0
2011-12-28,3.9300,3.9300,3.8700,3.8700,1630,6.3000,0
2011-12-29,3.8100,3.8700,3.6900,3.8700,60400,6.3000,0
2011-12-30,3.6900,3.6900,3.6900,3.6800,9970,6.0000,0
2012-01-03,3.8600,3.8600,3.7400,3.8100,21460,6.2000,0
2012-01-04,3.8100,3.8100,3.8100,3.8100,2000,6.2000,0
2012-01-05,3.8100,3.8700,3.8100,3.8700,8510,6.3000,0
2012-01-06,3.8700,3.8700,3.8100,3.8100,9520,6.2000,0
2012-01-09,3.8700,3.8700,3.8700,3.8700,400,6.3000,0
2012-01-10,3.8700,3.9300,3.8700,3.9300,1710,6.4000,0
2012-01-11,3.9300,3.9900,3.9300,3.9900,13690,6.5000,0
2012-01-12,3.9900,3.9900,3.9900,3.9900,930,6.5000,0
2012-01-13,4.0500,4.0500,4.0500,4.0500,100,6.6000,0
2012-01-16,4.1100,4.1100,4.0500,4.1100,9150,6.7000,0
2012-01-17,4.1100,4.1700,4.0500,4.1800,11280,6.8000,0
2012-01-18,4.2400,4.2400,4.0000,4.2400,22400,6.9000,0
2012-01-19,4.2400,4.3000,4.2400,4.3000,4700,7.0000,0
2012-01-20,4.2400,4.3000,4.2400,4.3000,9500,7.0000,0
2012-01-30,4.1800,4.3600,4.1800,4.3600,5700,7.1000,0
2012-01-31,4.3600,4.3600,4.3000,4.3600,16900,7.1000,0
2012-02-01,4.3600,4.3600,4.3600,4.3600,3750,7.1000,0
2012-02-02,4.3600,4.4200,4.3000,4.4200,31760,7.2000,37476
2012-02-03,4.4200,4.4200,4.2400,4.3600,24270,7.1000,0
2012-02-06,4.3600,4.3600,4.3600,4.3600,100,7.1000,0
2012-02-07,4.1800,4.3600,4.1800,4.3000,2920,7.0000,0
2012-02-08,4.3000,4.3600,4.3000,4.3000,3320,7.0000,0
2012-02-09,4.3000,4.4200,4.3000,4.4200,16420,7.2000,100000
2012-02-10,4.3000,4.3000,4.2400,4.3000,11240,7.0000,0
2012-02-13,4.3000,4.3600,4.2400,4.3000,43860,7.0000,0
2012-02-14,4.3000,4.3600,4.3000,4.3000,67810,7.0000,0
2012-02-15,4.3000,4.3000,4.2400,4.2400,13570,6.9000,0
2012-02-16,4.2400,4.2400,4.1200,4.2400,7760,6.9000,0
2012-02-17,4.3000,4.3600,4.3000,4.3000,4990,7.0000,0
2012-02-20,4.3000,4.4200,4.3000,4.4200,18490,7.2000,0
2012-02-21,4.3000,4.3000,4.3000,4.3000,9600,7.0000,0
2012-02-22,4.3000,4.3000,4.1200,4.2400,16710,6.9000,0
2012-02-23,4.2400,4.2400,4.2400,4.2400,32560,6.9000,0
2012-02-24,4.1800,4.3600,4.1800,4.3000,59540,7.0000,0
2012-02-27,4.3600,4.4800,4.3000,4.4800,174410,7.3000,0
2012-02-28,4.6000,4.6000,4.4200,4.4200,33310,7.2000,0
2012-02-29,4.4800,4.4800,4.3000,4.3000,7230,7.0000,0
2012-03-01,4.4200,4.4800,4.3600,4.4200,81170,7.2000,0
2012-03-02,4.4200,4.4200,4.3600,4.4200,30260,7.2000,0
2012-03-05,4.4200,4.6000,4.4200,4.6000,773300,7.5000,0
2012-03-06,4.7800,4.7800,4.6600,4.7900,600640,7.8000,0
2012-03-07,4.9700,4.9700,4.7900,4.9700,247170,8.1000,0
2012-03-08,4.7900,5.0900,4.7900,4.9100,43750,8.0000,39500
2012-03-09,4.7900,4.8500,4.6600,4.6700,209480,7.6000,0
2012-03-12,4.4900,4.5500,4.4900,4.4800,81220,7.3000,60000
2012-03-13,4.3600,4.6600,4.3000,4.6700,301820,7.6000,0
2012-03-14,4.4900,4.6700,4.4900,4.4800,151000,7.3000,0
2012-03-15,4.4800,4.6600,4.3600,4.6000,76290,7.5000,0
2012-03-16,4.6000,4.7200,4.6000,4.6000,238270,7.5000,0
2012-03-19,4.5400,4.6600,4.5400,4.5400,90700,7.4000,0
2012-03-20,4.5400,4.6000,4.4800,4.6000,49230,7.5000,0
2012-03-21,4.6000,4.7800,4.6000,4.6000,210610,7.5000,0
2012-03-22,4.7800,4.7800,4.7200,4.7900,449960,7.8000,0
2012-03-23,4.9700,4.9700,4.9700,4.9700,255120,8.1000,0
2012-03-26,5.2200,5.2200,5.1500,5.2200,681850,8.5000,0
2012-03-27,5.4000,5.4000,5.1600,5.1600,577380,8.4000,0
2012-03-28,4.9800,5.1600,4.9100,5.1600,282320,8.4000,0
2012-03-29,5.1600,5.2200,5.0400,5.1000,236930,8.3000,0
2012-03-30,5.1000,5.1000,4.9800,4.9700,197720,8.1000,0
2012-04-03,4.8300,4.9700,4.8300,4.9000,113950,7.0000,0
2012-04-04,4.7600,4.9700,4.6900,4.7600,127320,6.8000,0
2012-04-05,4.8300,4.8300,4.6900,4.8300,73660,6.9000,0
2012-04-06,4.8300,5.0400,4.8300,4.9700,133610,7.1000,0
2012-04-09,4.8300,5.0400,4.8300,5.0400,39930,7.2000,0
2012-04-10,5.1100,5.1100,4.9700,4.9700,89000,7.1000,0
