Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2005,0,7608382000000,-4679014000000,2929368000000,300927000000,-54329000000,246598000000,44224000000,499000000,599579000000,253549000000,0,253549000000,24526000000,4098343000000,-1325777000000,2772566000000,-2031687000000,740879000000,-180886000000,0,-180886000000,559993000000,0,0
2006,0,10921070000000,-7570229000000,3350841000000,476171000000,-83177000000,392994000000,107725000000,221513000000,0,679910000000,-25318000000,654592000000,12406000000,4740071000000,-1634088000000,3105983000000,-1993491000000,1112492000000,-110779000000,0,-110779000000,1001713000000,0,0
2007,0,15436384000000,-10579935000000,4856449000000,791396000000,-167206000000,624190000000,139647000000,159830000000,0,2040945000000,-26786000000,2014159000000,16629000000,7810904000000,-2384821000000,5426083000000,-3397837000000,2028246000000,-496830000000,0,-496830000000,1529509000000,-1907000000,0
2008,0,22139155000000,-15903047000000,6236108000000,1260454000000,-257566000000,1002888000000,790799000000,-839004000000,0,1235166000000,-175231000000,1059935000000,119159000000,8369885000000,-3447832000000,4922053000000,-2553515000000,2368538000000,-371213000000,0,-371213000000,1997325000000,0,0
2009,0,21209756000000,-14235364000000,6974392000000,1968238000000,-564112000000,1404126000000,208866000000,721642000000,0,905633000000,-294692000000,610941000000,233998000000,10153965000000,-4536214000000,5617751000000,-2012282000000,3605469000000,-787968000000,0,-787968000000,2817501000000,0,0
2010,0,29781863000000,-20590477000000,9191386000000,2411228000000,-634700000000,1776528000000,288675000000,-155302000000,-135438000000,800517000000,-413168000000,387349000000,134601000000,11487799000000,-5545615000000,5942184000000,-1316616000000,4625568000000,-864853000000,0,-864853000000,3757691000000,-3024000000,0
2011,0,44557111000000,-31918155000000,12638956000000,2813420000000,-656215000000,2157205000000,314418000000,-211304000000,-206446000000,1199447000000,-592844000000,606603000000,115046000000,15414478000000,-6652479000000,8761999000000,-4542126000000,4219873000000,-1020265000000,0,-1020265000000,3209162000000,9554000000,0
2012,0,30522623000000,-21314411000000,9208212000000,1881855000000,-439183000000,1442672000000,247357000000,62541000000,-12457000000,894705000000,-407844000000,486861000000,49899000000,11485085000000,-4574004000000,6911081000000,-3521163000000,3389918000000,-817975000000,0,-817975000000,2570819000000,-1124000000,922
2013,0,43824717000000,-28980070000000,14844647000000,2419761000000,-852810000000,1566951000000,162278000000,465641000000,924319000000,1779541000000,-916711000000,862830000000,337194000000,19163860000000,-7391042000000,11772818000000,-6482862000000,5289956000000,-1239367000000,419000000,-1238948000000,4030709000000,-20299000000,1200
2014,0,43984255000000,-27139993000000,16844262000000,2981200000000,-1178465000000,1802735000000,265189000000,210369000000,818551000000,2440970000000,-847030000000,1593940000000,371578000000,21906624000000,-8623895000000,13282729000000,-6985696000000,6297033000000,-1310876000000,-490000000,-1311366000000,4947887000000,-37780000000,1387
2015,0,49005228000000,-29690259000000,19314969000000,3962354000000,-1625823000000,2336531000000,293971000000,-62986000000,11294000000,3537553000000,-1168160000000,2369393000000,448992000000,24712164000000,-11087176000000,13624988000000,-5676332000000,7948656000000,-1571900000000,0,-1571900000000,5822263000000,-554493000000,1434
2016,0,62600277000000,-39165682000000,23434595000000,4490151000000,-1981011000000,2509140000000,534468000000,455425000000,402957000000,3785164000000,-1902181000000,1882983000000,1214488000000,30434056000000,-13526621000000,16907435000000,-9198824000000,7708611000000,-1496525000000,16770000000,-1479755000000,6137551000000,-91305000000,1354
2017,0,78628515000000,-47673184000000,30955331000000,5611617000000,-2645847000000,2965770000000,668128000000,481615000000,331341000000,4594254000000,-1315256000000,3278998000000,335537000000,39016720000000,-15504237000000,23512483000000,-14847306000000,8665177000000,-1757940000000,38349000000,-1719591000000,6786710000000,-158876000000,1499
2018,0,90074018000000,-55118154000000,34955864000000,6801845000000,-3251046000000,3550799000000,1039685000000,645456000000,234077000000,5337309000000,-1522134000000,3815175000000,242006000000,44483062000000,-16116922000000,28366140000000,-18893635000000,9472505000000,-1926628000000,-4044000000,-1930672000000,7357869000000,-183964000000,0
2019,0,100747225000000,-64769417000000,35977808000000,7871837000000,-3605506000000,4266331000000,1494696000000,325524000000,481222000000,6517869000000,-1156695000000,5361174000000,214485000000,48121240000000,-17257115000000,30864125000000,-20131916000000,10732209000000,-2162657000000,-21795000000,-2184452000000,8368491000000,-179266000000,2163
