date,open,high,low,close,volume,unadjusted,putthrough
2019-08-01,13.9846,13.9846,13.9846,13.9846,100,14.0000,0
2019-08-02,16.0823,16.0823,16.0823,16.0823,100,16.1000,0
2019-08-05,18.4797,18.4797,18.4797,18.4797,100,18.5000,0
2019-08-06,21.1767,21.1767,21.1767,21.1767,4000,21.2000,0
2019-08-07,22.0757,22.0757,22.0757,22.0757,600,22.1000,0
2019-08-08,20.7771,20.7771,20.7771,20.7771,100,20.8000,0
2019-09-30,21.4763,21.4763,21.4763,21.4764,100,21.5000,0
2019-12-30,20.7772,20.7772,20.7772,20.7771,100,20.8000,0
2020-03-10,29.0680,29.0680,29.0680,29.0680,100,29.1000,0
2020-03-11,33.3633,33.3633,33.3633,33.3633,200,33.4000,0
2020-03-12,38.3578,38.3578,37.9582,38.3578,1900,38.4000,0
2020-03-13,43.4522,43.4522,43.4522,43.4522,1800,43.5000,0
2020-03-16,43.4522,48.9462,43.4522,48.9462,1500,49.0000,0
2020-03-17,43.9517,46.9484,43.9517,44.9506,1000,45.0000,0
2020-04-28,32.9637,32.9637,32.9637,32.9637,100,33.0000,0
2020-05-19,28.0691,33.4631,28.0691,33.4632,900,33.5000,0
2020-05-29,34.7618,34.7618,34.7618,34.7618,200,34.8000,0
2020-06-17,29.6000,29.6000,29.6000,29.6000,100,29.6000,0
2020-06-19,25.2000,25.2000,25.2000,25.2000,100,25.2000,0
2020-06-22,21.5000,21.5000,21.5000,21.5000,3000,21.5000,0
2020-06-23,20.8000,21.7000,20.8000,21.7000,6500,21.7000,16200
2020-06-24,24.3000,24.3000,24.3000,24.3000,3000,24.3000,0
2020-06-25,24.3000,27.9000,24.3000,27.9000,3200,27.9000,0
2020-06-26,31.5000,31.5000,31.5000,31.5000,3000,31.5000,0
2020-06-29,31.5000,35.0000,31.5000,35.0000,4900,35.0000,0
2020-06-30,29.5000,29.5000,29.5000,29.5000,100,29.5000,0
2020-07-10,25.2000,25.2000,25.2000,25.2000,1800,25.2000,0
2020-07-13,21.5000,21.6000,21.5000,21.5000,3400,21.5000,0
2020-07-14,21.6000,21.6000,21.6000,21.6000,500,21.6000,0
2020-07-29,21.6000,21.6000,21.6000,21.6000,200,21.6000,0
2020-07-31,24.8000,24.8000,24.8000,24.8000,1500,24.8000,0
2020-08-03,21.1000,21.1000,21.1000,21.1000,100,21.1000,0
2020-08-04,18.1000,18.1000,18.1000,18.1000,100,18.1000,0
2020-08-05,20.8000,20.8000,20.8000,20.8000,100,20.8000,0
2020-08-06,20.8000,20.8000,20.8000,20.8000,100,20.8000,0
2020-08-14,18.1000,23.9000,18.1000,23.9000,300,23.9000,0
2020-08-17,23.6000,23.6000,23.6000,23.6000,100,23.6000,0
2020-08-19,26.9000,26.9000,26.9000,26.9000,200,26.9000,0
2020-08-26,29.9000,29.9000,29.9000,29.9000,100,29.9000,0
