Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2007,0,329694053701,0,329694053701,-282340547875,47353505826,12348073215,-2423205462,-914867896,-25604518553,-10929456062,20744398964,502845011,-3,502845008,0,21247243972,-2556505972,0,-2556505972,18690738000,-169073636,18859811636,3002,0
2008,0,310974377077,0,310974377077,-255680053095,55294323982,17024197150,-20212463461,-2931906937,-23872967978,-13037935000,15195154693,6360650984,-241739685,6118911299,0,21314065992,-2782315562,0,-2782315562,18531750430,319991024,18211759406,2029,0
2009,0,208304949563,0,208304949563,-143224159590,65080789973,18209059981,-7604578278,-2490203896,-26056723783,-13941353247,35687194646,135571153,-131688437,3882716,462160082,36153237444,-7889479585,0,-7889479585,28263757859,443173302,27820584557,3161,0
2010,0,272301426601,0,272301426601,-190257105744,82044320857,12053897720,-4089455197,-2480746156,-29244888624,-17696880360,43066994396,1917487318,-1894352640,23134678,403756873,43493885947,-10280752823,0,-10280752823,33213133124,499150317,32713982807,3717,0
2011,0,311134505670,0,311134505670,-210737531963,100396973707,13659270521,-14153570592,-785282802,-35198053562,-19809865907,44894754167,337063964,-29275849,307788115,465600011,45668142293,-11285634676,0,-11285634676,34382507617,650849850,33731657767,3833,0
2012,0,325244439784,-66910399,325177529385,-230004516866,95173012519,14346208558,-1527716607,-230054691,-39542781918,-21512253628,46936468924,1260221344,-487451064,772770280,-573487382,47135751822,-11697663674,0,-11697663674,35438088148,0,35438088148,4027,0
2013,0,338366050109,-659520,338365390589,-241765626194,96599764395,10929822062,12839283342,0,-39601859381,-20526538612,60240471806,1904077304,-27327667,1876749637,750198024,62867419467,-15400848954,0,-15400848954,47466570513,474168896,46992401617,4433,0
2014,0,329240772567,0,329240772567,-234426786149,94813986418,5986035531,-346168132,0,-33962409659,-18616173098,48024266582,1887354890,-427749478,1459605412,0,49483871994,-10786660971,0,-10786660971,38697211023,384850734,38312360289,2989,0
2015,0,333861547823,0,333861547823,-245121183984,88740363839,7512566214,880247606,0,-36719519273,-23148032825,37357130216,14098588181,-2317132453,11781455728,0,49138585944,-10860072983,0,-10860072983,38278512961,412906607,37865606354,2914,0
2016,0,365708411540,0,365708411540,-271535447313,94172964227,4476335395,-779072868,-616850792,-32393512105,-22460185175,37934151109,1237618359,-162898579,1074719780,0,39008870889,-8620041244,748976695,-7871064549,31137806340,358251107,30779555233,2532,2532
2017,0,357383556597,0,357383556597,-240384894212,116998662385,5734371479,-832976601,-819961914,-41198674726,-27023079016,48319543354,667825423,-364765691,303059732,0,48622603086,-10140054249,41048107,-10099006142,38523596944,0,38523596944,2536,2536
2018,0,353861505091,0,353861505091,-226356488523,127505016568,6221102643,-64965857,0,-41296762348,-25513467674,61856647002,4641838130,-392976638,4248861492,0,66105508494,-12659220380,-790024802,-13449245182,52656263312,0,52656263312,3256,3256
2019,0,318919863802,0,318919863802,-186630853951,132289009851,9316487530,-288501286,0,-37680631190,-33255659743,65409614297,2200539537,-405941961,1794597576,0,67204211873,-14758083232,1150167425,-13607915807,53596296066,-81512361,53677808427,3555,3555
