Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2016,3,1468053458406,79553541424,34553541424,45000000000,206000000000,0,0,885536603933,216867940611,39638023210,0,0,618848780165,-6318140053,288745200650,289384540347,-639339697,8218112399,6819388362,340670439,1058053598,0,5258816414542,1180816974459,0,1180816974459,0,0,3287571167888,3202152140001,4838581925234,-1636429785233,0,0,0,85419027887,92275387447,-6856359560,0,0,0,0,329605049606,0,97709409787,232500000000,-604360181,35766828226,35766828226,0,0,0,6726869872948,5226332331948,1220455528974,656979197299,60557266937,11149779473,48371714870,35848971212,24529151267,0,0,318577433520,39523615088,4005876802974,0,0,2889705324747,1116171478227,0,0,0,1500537541000,1500017261000,1500000000000,0,17261000,0,0,0,0,0,0,0,520280000,0,520280000,0,6726869872948
2016,4,1236753092128,213883870608,148883870608,65000000000,133500000000,0,0,604787891610,243867177863,205243097195,0,0,149781858686,-10604242134,278000319434,278196537885,-196218451,6581010476,4560269636,349318782,1671422058,0,7488012120735,15495572083,0,0,15495572083,0,3716546207318,3630040069274,5513431274248,-1883391204974,0,0,0,86506138044,92539587447,-6033449403,0,0,0,0,315243943561,0,97709409787,232500000000,-34965466226,60186127965,60186127965,0,0,0,8724765212863,5863215081555,1483166132718,696864375271,358293694644,9857313302,21203660843,32171246025,34265285515,0,0,260112634378,52644903962,4380048948837,0,0,3263514673359,1116534275478,0,0,0,2861550131308,2860695248539,1500000000000,0,1334864949283,0,0,0,0,0,0,25830299256,854882769,0,520280000,0,8724765212863
2017,1,1240730865383,160138065492,123638065492,36500000000,127500000000,0,0,629172827623,232368742625,228126273245,0,0,152777815387,-10600003634,312047555793,312243774244,-196218451,11872416475,9225218708,276838242,2370359525,0,7566301331223,19976373942,0,0,19976373942,0,3814011778998,3727690478154,5680228329661,-1952537851507,0,0,0,86321300844,92539587447,-6218286603,0,0,0,0,311703943561,0,97709409787,232500000000,-38505466226,57907259093,57907259093,0,0,0,8807032196606,5805980412112,1260645921929,673522730208,183653466758,17321010271,17830061211,15738409985,22816637775,0,0,282855031702,52815211540,4545334490183,0,0,3375551252444,1169783237739,0,0,0,3001051784494,3000196901725,1500000000000,0,1421476126694,0,0,0,0,0,0,78720775031,854882769,0,520280000,0,8807032196606
2017,2,1381459048267,165365898803,118865898803,46500000000,174300000000,0,0,735034183350,230624618508,346690552557,0,0,152077814631,-15858802346,293896854405,294093072856,-196218451,12862111709,9211594886,2562404246,1088112577,0,7976257672868,15172373942,0,0,15172373942,0,3863394239031,3777384970123,5852069766582,-2074684796459,0,0,0,86009268908,92539587447,-6530318539,0,0,0,0,329743943561,0,97709409787,232500000000,-465466226,52397863502,52397863502,0,0,0,9357716721135,6204125142275,1232557584180,695561724645,204537041422,19074838841,18161904500,15742838356,33782579147,0,0,194425249054,59088354878,4971567558095,0,0,3651410865837,1320156692258,0,0,0,3153591578860,3152853237928,1500000000000,0,1553488703721,0,0,0,0,0,0,99364534207,738340932,0,520280000,0,9357716721135
2017,3,1896739225444,332279301554,270779301554,61500000000,218300000000,0,0,1057690564919,304923243267,492144389231,0,0,169394575159,-21798802346,280961669949,281157888400,-196218451,7507689022,7330383703,75316442,101988877,0,8246605757491,15374373942,0,0,15374373942,0,3817808092735,3731983661026,5882565306223,-2150581645197,0,0,0,85824431709,92539587447,-6715155738,0,0,0,0,309243943561,0,97709409787,232500000000,-40965466226,61401445690,61401445690,0,0,0,10143344982935,6909558158401,1408658736473,773048004392,293270609381,12445936318,16597495541,17297207263,22580621342,0,0,194651253001,89268458475,5500899421928,0,0,4126646255952,1374253165976,0,0,0,3233786824534,3232931941765,1500000000000,0,1584728246683,0,0,0,0,0,0,148203695082,854882769,0,520280000,0,10143344982935
2017,4,1566660048717,265025171262,253525171262,11500000000,171300000000,0,0,812255895359,350080307901,251107844758,0,0,221019445070,-16451702370,313131376130,313327594581,-196218451,4947605966,4820197611,75316442,52091913,0,9275142570144,13789553820,0,0,13789553820,0,3862431696768,3777174005142,5944569651718,-2167395646576,0,0,0,85257691626,92539587447,-7281895821,0,0,0,0,320075556009,0,95541022235,232500000000,-7965466226,60827331376,60827331376,0,0,0,10841802618861,7423151675445,1384343359744,672963562958,472627784170,9675210117,34826195737,20108363281,22519290571,0,0,53837271767,97615976948,6038808315701,0,0,4658409047656,1380399268045,0,0,0,3418650943416,3418022618520,1500000000000,0,1664442795073,0,0,0,0,0,0,253579823447,628324896,0,520280000,0,10841802618861
2018,1,1519549402781,184898127786,153398127786,31500000000,181300000000,0,0,833478063708,261172797117,435830907321,0,0,159331617188,-22857257918,309894424365,310090642816,-196218451,9978786922,6578215755,1470439003,1930132164,0,9543311839900,13788325205,0,0,13788325205,0,3995590701362,3910348924703,6021070755023,-2110721830320,0,0,0,85241776659,92609587447,-7367810788,0,0,0,0,334977300972,0,140277300972,239700000000,-45000000000,59440949187,56698524539,0,0,0,11062861242681,7603885119155,1343947351875,579213919935,371280352684,14552836368,32711967056,20236305720,24159390694,0,0,248891503886,46798520445,6259937767280,0,0,4723188900654,1536569246781,179619845,0,0,3458976123526,3458347798630,1500000000000,653113096,1787017551716,0,0,0,91325452973,0,0,79351680845,628324896,0,520280000,0,11062861242681
2018,2,1571431478502,217562787801,199062787801,18500000000,196300000000,0,0,836850405229,388864629956,348034053257,0,0,116015471115,-16063749099,311498746402,311694964853,-196218451,9219539070,7860874214,1006371045,352293811,0,10520344467013,13762623942,0,0,13762623942,0,4095223075678,4010233233592,6216159452243,-2205926218651,0,0,0,84989842086,92609587447,-7619745361,0,0,0,0,577400081560,0,165920081560,505190670000,-93710670000,53383221542,52476665145,0,0,0,12091775945515,8353984083733,1505417433524,814564509528,310262251650,17161979312,23884277481,60663727627,13652705345,0,0,193218176895,67183236169,6848566650209,0,0,5408572859278,1439814171086,179619845,0,0,3737791861782,3737163536886,1500000000000,0,2014219236928,0,0,0,72324893590,0,0,147584204546,628324896,0,520280000,0,12091775945515
2018,3,1586831548022,183435336917,158935336917,24500000000,121300000000,0,0,947061921829,346100098038,489742211613,0,0,127283361277,-16063749099,327304521130,327500739581,-196218451,7729768146,6777040119,828891147,123836880,0,11453717341315,13774575205,0,0,13774575205,0,4254954653522,4170216746009,6489936171770,-2319719425761,0,0,0,84737907513,92609587447,-7871679934,0,0,0,0,640099220242,0,199386290242,505233600000,-64520670000,51368641725,50485734625,0,0,0,13040548889337,9054619762633,1519199758992,719691591110,391259898385,18608273571,41793546717,99186369918,17041636670,0,0,198163456721,30764906344,7535420003641,0,0,6113619753865,1421620629931,179619845,0,0,3985929126704,3985300801808,1500000000000,0,2135233347526,0,0,0,72324893590,0,0,274654212730,628324896,0,520280000,0,13040548889337
2018,4,1486162639522,167354846590,152854846590,14500000000,176300000000,0,0,761374192983,354301858725,311133570608,0,0,112076955450,-16138191800,374980203874,374980203874,0,6153396075,4744964183,606866538,801565354,0,12210685464147,13762623942,0,0,13762623942,0,4298310248382,4213815684281,6642190458696,-2428374774415,0,0,0,84494564101,92609587447,-8115023346,0,0,0,0,653414521901,0,206354521901,505233600000,-58173600000,49552601630,48693343827,0,0,0,13696848103669,9475558252963,1475917651828,762588810394,349802898286,19361789531,31427632314,95599485772,12005029986,0,0,192905552274,9544263676,7999640601135,0,0,6352295208288,1647165773002,179619845,0,0,4221289850706,4220689433310,1500000000000,0,2275813146361,0,0,0,72324893590,0,0,369403098843,600417396,0,520280000,0,13696848103669
