disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2014-11-27,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2014-12-08,,,Giá tham chiếu 33.000đ/cp,,,,
2015-02-26,investorRight,MEETING,Họp cổ đông,2015-03-06,2015-04-10,2015-04-10,Họp ĐHCĐ thường niên năm 2015,,,,
2015-04-15,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-04-23,2015-05-12,2015-05-12,Trả cở tức năm 2014 (3.000đ/cp),3000,30,,2014
2016-01-28,investorRight,MEETING,Họp cổ đông,2016-02-15,2016-03-15,2016-03-15,ĐHCĐ thường niên năm 2016,,,,
2016-03-16,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến cổ tức 30% cho năm 2016,,30,,2016
2016-03-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-03-30,2016-04-11,2016-04-11,Cổ tức bằng tiền năm 2015 (3.000đ/cp),3000,30,,2015
2016-08-20,investorRight,MEETING,Họp cổ đông,2016-09-08,2016-10-11,2016-10-11,ĐHĐCĐ bất thường năm 2016,,,,
2017-01-10,investorRight,ISSUE,Phát hành thêm,2016-12-12,2017-02-13,,"Phát hành 28,800,000 cp cho CĐHH, giá 20000 đ/cp, tỷ lệ 100:100",,100,,
2017-02-22,investorRight,MEETING,Họp cổ đông,2017-03-09,2017-04-11,2017-04-11,Đại hội cổ đông thường niên năm 2017,,,,
2017-03-10,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2017-03-21,,,Số lượng 28687243 cp,,,,
2017-03-10,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2018-02-23,,,Số lượng 112757 cp,,,,
2017-04-17,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-04-27,2017-05-16,2017-05-16,Trả cổ tức năm 2016 (3500đ/cp),3500,35,,2016
2017-09-18,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-10-05,2017-10-19,2017-10-19,Trả cổ tức năm 2017 (2000 đ/cp),2000,20,,2017
2017-10-23,investorRight,MEETING,Họp cổ đông,2017-11-09,2017-11-28,2017-11-28,ĐHĐCĐ bất thường năm 2017,,,,
2018-03-09,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-03-29,2018-04-20,2018-04-20,Tạm ứng cổ tức đợt 2/2017 (1500 đ/cp),1500,15,2,2017
2018-03-09,investorRight,MEETING,Họp cổ đông,2018-03-29,2018-04-18,2018-04-18,ĐHĐCĐ thường niên năm 2018,,,,
2018-08-03,stockAlert,noticed,Nhắc nhở,2018-08-03,,,Chậm CBTT QĐ về thành lập chi nhánh công ty,,,,
2018-11-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-12-11,2018-12-25,2018-12-25,Tạm ứng cổ tức năm 2018 (1500 đ/cp),1500,15,,2018
2019-03-07,investorRight,MEETING,Họp cổ đông,2019-03-27,2019-04-13,2019-04-13,ĐHĐCĐ thường niên năm 2019,,,,
2019-04-18,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-05-02,2019-05-17,2019-05-17,Trả cổ tức đợt 2/2018 (3500đ/cp),3500,35,2,2018
2019-08-22,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-09-05,2019-09-20,2019-09-20,Trả cổ tức năm 2019 (2500 đ/cp),2500,25,,2019
2019-11-06,investorRight,MEETING,Họp cổ đông,2019-11-22,,,ĐHĐCĐ bất thường năm 2019,,,,
2020-03-13,investorRight,MEETING,Họp cổ đông,2020-04-01,2020-04-18,2020-04-18,ĐHĐCĐ thường niên năm 2020,,,,
2020-04-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2020-05-04,2020-05-20,2020-05-20,Trả cổ tức năm 2019 (2500 đ/cp),2500,25,,2019
