Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2011,1,16877409066,-15362066390,-1234993033,-6483133094,0,4810501241,-6496901979,85602150,-7889184189,-22930000,0,0,0,0,0,208086553,185156553,0,0,34219500368,-30650000000,0,0,0,3569500368,-4134527268,8519815801,0,4385288533
2011,2,22147766282,-17502957871,-1322863914,-8271217140,0,57305584205,-13876842499,38479469063,38479469063,-237266000,0,0,0,0,0,164534253,-72731747,0,0,18531765840,-33100000000,0,-24271718750,0,-38839952910,-433215594,4385288533,0,3952072939
2011,3,16623852534,-8560217385,-1359070365,-7834694872,0,30426772665,-10338013182,0,18958629395,-13545455,0,0,0,-20090000000,0,219601350,-19883944105,0,0,18366178010,-20548929665,0,0,0,-2182751655,-3108066365,3952072939,0,844006574
2011,4,36887616974,-16650662894,-1262683150,-7444133742,0,18810255054,-64187427967,0,-33847035725,0,0,0,0,-550000000,0,205206659,-344793341,0,0,88355989265,-54106888779,0,0,0,34249100486,57271420,844006574,0,901277994
2012,1,26461899871,-15641630027,-2384592157,-6972844612,0,10398386688,-13884547801,96656516,-2023328038,0,0,0,0,-640000000,0,191501881,-448498119,0,0,17419614288,-13844181556,0,0,0,3575432732,1103606575,901277994,0,2004884569
2012,2,23935098304,-11725700246,-1753883362,-6067635872,0,13443390718,-27407011225,0,-9575741683,-14000000,0,0,0,-770000000,0,194803431,-589196569,0,0,100756109100,-92251000000,0,0,0,8505109100,-1659829152,2004884569,0,345055417
2012,3,28841779215,-7593537830,-1503397974,-9063730034,0,45933664647,-14311589779,0,42303188245,0,0,0,0,0,0,114212489,114212489,0,0,12869919043,-54326929665,0,0,0,-41457010622,960390112,345055417,0,1305445529
2012,4,38870248757,-3231085728,-1289695588,-6738745528,0,10114082165,-2279583945,-96656516,35445220133,0,0,0,0,0,22050000000,80687692,22130687692,0,0,3905732480,-61632070335,0,0,0,-57726337855,-150430030,1305445529,0,1155015499
2013,1,20478318367,-8088048405,-1866729324,-5170760943,0,1958707650,-3512133304,0,3799354041,0,0,0,0,0,0,136956308,136956308,0,0,3000000000,-6868952480,0,0,0,-3868952480,67357869,1155090699,0,1222448568
2013,2,15470121962,-7736842335,-2215969509,-6453324519,-606175347,11802698795,-10344057940,0,-83548893,0,0,-60000000,0,0,0,69715014,9715014,0,0,18659767177,-18607209665,0,0,0,52557512,-21276367,1222448568,0,1201172201
2013,3,6711346344,-6222392594,-785603472,-3960886989,0,11661029226,-4258878863,0,3144613652,0,0,0,60000000,0,0,41696760,101696760,0,0,14772827477,-18350000000,0,0,0,-3577172523,-330862111,1201172201,0,870310090
2013,4,5183909546,-1686231588,-1123124343,-2709229666,0,21645282187,-6902176670,0,14408429466,0,0,0,0,0,0,62670358,62670358,0,0,11211801464,-26169198806,0,0,0,-14957397342,-486297518,870310090,0,384012572
2014,1,6705751969,-5970282697,-901710629,-4062104189,0,16013872790,-8303920304,0,3481606940,0,0,0,0,0,0,67233814,67233814,0,0,16464869974,-19614147215,0,0,0,-3149277241,399563513,384012689,0,783576202
2014,2,12473160006,-3260024614,-782960706,-6348535382,0,17831092882,-11198921832,0,8713810354,0,0,0,0,0,0,151597590,151597590,0,0,8806720277,-18099337624,0,0,0,-9292617347,-427209403,783576202,0,356366799
2014,3,13456412005,-7297376408,-1039787674,-6916785673,0,17128697857,-8894419022,0,6436741085,0,0,0,0,0,0,172390734,172390734,0,0,9856437200,-15504503254,0,0,0,-5648066054,961065765,356366799,0,1317432564
2015,1,9989275334,-4639650337,-648239120,-138638590,0,5770820801,-16274841261,67801281,-5941273173,0,0,0,0,0,0,126813860,126813860,0,0,120168857700,-114546163372,0,0,0,5622694328,-191764985,389211506,0,197446521
2015,2,17273395129,-3973010522,-1008144244,-9702621791,0,-5102805801,11177036684,295529328,8663849455,0,0,0,0,0,0,125549195,125549195,0,0,9967042300,-18124246897,0,0,0,-8157204597,632194053,197446521,0,829640574
2015,3,9761543423,-1689594144,-1184889370,196485851,0,23500160166,-20258814223,626119031,10324891703,0,0,0,0,0,0,40386208,40386208,0,0,8754216533,-19561366609,0,0,0,-10807150076,-441872165,829640574,0,387768409
2015,4,14365029739,-10919272778,-832431713,-1890519412,-32315089,20039138990,-9724550785,177227913,11005078952,0,0,0,0,0,0,158534680,158534680,0,0,7527379500,-18572940000,0,0,0,-11045560500,118053132,387768409,0,505821541
2016,1,16578117352,-7446903544,-1129308038,-4944195284,0,14332317903,-2035323154,442150945,15354705235,0,0,0,0,0,0,118109343,118109343,0,0,3653943500,-19308550000,0,0,0,-15654606500,-181791922,505868414,0,324076492
2016,2,12070229326,-8943254813,-1325456544,-6177078718,-104829572,21441328850,-4104365729,-100475141,12856572800,-24152600,0,0,0,0,0,97766321,73613721,0,0,3546995100,-16235950000,0,0,0,-12688954900,241231621,324076492,0,565308113
2016,3,21925277801,-3608989393,-1003931580,-3354219850,-763057135,28859567431,-6357845032,0,35696802242,-78130310,0,0,0,0,0,194476823,116346513,0,0,2165509100,-36835000000,0,0,0,-34669490900,1143657855,565308113,0,1708965968
2016,4,18300922150,-12871552884,-1000857696,-8589469302,-178081987,40885296617,-8209565441,0,28336691457,-34761280,0,0,0,0,0,72850047,38088767,0,0,4550966500,-33770517269,0,0,0,-29219550769,-844770545,1708965968,0,864195423
2017,1,18404246723,-9296303273,-1802851405,-950953675,-12187443,21288736300,-8438568756,0,19192118471,-22504300,0,0,0,0,0,118594263,96089963,0,0,2522326600,-21572333000,0,0,0,-19050006400,238202034,864195423,0,1102397457
2017,2,22639453882,-11047803088,-1309756602,-8514036423,0,15515095347,-946356050,0,16336597066,-605000000,0,0,0,0,0,60169850,-544830150,0,0,14603965947,-29986412465,0,0,0,-15382446518,409320398,1102397457,0,1511717855
2017,3,31649890958,-6592458636,-1045536403,-2225292643,-358796029,47898295280,-31034014760,0,38292087767,0,0,0,0,0,0,29101275,29101275,0,0,31153955500,-64003293259,0,0,0,-32849337759,5471851283,1511717855,0,6983569138
2017,4,35384685810,-19938440750,-1953377650,-6058436624,-1265763383,24742128925,-414621661,0,30496174667,-58876609,0,-6400000000,0,0,0,91644540,-6367232069,0,0,21017800000,-43181692000,0,0,0,-22163892000,1965050598,6983569138,0,8948619736
2018,1,28311376767,-66149050463,-1099875170,-5866742551,0,894705900,-24237161474,0,-68146746991,-24004000,0,-1008000000,0,-18000000000,0,197518369,-18834485631,120000000000,0,6016399800,-40080915066,0,0,0,85935484734,-1045747888,8948619736,0,7902871848
2018,2,95950740931,-84539134978,-1538779898,-2517107501,-887450027,2117570903,15426448802,0,24012288232,0,0,-10700000000,0,18000000000,0,423062760,7723062760,0,0,3002296650,-37716793220,0,0,0,-34714496570,-2979145578,7902871848,29346711,4953072981
2018,3,67029209594,-51426258968,-1767734350,-1540067611,0,30650993575,-6985613108,0,35960529132,0,0,-2000000000,1000000000,0,0,387121993,-612878007,0,0,6556437300,-36057207500,0,0,0,-29500770200,5846880925,4953072981,0,10799953906
2018,4,93507880031,-21708842798,-1613100950,-4239381149,-3426179993,2422369817,-28855261021,0,36087483937,-21832742,60004659,-8011800000,0,0,0,679374350,-7294253733,0,0,24568077200,-53955097000,0,0,0,-29387019800,-593789596,10799953906,0,10206164310
2019,1,70412886743,-46372927026,-2256944967,-3602473472,0,111958281457,-59035147155,466159911,71103675580,0,0,-4630000000,0,0,0,626535934,-4003464066,0,0,8442484900,-76994948472,0,0,0,-68552463572,-1452252058,10206164310,0,8753912252
2019,2,125694217289,-63430287594,-2019235842,-4393222661,-3709528661,47346333584,-891130532,466159911,98597145583,-3000000000,0,0,0,-9500000000,0,459340890,-12040659110,0,0,10626908900,-94258584106,0,0,0,-83631675206,2924811267,8753912252,0,11678723519
2019,3,136288716761,-77965158100,-1696535950,-3879458463,0,-33577958982,70773328644,467955885,89942933910,-170000000,60000000,-670000000,60000000,0,0,816169214,96169214,0,0,839931600,-84257481479,0,-8834965000,0,-92252514879,-2213411755,11678723519,0,9465311764
2019,4,177044947780,-147348555747,-2043885475,-3079519142,0,105319771366,-58766333262,-1400275707,71126425520,2917100000,-60000000,0,0,0,0,1029305504,3886405504,0,0,5900658100,-58139037549,0,-22086478600,0,-74324858049,687972975,9465311764,0,10153284739
2020,1,206657392204,-117406558651,-2990669825,-4779022855,0,25123482025,-52448089542,0,54156533356,0,0,0,1000000000,0,9500000000,888751317,11388751317,0,0,634464600,-67244902996,0,0,0,-66610438396,-1065153723,10153284739,0,9088131016
2020,2,231156638389,-71092621784,-1978808217,-5552945140,-2445090910,50060273363,-76854558533,0,123292887168,-8075069931,0,0,0,0,0,935611873,-7139458058,0,0,7217706500,-122414869749,0,0,0,-115197163249,956265861,9088131016,0,10044396877
