disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2014-09-22,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2014-09-29,,,Giá tham chiếu 11.600đ/cp,,,,
2014-09-25,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2014-09-29,,,Thời gian niêm yết dưới 6 tháng,,,,
2014-11-18,investorRight,ISSUE,Phát hành thêm,2014-11-21,2014-12-29,,"Phát hành 34311998 cp cho CĐHH, giá 10000 đ/cp",,100,,
2014-11-18,investorRight,DIVIDEND,Cổ tức bằng tiền,2014-11-21,2014-12-22,2014-12-22,Trả cổ tức đợt 1/2013 (600đ/cp),600,6,1,2013
2015-02-06,investorRight,MEETING,Họp cổ đông,2015-02-13,,,ĐHCĐ thường niên năm 2015,,,,
2015-04-02,investorRight,DIVIDEND,Cổ tức bằng tiền,2015-04-07,2015-05-06,2015-05-06,Trả cổ tức năm 2014 (800đ/cp),800,8,,2014
2015-10-20,investorRight,MEETING,Họp cổ đông,2015-10-26,,,ĐHCĐ bất thường năm 2015,,,,
2016-02-16,investorRight,ISSUE,Phát hành thêm,2016-02-22,2016-04-01,,"Phát hành 34,311,998 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:50",,50,,
2016-02-16,investorRight,MEETING,Họp cổ đông,2016-02-22,,,ĐHCĐ thường niên năm 2016,,,,
2016-03-24,investorRight,DIVIDEND,Cổ tức bằng tiền,2016-04-07,2016-05-06,2016-05-06,Trả cổ tức năm 2015 (900đ/cp),900,9,,2015
2016-05-18,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2016-05-27,,,"Số lượng 34,311,998 cp",,,,
2017-03-02,investorRight,MEETING,Họp cổ đông,2017-02-09,2017-03-09,2017-03-09,ĐHĐCĐ thường niên năm 2017,,,,
2017-05-31,investorRight,ISSUE,Phát hành thêm,2017-06-09,2017-07-17,,"Phát hành 51,467,997 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:50",,50,,
2017-06-09,schedEvent,schedIssue,Dự kiến phát hành,2017-06-09,2017-06-09,,Dự kiến phát hành 51.467.997 cổ phiếu để tăng vốn điều lệ,,50,,
2017-06-30,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-07-19,2017-08-16,2017-08-16,Trả cổ tức năm 2016 (1000đ/cp),1000,10,,2016
2017-08-31,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2017-09-05,,,Số lượng 51467997 cp,,,,
2018-03-23,investorRight,MEETING,Họp cổ đông,2018-03-14,2018-03-30,2018-03-30,ĐHĐCĐ thường niên năm 2018,,,,
2018-08-21,investorRight,DIVIDEND,Cổ tức bằng tiền,2018-08-27,2018-09-28,2018-09-28,Trả cổ tức năm 2017 (1000 đ/cp),1000,10,,2017
2019-01-29,investorRight,MEETING,Họp cổ đông,2019-02-20,2019-03-15,2019-03-15,ĐHĐCĐ thường niên năm 2019,,,,
2019-06-13,investorRight,ISSUE,Phát hành thêm,2019-07-04,2019-07-31,,"Phát hành 102,935,994 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:66.6",,66.6,,
2019-06-17,investorRight,DIVIDEND,Cổ tức bằng tiền,2019-07-04,2019-09-10,2019-09-10,Trả cổ tức năm 2018 (1000 đ/cp),1000,10,,2018
2019-08-28,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2019-09-04,,,Số lượng 102935994 cp,,,,
2020-05-06,investorRight,MEETING,Họp cổ đông,2020-05-22,2020-06-22,2020-06-22,ĐHĐCĐ thường niên năm 2020,,,,
