Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2014,3,13439947,13439947,7499.02708671396,19676.7847506393,7492.74916017154,0,-1063.84580221931,-1063.84580221931,-888.431812770541,128,0.273247350049129,0.0158228328207475,0.423938358642336,2.18469107530972,1.55616038468249,0.355206205633195,1.67099140049155,0.381417314601158,1.82484523966594,0.416535698909846,3.38100562434843,0.771741904543041,-0.126751450316554,-0.0416709750812624,-0.0300126010122894,8.36643996135526,43.6266801275025,0.742794758513769,491.387420032844,3.50149367874501,104.241227741077,979462756.218519,-52955671.1037037,0,0,0,0.0149560714747797,-0.0396966397228494,-0.0455577564012007,-0.0540660385170268,-0.0540660385170268,6.78509818987561,0.555110043855676,2.34438205189819,0,0,0,0,0,0,0.386716832259205,0.147381802299066,0.387040849494234,0,0.773209718978048,-19.4779639882967,-16.9720763280975,-0.624888869974571,0,0,0,0,0,0,-0.00148424527026048,-0.0545304830558955,0
2014,4,13439947,13439947,4067.25127762781,13369.2685192881,4062.22893639387,3172.43879525715,-4605.27126431377,-4605.27126431377,-4667.28193206417,-4553,0.309058020839516,0.0401755653911022,0.377189497930615,1.70906989815879,2.69649067765592,0.345678391650268,3.12452148104104,0.400550081330857,4.10408564643215,0.526125952227246,6.80057632408808,0.871804343877514,-0.696552702938393,-0.235710239568884,-0.133423807303495,5.06091358979758,72.1213657423064,0.663708567926803,549.940165967925,2.71387250028569,134.494159162443,665489853.066667,-229239265.603704,0,0,0,-0.237093050494988,-0.333725531087699,-0.342716726434702,-0.34446695850784,-0.34446695850784,6.07694023604003,0.387334123079497,2.02211761022223,0,0,0,0,0,0,0.54090584766701,0.164556497375008,0.541574597209429,0.693472795531638,1.06494902567842,-3.19109245914591,-3.10737394336465,0.22994715070757,0,0,0,0,0,0,-0.149534124314253,-0.555772582710415,0
2015,1,13439947,13439947,3850.22669925707,13845.5983289964,3846.45994333162,259.014602959372,-4591.8718238249,-4591.8718238249,-4678.43819633366,-4553,0.234263971942495,0.0366026879148558,0.366915027166622,1.59595728732887,2.81418135267453,0.335002086012613,3.31026437756791,0.394056150888989,4.58630768955959,0.545957225406946,7.40048904223412,0.880959311419559,-0.784888078188791,-0.263630807581726,-0.141528971961957,5.14721534737676,70.9121292517942,0.753832061640577,484.192724843309,2.68142018961145,136.121895931906,689200398.981481,-228572273.862963,0,0,0,-0.248889883339445,-0.323411046417451,-0.330515812445907,-0.331648493240505,-0.331648493240505,6.59314206142685,0.42674390159018,2.36662639567491,0,0.457356186118093,-4.41274443376189,0,0,0,0.545422429387134,0.151672751881155,0.545956549902631,8.10765098186143,1.02551914454198,-3.17094655826402,-3.10278390904466,-0.544470386764611,0,0,0,0,0,0,0.0209589976224787,-0.065619114429659,0
2015,2,13439947,13439947,3787.44275003465,9309.20747008898,3784.93157941769,4984.39636577436,-3488.51646163486,-3488.51646163486,-3511.83651481289,-4553,-0.295749230471639,0.0317634131135138,0.355837448162821,1.55035455006721,2.70936721196027,0.317670955613974,2.96367443957028,0.347488257476118,4.81948052838092,0.565079911742934,7.52884774034118,0.882750867356908,-0.724611202557587,-0.220566760268685,-0.108020828998133,3.16423040244434,115.351903489089,0.510996259070103,714.290943468387,1.6504245659109,221.155215172496,463389833.37037,-173649912.418519,0,0,0,-0.231109140093979,-0.0954781198667198,-0.373118411462046,-0.37473828710378,-0.37473828710378,4.65460373504449,0.288256718663545,1.93364603376359,0,6.29050277819582,3.06034086269579,0,0,0,0.528060787184625,0.214841059931913,0.528411137172445,0.401252198507549,1.35832761701534,-14.2265853046904,-3.64047330629652,1.05736454018027,1.3867617957684,0,0,0,0,0,-0.00127581401244126,-0.0163065591006715,0
2015,3,13439947,13439947,2785.99246217266,8192.76779804266,2784.73687686417,1139.6174275092,-4591.90726034857,-4591.90726034857,-4617.70099392877,-4553,0.380944931071821,0.0314629142141478,0.349886430519597,1.49670046894921,3.53919045530829,0.324115955598454,3.85421785431735,0.352965888304498,6.38032891476859,0.584304922087763,9.91951937007688,0.908420877686216,-1.26287648125013,-0.324206618940605,-0.14491475478733,2.76152449607633,132.173370367927,0.521963558633082,699.282534121466,1.58460729970072,230.340981055013,407816166.625926,-228574037.807407,0,0,0,-0.36980806471823,-0.542724203375132,-0.558647544281096,-0.56048302277597,-0.56048302277597,4.55153766557925,0.258553335067303,2.25319310296918,0,-14.8027655530973,-10.9366889517548,0,0,0,0.646089328826206,0.219705970481678,0.646380638312564,1.57947742509884,1.46208847057298,-2.69398059176363,-2.61719305050288,-0.399638051076521,0,0,0,0,0,0,-0.0582252943984611,-0.264413313667338,0
2015,4,13439947,13439947,1648.41152885499,7004.8657482057,1648.41152885499,2256.74447644771,-2855.91720979257,-2855.91720979257,-2344.95269404708,-2856,0.964731533394388,0.0224359748788859,0.289866568990916,1.24407667405447,4.25693793380001,0.221080072843445,6.28907232026016,0.326617063321771,13.9982481128163,0.726985866505102,18.2551860466163,0.948065939348546,-0.999330193710288,-0.236266628660779,-0.0899963870806958,2.28577056513326,159.683568231933,0.3330593054727,1095.90092215549,1.01306343095075,360.293332923339,348685275.548148,-142160651.614815,0,0,0,-0.0519856747533433,-0.378513160497487,-0.399690413355497,-0.402093573495363,-0.407704774431132,3.50243287410285,0.220739105168114,2.45111231553432,-0.00561120093576844,0,0,0,0,0,1.21328925756133,0.285515821700409,1.21328925756133,0.886232367409248,1.69157732077005,-4.46900530102251,-4.23221889804374,-0.476047194496866,0,0,0,0,0,0,0.000427607090210946,-0.594711165763918,0
2016,1,13439947,13439947,1729.02623559453,6762.55599274313,1729.02623559453,-49.361824715529,-1659.63682274938,-1659.63682274938,-1652.26468748351,-2856,-0.0691592845105104,0.0192891020113511,0.286523562753991,1.25635923598722,4.05742361988732,0.218105105737011,6.08391505548968,0.327038303313623,13.5456421184257,0.728140313482226,17.603065738313,0.946245419219237,-0.656016036410028,-0.144008095534467,-0.052262313328911,2.20761003851624,165.337171706884,0.312762212750875,1167.020775271,0.880403766998863,414.582505983838,336623681.951852,-82612707.1740741,0,0,0,-0.00694805586638044,-0.211680544417108,-0.234374936146791,-0.245415612755048,-0.245415612755048,2.81773166364297,0.21295431346935,2.67308191620557,0,-2.08567833593471,1.52673283406721,0,0,0,1.38806453632252,0.354895397919874,1.38806453632252,-48.6205689078785,1.8436051584855,-8.70937460767651,-7.86605081923448,-0.441242008628088,0.217072203621753,0,0,0,0,0,0.000964598219110657,-0.0484316516633111,0
2016,2,13439947,13439947,1682.73690022736,5241.42854291018,1682.73690022736,-1204.56654390081,-1357.92895061268,-1357.92895061268,-1337.56989795049,-2856,-1.35097526978128,0.0163629845111534,0.236535265656419,1.24999893468191,4.19741368730107,0.221999493963217,6.51208876478131,0.344421712541413,13.7098982725926,0.725110914849987,17.9073119598936,0.947110408813204,-0.677712106047337,-0.134406055488911,-0.0429258717690545,1.86444675776281,195.768529447294,0.225360926616715,1619.62415348414,0.660740878640457,552.410198610725,314484472.415179,-81475415.7410714,0,0,0,0.0469303655776177,-0.219330191995058,-0.248233624403525,-0.259076116271676,-0.259076116271676,2.2209442978433,0.165688263305757,2.61588028954651,0,2.85272311084721,-6.81051767898176,0,0,0,1.40247711907972,0.450258928587752,1.40247711907972,-1.95921098087076,2.46891385064598,-11.2566073470706,-9.94592838330619,0.153374193255629,1.36239385369067,0,0,0,0,0,-0.010855126889056,-0.026771910347129,0
2016,3,15451058.1111111,15451058.1111111,1710.47643982525,1920.63985224833,1710.47643982525,48.3642453239251,16.9255836797312,16.9255836797312,42.733276210073,-2856,-0.183725364410443,0.01389669529899,0.22311761196127,1.25421087824424,4.13402369170224,0.225384018021825,6.04110501912377,0.329356729434051,13.2081095615168,0.720096696451531,17.342133253219,0.945480714473356,0.0112163276603346,0.00983177309585411,0.000610507385822921,1.75951918082004,207.443035562641,0.145647187389554,2506.05594616637,0.451451382607773,808.503449234348,270432496.1875,1167491.86160714,0,0,0,0.260207225169355,0.051993779861272,0.0190086557154048,0.00431712859240733,0.00431712859240733,0.695884004437799,0.141415149619736,2.59809904204871,0,0.0730361129065246,15.1307964896279,163.066754578465,163.066754578465,64.5866697987789,1.61358551087788,1.43702110355,1.61358551087788,57.0669506267406,3.65994299421811,70.3919392662632,192.54086396294,-0.233399620561721,-0.788570883673459,0,0,-0.97225587912782,-0.97225587912782,0,-0.0139000595656419,0.0164847752456958,0
2016,4,31539947,31539947,6538.11358509892,1489.44323048482,6538.11358509892,-5578.67503740574,46.5488278087468,46.5488278087468,81.7170040504507,102,1.69767560186561,0.00644342189873114,0.827394987305428,1.83730997848517,0.463329437844044,0.158145985697007,0.678825834877358,0.231700323797272,1.46642837928918,0.500528873312841,1.92975781713322,0.658674859009847,0.012857829166604,0.0107540030994674,0.0028487232419951,1.34599282021429,271.175294933511,0.101972996425881,3579.37898064319,0.326428811525644,1118.16110316392,209718573.879464,6554230.1875,0,0,0,0.347359363809402,0.0897207761154254,0.0478697300489329,0.031252502180694,0.031252502180694,0.543592419884971,0.0911518452354474,0.411417591214404,0,0,0,58.8629215596518,58.8629215596518,33.5303530989507,0.41908112551681,1.83961358440504,0.41908112551681,-0.491156050787677,4.77793502312439,53.2533848902243,99.8111963079872,-0.501014941050905,0,0,0,0,0,0,0.416231414387563,8.30786811442955,1.34673150124774
