date,open,high,low,close,volume,unadjusted,putthrough
2006-11-16,0.0000,8.4765,0.0000,8.4765,4470,60.0000,0
2006-11-17,8.4765,8.7591,8.4765,8.7591,28570,62.0000,0
2006-11-20,8.7591,8.7591,8.4059,8.6178,13710,61.0000,0
2006-11-21,8.6178,8.6178,8.5472,8.5472,2370,60.5000,0
2006-11-22,8.2646,8.2646,8.1940,8.1940,600,58.0000,0
2006-11-23,7.9821,7.9821,7.8408,7.8408,4320,55.5000,0
2006-11-24,7.8408,7.8408,7.4876,7.4876,8090,53.0000,0
2006-11-27,7.1344,7.1344,7.1344,7.1344,4110,50.5000,0
2006-11-28,6.7812,6.7812,6.7812,6.7812,5100,48.0000,0
2006-11-29,6.4421,6.7812,6.4421,6.7812,25030,48.0000,0
2006-11-30,7.0637,7.0637,7.0637,7.0638,6610,50.0000,0
2006-12-01,7.4170,7.4170,7.4170,7.4170,6100,52.5000,0
2006-12-04,7.7702,7.7702,7.7702,7.7702,12020,55.0000,0
2006-12-05,7.9115,7.9115,7.7702,7.7702,8810,55.0000,0
2006-12-06,7.7702,7.7702,7.4876,7.4876,9050,53.0000,0
2006-12-07,7.4876,7.7702,7.1344,7.7702,2110,55.0000,0
2006-12-11,7.7702,7.7702,7.4876,7.4876,950,53.0000,0
2006-12-12,7.3463,7.3463,7.1344,7.1344,4840,50.5000,0
2006-12-13,7.1344,7.1344,7.0638,7.1344,4240,50.5000,0
2006-12-14,7.1344,7.1344,7.1344,7.1344,6750,50.5000,0
2006-12-15,6.9931,7.4876,6.9931,7.4876,2690,53.0000,0
2006-12-18,7.4876,7.7702,7.4876,7.7702,6620,55.0000,0
2006-12-19,7.6289,7.6289,7.6289,7.6289,5500,54.0000,0
2006-12-20,7.2757,7.2757,7.2757,7.2757,1800,51.5000,0
2006-12-21,7.2757,7.6289,7.2757,7.2757,3410,51.5000,0
2006-12-22,7.2757,7.0638,6.9225,7.0638,2290,50.0000,0
2006-12-25,7.0638,7.0638,6.7812,6.7812,6050,48.0000,0
2006-12-26,6.7812,6.7812,6.7812,6.7812,5160,48.0000,0
2006-12-27,7.1000,7.1000,7.1000,7.0997,250,49.0000,0
2006-12-28,7.1721,7.1721,7.0997,7.1722,3460,49.5000,0
2006-12-29,7.1722,7.1722,6.8245,6.8244,6080,47.1000,0
2007-01-02,7.1577,7.1577,7.1577,7.1577,1460,49.4000,0
2007-01-03,7.4620,7.4620,7.4620,7.4620,3980,51.5000,0
2007-01-04,7.6069,7.6069,7.5344,7.5344,10670,52.0000,0
2007-01-05,7.2446,7.2446,7.2446,7.2446,650,50.0000,0
2007-01-08,7.2446,7.2446,7.2446,7.2446,1200,50.0000,0
2007-01-09,7.2446,7.2446,6.9548,6.9548,1970,48.0000,0
2007-01-10,0.0000,7.2446,7.0997,7.2446,2620,50.0000,0
2007-01-11,0.0000,7.2446,7.0997,7.0997,1400,49.0000,0
2007-01-12,7.0997,7.0997,7.0997,7.0997,1180,49.0000,0
2007-01-15,0.0000,7.2301,7.1142,7.2301,2200,49.9000,0
2007-01-16,6.8824,6.8824,6.8824,6.8824,3800,47.5000,0
2007-01-17,0.0000,7.1722,7.0273,7.0273,3140,48.5000,0
2007-01-18,7.0273,7.0273,7.0273,7.0273,3900,48.5000,0
2007-01-19,7.0273,7.2446,7.0273,7.2446,8130,50.0000,0
2007-01-22,0.0000,7.3170,7.2446,7.3171,4000,50.5000,0
2007-01-23,7.2447,7.3171,7.2447,7.3171,4000,50.5000,0
2007-01-25,6.9549,6.9549,6.9549,6.9548,550,48.0000,0
2007-01-26,0.0000,6.9548,6.6071,6.8099,2430,47.0000,0
