Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,2,2378361140,2402039886,0,0,0,-2677582750,16744486772,0,18847305048,-126116892204,25389352668,117897318011,3908172033,-9237764314,1000000000,0,18535787720,50223278962,-31909091,0,0,0,-18660000000,0,121401688,-18570507403,11500000000,0,48732654619,-151381999612,0,0,0,-91149344993,-59496573434,60436067759,0,939494325
2015,1,697987094,743769919,0,0,0,100481703,6239069581,0,8582867184,-7373057821,6376087539,-7928847475,-4711031365,-39939496255,0,0,-521170699,-45514648892,0,0,0,0,0,0,33859387,33859387,0,0,88959320531,-39742643285,0,0,0,49216677246,3735887741,17348497958,0,21084385699
2015,2,2862391376,985702134,-801558887,-1759063,0,-1573662757,17586391866,0,19057504669,292861921434,-8457755863,59078768445,16743135921,-21023001354,0,0,521170699,358781743951,0,0,0,0,-341843400000,178640190000,123791258212,-39411951788,0,0,50487028833,-382095376086,0,0,0,-331608347253,-12238555090,21084385699,0,8845830609
2015,3,69773444,-877961489,499499015,-1759063,0,45398438100,6455088472,0,51543078479,11737905362,32603838497,-4252639458,-1063747000,-6455088472,0,0,0,84113347408,0,0,0,0,0,17841600000,48746230,17890346230,0,0,3647299711,-108957745807,0,0,0,-105310446096,-3306752458,8845830609,0,5539078151
2015,4,1520811081,978111382,0,1759063,0,37276718696,8814459113,0,48591859335,-215178503506,-13022683898,208516254236,3367311937,3400122959,-26446943607,25595000,0,9253012456,-350000000,0,0,0,0,-17841600000,-9099724609,-27291324609,0,0,0,102678307159,0,0,0,102678307159,84639995006,5539078151,0,90179073157
2016,1,818996731,874608509,0,0,0,-994264552,6304806829,0,7004147517,74115166048,-14496477109,-38723738074,1907784016,-9446058214,-5000000000,0,0,15360824184,0,0,0,0,-7000000000,0,1114086,-6998885914,0,0,26432374092,-87448048930,0,0,0,-61015674838,-52653736568,90185835498,0,37532098930
2016,2,12681318369,2479112672,0,0,0,612326154,3924918404,0,19697675599,-142870290581,533330485,151689908527,737527229,-6680814141,1000000000,0,-9755000,24097582118,-2656614312,0,0,0,7000000000,0,98450982,4441836670,0,0,37215530382,-85901872485,0,0,0,-48686342103,-20146923315,37532098930,0,17385175615
2016,3,2708080389,-686877944,-16375800,0,0,-23233334,4085102500,0,8471372472,-42940707026,11807999949,33454445034,983427571,1542699451,-3389528490,0,-184000000,9745708961,-4024473386,0,0,0,0,0,218524499,-3805948887,0,0,33381188342,-40542107552,0,0,0,-7160919210,-1221159136,17385175615,0,16164016479
2016,4,1627504907,4215721284,0,0,0,3865098285,3878952682,0,11182600497,54623845072,-23080192666,35139420169,748245902,-3094022376,-4261902781,0,-3500000,71254493817,-1562272727,0,0,0,0,0,-36818616,-1599091343,0,0,92176503083,-91748741500,0,0,0,427761583,70083164057,16164016479,0,86247180536
2017,1,992506040,1823548625,0,0,0,638608720,3518912040,0,6973575425,-30615768425,-17705634875,-12062521983,1102880133,-6048255424,-329135870,0,0,-58684861019,-80772727,0,0,0,0,0,18668692,-62104035,0,0,0,-17172633089,0,0,0,-17172633089,-75919598143,86246819762,0,10327221619
2017,2,3438852623,1830281686,-1075410608,0,0,-19029982520,3587512986,0,-11248745833,14885649939,-5602055896,-39023729827,2191848802,3867852762,-1256833031,0,0,-36186013084,0,0,0,0,0,0,18354036416,18354036416,0,0,62711407126,-18640762380,0,0,0,44070644746,26238668078,10327221619,0,36565889697
2017,3,1788740126,2182919789,11464263996,0,0,-6758538153,5088052041,0,13765437799,78905588190,30626974410,-149097809758,-7266277271,-5366653702,-500000000,0,-164800000,-39097540332,0,0,0,0,-250000000,52460000000,-18279487587,33930512413,0,0,78283592874,-70224910870,0,0,0,8058682004,2891654085,36565889697,0,39457543782
2017,4,5736528930,1484974181,12823946612,0,0,-1409802429,4827150122,0,23462797416,-80130027637,-19203304989,83587008342,-955597527,0,-4227521283,0,0,2533354322,0,0,0,0,0,0,410139696,410139696,0,0,0,-11327689908,0,0,0,-11327689908,-8384195890,39457543782,0,31073347892
2018,1,1311746513,1683968838,0,0,0,48710952,3207309986,0,6251736289,-214063634990,28904282620,157522504867,-867898047,-3207309986,-65749336,0,-138000000,-25664068583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25664068583,31073352083,0,5409283500
2018,2,2755163874,2379321806,-6812503187,0,0,10214755880,-3207309986,0,5329428387,230969229181,-71294243723,-157257636433,2811089696,-2946343063,0,0,-225300000,7386224045,0,0,-4500000000,118000000,0,0,44226377,-4337773623,0,0,0,0,0,0,0,0,3048450422,5409283500,0,8457733922
2018,3,478127017,2103775373,13393318180,0,0,-10263466832,14742300220,0,20454053958,19421930614,80481759817,-91681352514,-4175881326,922840197,0,0,-14400000,25408950746,0,0,4500000000,-118000000,0,0,13491004895,17873004895,0,0,0,0,0,0,0,0,43281955641,8457733922,0,51739689563
2018,4,264930623,1938702142,3682000000,0,0,-13015941118,4748144042,0,-2382164311,26802945139,2337874653,-42184923752,296592238,-2775459450,-3629153426,0,-9000000,-21543288909,0,0,-9200000000,0,0,9112830000,-12712856868,-12800026868,0,0,0,-10700000000,0,0,0,-10700000000,-45043315777,51739689563,0,6696373786
2019,1,163684114,984337516,0,0,0,0,3737800531,0,4885822161,6504016733,33107421728,-41209852601,177071964,0,0,0,-14300000,3450179985,0,0,0,0,0,0,-216484632,-216484632,0,0,0,-10700000000,0,0,0,-10700000000,-7466304647,7696373786,0,230069139
2019,2,-116176887805,899973177,46728916790,0,0,72642085259,3437848871,0,7531936292,72064627539,-78953818781,-12916313955,12440188895,0,-809879021,0,-12600000,-655859031,0,1120000000,-500000000,23728911586,0,0,738342448,25087254034,0,0,0,-24413104823,0,0,0,-24413104823,18290180,230069139,0,248359319
2019,3,-766866451,4165565139,-46728916790,0,0,-72642085259,3347824701,0,-112624478660,-144678774570,88061635337,143131571877,-14333485817,0,274807706,0,-39300000,-40208024127,0,-1120000000,500000000,-23728911586,0,0,90851247271,66502335685,0,0,250000000,-17200000000,0,0,0,-16950000000,9344311558,248359319,0,9592670877
2019,4,17297078328,-21194088064,0,0,0,-91373105087,10151466628,0,-85118648195,-31477875764,27534969880,240252848932,-675478699,0,0,0,-1500000,150514316154,0,0,0,12200000000,0,0,-91372878970,-79172878970,0,0,500000000,-81344703462,0,0,0,-80844703462,-9503266278,9592670877,0,89404599
2020,1,-1939411546,676500081,0,0,0,0,1073478232,0,-189433233,9951809408,905303,111636354855,-18672394,0,0,0,0,121380963939,0,0,0,0,0,0,0,0,0,0,0,-30000000261,0,0,0,-30000000261,91380963678,124338672,0,91505302350
