date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2020-01-06,25,0,0,25,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,250,0,0,450,0,60
2020-01-10,125,0,0,125,0,0
2020-01-13,5,0,0,5,0,0
2020-01-14,530,0,0,40,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,5,0,0,5,0,0
2020-01-17,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,15,0,0,5,0,0
2020-01-30,15,0,0,45,0,10
2020-01-31,1540,0,0,1150,0,0
2020-02-03,750,0,0,750,0,0
2020-02-04,3415,0,0,1385,0,0
2020-02-05,275,0,0,275,0,0
2020-02-06,31150,31020,0,25000,25000,0
2020-02-07,160,0,120,1840,0,0
2020-02-10,355,0,0,1445,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,5,0,0,5,0,0
2020-02-13,530,0,0,610,0,0
2020-02-14,0,0,0,0,0,0
2020-02-17,5,0,0,25,0,0
2020-02-18,15,0,0,5,0,0
2020-02-19,2740,0,0,480,0,0
2020-02-20,1285,0,0,65,0,10
2020-02-21,5,0,0,5,0,0
2020-02-24,150,0,0,400,0,0
2020-02-25,0,0,0,390,0,0
2020-02-26,0,0,0,0,0,0
2020-02-27,5,0,0,5,0,0
2020-02-28,115,0,0,105,0,0
2020-03-02,75,0,0,5,0,0
2020-03-03,115,0,0,115,0,100
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,200,0,0,200,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,25,0,0,25,0,0
2020-03-11,0,0,0,0,0,0
2020-03-12,19405,17000,0,70005,70000,0
2020-03-13,0,0,0,0,0,0
2020-03-17,25725,25725,0,25725,25725,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,360,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,33375,32000,0,925,0,0
2020-04-02,17150,17150,0,17150,17150,0
2020-04-03,140,0,0,860,0,0
2020-04-06,45,0,0,75,0,3450
2020-04-07,340,0,0,340,0,0
2020-04-08,15,0,0,15,0,0
2020-04-09,0,0,0,0,0,0
2020-04-10,50,0,0,50,0,0
2020-04-13,5,0,0,5,0,0
2020-04-14,25,0,0,5,0,0
2020-04-15,5,0,150,5,0,0
2020-04-16,50,0,0,50,0,400
2020-04-17,190,0,0,80,0,6000
2020-04-20,2065,0,0,5,0,0
2020-04-21,160,0,360,440,0,0
2020-04-22,15,0,0,5,0,210
2020-04-23,105,0,0,185,0,500
2020-04-24,5,0,0,5,0,200
2020-04-27,15,0,490,15,0,20
2020-04-28,0,0,0,0,0,0
2020-04-29,10,0,0,600,0,0
2020-05-04,40,0,0,60,0,0
2020-05-05,0,0,0,0,0,0
