Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2010,1,757613622805,-960619783290,-23313882761,-20246214564,-7565764311,157658640423,-155913012875,2237567348,-252386394573,-7027315545,4000000,-3000000000,0,-5525136000,0,1397989027,-14150462518,0,0,773450733179,-543735099490,0,-43194991600,0,186520642089,-80016215002,158728048366,154525746,78866359110
2010,2,1710679622418,-1660225258603,-61163410419,-37044118373,-8783128543,633658775143,-901706972175,0,-324584490552,-69739959002,103470661,-5000000000,13387646507,-5525136000,0,1849402724,-64924575110,0,0,1587107653298,-1173498158458,0,-107872280600,0,305737214240,-83771851422,158728048366,11120464,74967317408
2010,3,2054176294291,-1869146060495,-41915581601,-76674231331,-2468679838,188856780071,-135686191404,4858674540,117142329693,-85767246863,0,-130422380161,135090560161,-11887400000,1865760000,7475293039,-83645413824,0,0,1637360338839,-1600390609197,0,-64866107800,0,-27896378158,5600537711,78866359110,-557508923,83909387898
2011,1,1001584948054,-819918483272,-7441870393,-33281401667,-6316429401,-236440797780,195765597912,0,93951563453,-26868565332,133929425,-101741451751,106064638737,1387400000,146634240000,-4405366846,121204824233,0,0,608496489640,-889378126200,0,-12828400,0,-280894464960,-65738077274,128164179845,-164975504,62261127067
2011,2,979967801710,-783555122111,-30457133312,-28115714702,-7475029538,341159360374,-395556652342,0,75967510079,-16772898643,27949319,-18345269587,6800000000,0,0,1590451229,-26699767682,0,0,568915577629,-606866625400,0,0,0,-37951047771,11316694626,62261127067,-3440898,73574380795
2011,3,779063207205,-496521164469,-30673489944,-22738449354,-2194654890,-279736812697,198413213602,0,145611849453,2260927990,59800681,15345269587,-6543895000,0,0,-732893715,10389209543,0,0,554417822551,-743164390766,0,0,0,-188746568215,-32745509219,73574380795,3440898,40832312474
2011,4,1359287436342,-1288464115991,-25446172107,-38100245594,-60684196,953268116776,-1044216939283,0,-83732604053,-29174030766,36095951,-111046905572,93625095000,-1471000000,901000000,21644568619,-25485176768,4000000000,0,648416757340,-522310195431,0,0,0,130106561909,20888781088,40832312474,-20767492,61700326070
2012,1,275416831961,-133690346056,-30674773275,-26913940157,-2,-900699037046,1014396266276,0,197835001701,5262843127,1334027663,24461457446,-24074000000,-812220000,-901000000,-19095707425,-13824599189,-4000000000,0,343496699458,-522211225435,0,0,0,-182714525977,1295876535,61700326070,-126827260,62869375345
2012,2,903303289812,-722890741325,-25857660887,-11024115946,-2499557733,196341455324,-327393206753,0,9979462492,-1184608916,8719000,-74195737660,55470124717,-30523322462,0,206609651,-50218215670,0,0,474573256122,-468272044237,0,0,0,6301211885,-33937541293,62869375345,-10821904,28921012148
2012,3,370176793606,-579619233932,-47143085782,-25426147881,-141647306,-79564054397,209906192874,0,-151811182818,-10883403007,27398627,71144936897,-45528249720,30523322462,0,1125037709,46409042968,0,0,445725516083,-323866378089,-157563000,-746400,0,121700828594,16298688744,28921012148,10821904,45230522796
2013,1,128976838649,-376597199284,-63037243514,-15506588311,-35584684,-461033078575,822667854146,0,35434998427,-75903642784,369588821,6528513586,32081789268,14495000000,0,-4860419982,-27289171091,0,-4312285000,393051072126,-434631237422,0,0,0,-45892450296,-37746622960,85886310843,12773453,48152461336
2013,2,932449045477,-511778035655,-36740256484,-13842230260,-2378632996,328928084582,-664755231004,0,31882743660,-582009336,26730000,-26104188500,30932112500,0,0,308538736,4581183400,0,0,359962989839,-394100318035,0,0,0,-34137328196,2326598864,48152461336,-35665744,50443394456
