Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,2,106819453453,-76168652793,-36038463371,1274899801,-204306048,69066440286,-47296683635,0,17452687693,0,0,-31516000000,10000000000,-27759256000,20252311000,63692923,-28959252077,50000000,0,31711600266,-50897986612,0,-5408848575,0,-24545234921,-36051799305,49461294961,0,13409495656
2015,1,90235886273,-75961116837,-7412691087,-721345903,-168860051,9257262002,-8997069632,0,6232064765,0,0,-11394405000,2895744000,-3750000000,1052386824,179549851,-11016724325,160000000,0,21900000000,-36184568920,0,0,0,-14124568920,-18909228480,55032397239,0,36123168759
2015,2,0,0,0,0,0,0,0,0,-30450989332,-2453847444,223636364,7804405000,1906642824,3750000000,-1052386824,500167795,10678617715,-160000000,0,35005528177,-16418902483,0,0,0,18426625694,-1345745923,36123168759,3794124,34781216960
2015,3,65390061518,-63089046664,-16823424247,-696792352,-1569209704,24858965493,-34374685622,3307969164,-26304131578,-12777778,0,-39609000000,20133356750,0,0,0,-19488421028,79998900000,0,32338961853,-33134435039,0,-120000,0,79203306814,33410754208,34781216960,-161298797,68030672371
2015,4,86729710608,-35296685660,-22537862293,-825623664,-1294287200,22728794887,-37688027510,0,11816019168,-75361476580,51604504164,29533665000,-24283356750,3575000000,-917386824,-198188402,-16047239392,15000000,0,11962934004,-14947354669,0,120000,0,-2969300665,-7200520889,68030672371,-9641460,60820510022
2016,1,84707169632,-35653104265,-18718612617,-902627825,-3400000000,19638476990,-23935729291,473397642,21735572624,0,0,-1080000000,11574000000,-22000000,0,176444745,10648444745,22000000,0,15298237895,-28505564723,0,0,0,-13185326828,19198690541,60820506022,-13487416,80005709147
2016,2,0,0,0,0,0,0,0,0,-33952387966,-305227273,711818182,-6379166667,0,-15817679345,0,997424822,-20792830281,-22000000,0,20526493701,-12122992466,0,0,0,8381501235,-46363717012,80005709147,12420813,33654412948
2016,3,83326034118,-62284380667,-14861053718,-668356932,-746708959,43272856246,-59263316324,0,-11224926236,0,119000000,-12163760000,34963760000,-8100000000,0,0,14819000000,0,0,15745180312,-27455289207,0,0,0,-11710108895,-8116035131,33654412948,-3437619,25534940198
2016,4,139034080780,-91048865152,-10264075906,-733342993,-1310440701,50020292239,-50799211841,0,34898436426,-533818182,2045454545,-7880000000,5100000000,22000000,0,243534531,-1002829106,-22000000,0,6176952069,-23012325876,0,0,0,-16857373807,17038233513,15652492128,2604808,32693330449
2017,1,142739711642,-89664195542,-17609306404,-750427632,-1355391079,12908140626,-33151188976,0,13117342635,-6756170000,200000000,-7000000000,11001000000,0,0,0,-2555170000,0,0,25654849159,-27510059315,0,0,0,-1855210156,8706962479,32693330449,1817203,41402110131
2017,2,124382585725,-92607232534,-9305794591,-439501341,-535111245,13276089449,1576215532,0,36347250995,-21100322483,-200000000,-33103000000,41340000000,0,0,0,-13063322483,0,0,-3093019807,-33006339016,0,0,0,-36099358823,-12815430311,27772110131,-187618318,14769061502
2017,3,124249300099,-56240394606,-11693426960,-527058362,-11390274,21326848025,-35656795287,0,41447082635,0,0,-44634000000,42100000000,-39200000000,0,0,-41734000000,0,0,8098874732,-8729602836,0,0,0,-630728104,-917645469,14769061502,182388088,14033804121
2017,4,51768632387,-50649415906,-9690265220,-658068727,0,18120498367,-25566178487,0,-16674797586,-30000000,0,-16476000000,10768346127,0,0,0,-5737653873,11300000000,0,20838408426,-7417447047,0,0,0,24720961379,2308509920,14033804121,0,16342314041
2018,1,62758499650,-51237715745,-14494334509,-1193189683,-2315536761,25330024146,-32112315165,0,-13264568067,-30716400,0,-11680000000,4000000000,0,0,0,-7710716400,0,0,31977320883,-14143919024,0,0,0,17833401859,-3141882608,16342314041,0,13200431433
2018,2,70964230317,-34716990070,-10886443279,-1561680118,-2891092476,27037153573,-35358210587,0,12586967360,-72280453,0,-15117000000,-4000000000,0,0,7450000000,-11739280453,10000000000,0,15312757337,-37470666750,0,0,0,-12157909413,-11310222506,13200431433,11792202,1902001129
2018,3,127279824849,-76656698988,-5875319076,-1660119442,-1860000,11408557680,-24009164402,0,30485220621,-126437400,0,-9703103233,13477160000,0,0,-7450000000,-3802380633,0,0,6151924510,-31947821013,0,0,0,-25795896503,886943485,1902001129,0,2788944614
2018,4,165253073708,6694020223,-10520686215,-1094756140,0,7344976159,-56437058553,0,111239569182,-152128050,0,-3941000000,61943233,0,0,0,-4031184817,0,0,-6139790532,-25014004349,0,0,0,-31153794881,76054589484,2788944614,-915028,78842619070
2019,1,60092487900,-94221898634,-10291472250,-255355380,-694000000,59897436065,-44615319819,5119451986,-30088122118,-3190933914,0,-26750000000,2573031017,0,0,784642,-27367118255,0,0,12500000000,-12670158921,0,0,0,-170158921,-57625399294,78842619070,0,21217219776
2019,3,-38911098432,75471693798,9058245720,-1358050216,15272363,-45708369070,-31618063310,0,-33050369147,3190933914,0,35850000000,2155351830,0,0,160284,41196446028,0,0,-1713846370,2950091393,0,0,0,1236245023,9382321904,12056599840,-16226159,21422695585
2019,4,70868520666,-62343502084,-18479075332,-254596883,0,18992920499,-21831439709,0,-13047172843,0,0,-17214000000,14172115269,0,0,0,-3041884731,0,0,27586338347,-16019986734,0,0,0,11566351613,-4522705961,10899831733,-15068246,6362057526
2020,1,87717289957,-43027771129,-12939697877,-256375214,-1920000000,10192313451,-22944199502,0,16821559686,0,0,-1878000000,15018898630,0,0,393354,13141291984,0,0,4061924174,-32325650287,0,0,0,-28263726113,1699125557,8198495245,0,9897620802
