date,open,high,low,close,volume,unadjusted,putthrough
2018-09-05,30.0000,30.0000,27.8125,29.3750,697470,47.0000,0
2018-09-06,28.1875,29.3750,28.1875,29.3750,332460,47.0000,0
2018-09-07,29.3750,29.6875,29.0625,29.5000,276640,47.2000,0
2018-09-10,28.8125,29.5000,28.7500,29.0625,127280,46.5000,0
2018-09-11,28.8750,29.2500,28.6250,29.2500,252160,46.8000,20000
2018-09-12,29.2500,29.2500,28.6875,28.7500,28030,46.0000,0
2018-09-13,28.6250,28.6250,26.8750,27.6250,136940,44.2000,0
2018-09-14,27.5938,27.6250,26.5625,26.6875,494030,42.7000,0
2018-09-17,26.8125,26.8750,25.7188,26.3125,155060,42.1000,0
2018-09-18,26.3125,27.0625,25.9375,27.0625,236840,43.3000,0
2018-09-19,26.9375,28.5000,26.9375,28.3750,369050,45.4000,0
2018-09-20,28.3750,28.9375,28.3750,28.5000,74690,45.6000,0
2018-09-21,28.1875,28.2500,27.9375,28.2500,120710,45.2000,0
2018-09-24,27.1875,28.1250,26.8125,26.9688,168300,43.1500,0
2018-09-25,28.0626,28.0626,26.8750,26.9688,41650,43.1500,0
2018-09-26,26.9688,27.4376,26.8750,26.9375,27170,43.1000,0
2018-09-27,26.7188,26.8750,26.2500,26.3125,112200,42.1000,0
2018-09-28,26.8750,26.8750,26.4375,26.8750,18270,43.0000,50000
2018-10-01,26.8750,27.1562,26.5625,26.8750,59710,43.0000,0
2018-10-02,26.6250,26.8750,26.2500,26.5625,93500,42.5000,0
2018-10-03,26.4375,26.5625,26.2500,26.5000,110520,42.4000,0
2018-10-04,26.5625,26.5625,26.2500,26.2500,98740,42.0000,0
2018-10-05,26.2500,26.5625,26.1250,26.5625,138020,42.5000,0
2018-10-08,26.6875,26.6875,26.3125,26.5625,138950,42.5000,0
2018-10-09,26.4375,26.8750,26.4375,26.8125,228760,42.9000,0
2018-10-10,26.7500,26.9375,26.7500,26.8750,188300,43.0000,0
2018-10-11,26.6250,26.8125,26.2500,26.5938,297170,42.5500,0
2018-10-12,26.4375,26.8126,26.4375,26.7500,179930,42.8000,0
2018-10-15,26.6875,26.9375,26.5000,26.9375,286890,43.1000,0
2018-10-16,26.8125,27.0000,26.7500,27.0000,277350,43.2000,0
2018-10-17,27.0000,27.1875,26.8125,26.9375,258900,43.1000,0
