Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2016,1,738916592554,-11818182,738904774372,-698687949658,40216824714,14567521,-2660011599,-2660011599,-25246629529,-10667473811,1657277296,4554104774,-796285482,3757819292,0,5415096588,-1248820738,0,-1248820738,4166275850,-291777810,4458053660,248,0
2016,2,843570063129,-5871215826,837698847303,-778358913682,59339933621,15259039,-3296115860,-3296115860,-29368167806,-11329958577,15360950417,5000117689,616199376,5616317065,0,20977267482,-2407907654,645172728,-1762734926,19214532556,1062690148,18151842408,983,0
2016,3,769939350945,-1398280364,768541070581,-725407431967,43133638614,11664371,-3522734101,-3522734101,-27875306330,-11672766793,74495761,6079363404,-232274416,5847088988,0,5921584749,-1280120528,376810908,-903309620,5018275129,388334660,4629940469,257,0
2016,4,769939350945,-1398280364,768541070581,-725407431967,43133638614,11664371,-3522734101,-3522734101,-27875306330,-11672766793,74495761,6079363404,-232274416,5847088988,0,5921584749,-1280120528,376810908,-903309620,5018275129,388334660,4629940469,257,0
2017,1,806669800645,-8446826190,798222974455,-765345420111,32877554344,6572665,-5573415553,-5573416553,-24381012060,-13657264059,-10727564663,15325227558,-2962647050,12362580508,0,1635015845,262796897,0,262796897,1897812742,-578719131,2476531873,138,0
2017,2,930877465858,-23702154547,907175311311,-865047640436,42127670875,5374282,-5536800216,-5536799216,-30182583259,-14400741195,-7987079513,7031522348,2208809986,9240332334,0,1253252821,-759410479,2255374181,1495963702,2749216523,321411310,2427805213,134,0
2017,3,921606832744,-36893114560,884713718184,-849627975080,35085743104,581580658,-5061586740,-5061586740,-29110258167,-12686581486,-11191102631,11719402899,-23254960,11696147939,0,505045308,0,0,0,505045308,30160176,474885132,26,0
2017,4,905835663133,-62018122721,843817540412,-805747605883,38069934529,-566104184,-5969719957,-5969719957,-26632457997,-11948649724,-7046997333,25385946336,-91926283,25294020053,0,18247022720,-1758959045,0,-1758959045,16488063675,325003159,16163060516,898,0
2018,1,756481967984,-5150000001,751331967983,-705746570012,45585397971,6755172,-6208279587,-6208279587,-27216493326,-14914969554,-2747589324,6664266304,-864104795,5800161509,0,3052572185,-164245760,0,-164245760,2888326425,269627920,2618698505,145,145
2018,2,612111928673,-17342999667,594768929006,-553587681052,41181247954,6485378,-4743052874,-4743052874,-28548183746,-15453370797,-7556874085,12355242856,592148378,12947391234,0,5390517149,-477480256,0,-477480256,4913036893,134232462,4778804431,266,-145
2018,3,782768388040,-6073636364,776694751676,-728717263939,47977487737,6070157,-4828286914,-4828286914,-27251843967,-14839759780,1063667233,14018497003,-332951617,13685545386,0,14749212619,-1962569796,0,-1962569796,12786642823,462411921,12324230902,685,685
2018,4,1288585964582,-11987363636,1276598600946,-1168908424841,107690176105,9874684,-7318902863,-7318902863,-38216038408,-17660795389,44504314129,3166709198,-256096474,2910612724,0,47414926853,-6147600876,-1188830655,-7336431531,40078495322,1944033679,38134461643,2119,2119
2019,1,1446626550897,-3495763273,1443130787624,-1342222522272,100908265352,81213302,-9893392247,-9893392247,-48188578544,-20841856679,22065651184,12760340407,-903041950,11857298457,0,33922949641,-4567811254,0,-4567811254,29355138387,4267151138,25087987249,671,671
2019,2,1498537318036,-6754545455,1491782772581,-1402378938687,89403833894,174831112,-10832754205,-10832754205,-48340106807,-23039632711,7366171283,17471346317,-1107462901,16363883416,0,23730054699,-4452559001,0,-4452559001,19277495698,2247919755,17029575943,411,411
2019,3,1625544627181,-30222564813,1595322062368,-1516740900626,78581161742,283950439,-12919497808,-12919497808,-52202610383,-33580970771,-19837966781,12925171083,-900989521,12024181562,0,-7813785219,-593894168,0,-593894168,-8407679387,-140680924,-8266998463,-133,-133
2019,4,1806129674906,-10707178610,1795422496296,-1711354071917,84068424379,213818666,-15487666117,-15487666117,-58841935491,-23172741535,-13220100098,29349365660,-12491777780,16857587880,0,3637487782,-1511345886,0,-1511345886,2126141896,-864933872,2991075768,66,66
2020,1,1130356411583,-30109841819,1100246569764,-1028992289264,71254280500,171716385,-12459939090,-12459939090,-38258988726,-19214617496,1492451573,526780218,-429384441,97395777,0,1589847350,-1133577231,0,-1133577231,456270119,-43392842,499662961,11,11
2020,2,1021113107270,-10593998109,1010519109161,-964751118791,45767990370,49055711094,-12820288537,-12820288537,-43028718122,-30526729303,5906535949,1450818044,-907240186,543577858,0,6450113807,-6123189956,0,-6123189956,326923851,-480201780,807125631,18,18
