Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,ST liabilities/ Equity,ST liabilities/ Total Assets,ROE %,ROA %,Net Profit per Employees,Dividend Yield,Cash Dividend Ratio,Dividend Payout Ratio,Gross profit margin %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,Total assets growth rate,Equity growth rate,Capital growth rate,Net Interest Margin (NIM),Average Yield on Earning Assets (YOEA),Average Cost of Financing (COF),Non-interest income/ Net Interest Income,Cost-to-Income Ratio,Preprovision ROA % %,Average Loans Growth %,Aver Deposit Growth %,CAR - Tier 1,CAR - Tier 2,Equity/Liabilities,Equity/Loans,Equity/Assets,Loans/Deposit Ratio,NPLs/Loans Ratio,Loan-loss reserves/NPLs,Loan-loss reserves/Loans,Provision Charges/Loans
2006,0,361604300,361604300,15590.5917048,12642.4630459317,15042.6197918554,3831.46992444504,1667.01557475948,1667.01557475948,409.546429619338,0,0,23.024748010022,0.95837625436975,0.11333528367287499,0.0047992008550348,27044730.5845933,0,0,0,0.531600201156321,0.181554954108753,0.131858449473255,0.741493433778985,0,0,10.227858850365,10.227858850365,41.6314214138004,1.0936082685528,1.34862960944044,1.13344618397066,4.44998925639997,0.1699683421648,0.127561307474101,0.0315376917564687,0.0309767013017422,0.0883930878085751,-0.0648405844337927,0.271275144878787,-0.468399798843679,0.019348446384117,0.0739634869210934,0.084359509205522,0,0,0.0434315285259466,0.0703363797241388,0.0416237456302496,0.875925694813425,0.0140766705558443,-0.00913250103254694,0.000128555208386071,-0.0206771984849527
2007,0,760864300,760864300,13992.677800759,8738.32561207038,13706.7858223865,-7196.97848880543,1510.70565408313,1510.70565408313,123.958700651351,0,0,14.6025471775825,0.935907900894747,0.14117306923037,0.00762341946544094,51569922.3832384,0,0,0,0.583973510531414,0.229983244794455,0.172882737626115,0.512511766103835,0,0,11.2861164939162,11.2861164939162,137.54581090645,1.2184944327865,1.95117471663548,1.24390941982571,-2.36904973754201,0.22644625188604,0.888477683421654,1.10413510016336,0.0322698745694224,0.0879839312852089,-0.0710517114862159,0.400787250261029,-0.416026489468586,0.0257508360210891,0.27495526206386,0.231536570444778,0,0,0.0684812031653751,0.104183015195912,0.0640920991052529,0.90680707384596,0,0,0.0167178422603088,-0.0258147374518527
2008,0,771716800,771716800,15985.3446238309,11266.1186072404,15057.2386139579,13619.523379561,2338.24636187783,2338.24636187783,1692.4663944079,0,0,14.6929200572074,0.936276996482836,0.1570281074172,0.0100330681399756,74573872.794148,0,0,0,0.429774472861556,0.280229710361546,0.207546755310663,0.524005516615832,0,0,9.19492503036913,9.19492503036913,12.7033541528733,1.34498195102706,1.90837685537791,1.42788465742117,1.57861618213934,0.165413849590349,0.158702427805344,0.0142633844169058,0.0414461909580423,0.121424969059397,-0.108066200176892,0.190518971529179,-0.570225527138444,0.0207758322436205,0.181635353296545,0.0819086975879044,0,0,0.0680599905332951,0.102161053582906,0.0637230035171638,0.9927455348059,0.0181143474033775,-0.983107831640642,0.0178083567973197,-0.0116638035170945
2009,0,1125297300,1125297300,11172.2279969924,8605.96928473924,10001.825295413,674.878540986458,2286.07853231319,2286.07853231319,1750.11083737604,0,0,18.3746787921615,0.947587824934809,0.206559621220884,0.0117634280735368,106315576.311113,0,0,0,0.400757351557794,0.348311499653975,0.265638704563708,0.400277641150662,0,0,9.40475127870825,9.40475127870825,12.2849362113746,1.92441471887145,2.49826594641994,2.14960763310475,31.8575842826086,0.259283839225525,0.0191241860614799,0.45817390524607,0.038012445293982,0.0905865166038317,-0.0684877989617081,0.207488154262475,-0.599242648442206,0.0177469630705136,0.351285165928373,0.221119694807556,0,0,0.0544227200546544,0.0770487260609662,0.051570306923626,1.09856742171066,0.0061335173453704,-1.54985516716976,0.00950606355064765,-0.00357773615156003
2010,0,13452309300.3139,13452309300.3139,11976.0179922729,9793.31080179322,11389.82702085,1843.97499687442,255.395654164585,255.395654164585,184.500041166953,0,0,19.2258082571053,0.950036260832048,0.22351259184513,0.0112368796315289,141987078.306319,0.0626511627906977,0.189603306729462,5.2741696189237,0.515749323551868,0.312159452166076,0.231222262225076,0.455502827990382,0,0,84.183108245627,84.183108245627,116.531139310396,1.79525448390877,2.19537605158648,1.88764938753173,11.6595941031972,0.508344964884005,0.445295121458839,0.348291780314411,0.041447283610102,0.109434508498891,-0.0824863155388895,0.215512089227908,-0.484250676448132,0.0250642520881205,0.435338069872134,0.386375610968169,0,0,0.0520134179342203,0.0775832190533714,0.0494146330873213,1.13736539378489,0.0065691990124763,-1.80034682276291,0.0118268365702089,-0.0152253050480083
2011,0,2022972200,2022972200,14083.681426764,11060.0536181367,13594.5753480943,8477.71561072367,3086.44626950385,3086.44626950385,2706.76865950012,3162,0,15.159387511014,0.937691820580991,0.267622225966942,0.0150758747280006,258040046.28673,0,0,0,0.594268545516817,0.375076120104687,0.279062505125886,0.514421098517987,0,0,6.96594015338428,6.96594015338428,7.94305044302183,1.52658948669077,1.94393270976042,1.58151317341545,2.5360605364969,0.252620762307008,0.567987166794631,0.333333377273083,0.0507401837237678,0.141163133728489,-0.107445532029487,0.103191162593636,-0.405731454483183,0.0321043421543183,0.252896186260633,0.249394551116665,0,0,0.06596572581006,0.0970946301603611,0.0618555215307816,1.14055304866209,0.0075116334725027,-1.37761634646314,0.0103481490603594,-0.0185894138808559
2012,0,2621754500,2621754500,12825.2019782935,8376.65273388488,12028.1124720106,-3379.12760329009,2346.34669264418,2346.34669264418,2007.18478789681,2053,0,13.9686672804447,0.932793764833108,0.198068186829014,0.012760765258791001,254227590.197132,0.0744186046511628,1.46646668290261,0.681911162155198,0.570354420255021,0.371918582892711,0.280105522717068,0.389611755064413,0,0,9.16318124146048,9.16318124146048,10.7115200003725,1.67638685428802,2.56665767139052,1.78747912858567,-6.36258896499396,0.0931957624981159,0.18018510193572,0.29599136359857,0.0402556616695163,0.110715517796931,-0.0818875634766165,0.183254321492741,-0.429645579744979,0.0259836321704366,0.136050142629537,0.123726591603367,0,0,0.0715887908218658,0.100866706224766,0.0667775777105781,1.15306113007465,0.0146689864602804,-0.751177301576525,0.011019009666096,-0.0139056181211096
2013,0,3723404600,3723404600,14522.9089527364,5850.47861841284,13608.9926944818,615.018577352566,1555.68615884505,1555.68615884505,1254.52106386719,1504,0,9.65481379025069,0.905810964839545,0.13209810803626898,0.0107277638802548,239387072.777617,0.0465116279069767,1.55568615884505,0.642803173579949,0.545088554519597,0.355799168910661,0.265907502669772,0.272115284577341,0,0,13.8202682319689,13.8202682319689,17.1380143540388,1.4804196645431,3.67491301178923,1.57983772073872,34.9582936056172,0.144654974945607,0.60819093655165,0.420195750593734,0.0358642570056413,0.0868893505339458,-0.0591629815670328,0.182395277627849,-0.454911445480403,0.021991035408947,0.128789834745243,0.26077589091092,0,0,0.1035752756837,0.143705159062755,0.0938196204005738,1.03235134162325,0.0100196745603235,-0.875323482816853,0.00877045643283382,-0.011621085617083
2014,0,3723404600,3723404600,14780.5137803182,5648.22662570702,13704.202062811,4970.72303128164,1534.31700653751,1534.31700653751,1252.73680974665,1266,0,11.0110924492575,0.916431311359151,0.104719303305602,0.00923212052246408,236098813.90255,0.0465116279069767,1.53431700653751,0.651755794753717,0.533799291728404,0.347277278815146,0.271645794018658,0.262708215149164,0,0,14.0127495872049,14.0127495872049,17.1624237690821,1.45461790567995,3.80650448800091,1.5688618645185,4.32532648966694,0.14725531213008,0.0177378256945684,0,0.0307672049163187,0.0712367802428025,-0.0470062232816468,0.168072640441927,-0.466200708271596,0.0181416370308465,0.168966045797016,0.163743934343098,0,0,0.0908175101252037,0.125114135394671,0.0832280098984134,1.03698385020736,0.0111513898431407,-0.890187070693644,0.00992682305862831,-0.00961254076791835
2015,0,3723404600,3723404600,15069.5806735588,6108.35685168354,13917.1971802366,-323.178952940006,1224.12724096651,1530.29864119521,1086.69535940306,1208,0,12.8920238596421,0.928016248020915,0.10253224783323599,0.00790979562880059,235480472.785883,0.02734375,1.74875320138072,0.571835979605614,0.528688371783817,0.322963351378331,0.250525415975565,0.238607689518888,0,0,20.9128586827196,16.7287608515457,23.5576601836807,1.69878648613746,4.19097977108923,1.8394508368649,-79.2130792154412,0.178817753284345,0.0195572966905648,0,0.027814844744999,0.0627074443668999,-0.0405993469090312,0.205103353498079,-0.471311628216183,0.0166921865226689,0.223272828891405,0.16214507907416,0,0,0.077567340154439,0.104278478723647,0.0719837519790846,1.09152823584508,0.00918495682914737,-0.920576702062223,0.00845545726636038,-0.00956897893237067
