date,open,high,low,close,volume,unadjusted,putthrough
2010-03-19,14.82,14.82,14.82,14.82,66100,26.40,0
2010-03-22,15.55,15.55,15.49,15.55,487370,27.70,0
2010-03-23,15.72,15.83,14.82,14.82,349160,26.40,0
2010-03-24,14.20,14.76,14.20,14.31,78590,25.50,0
2010-03-25,13.69,14.03,13.69,13.70,40060,24.40,0
2010-03-26,14.15,14.15,13.59,13.58,14800,24.20,0
2010-03-29,13.47,13.75,12.91,12.91,96800,23.00,0
2010-03-30,12.85,13.53,12.85,13.53,97630,24.10,0
2010-03-31,14.20,14.20,14.20,14.20,31140,25.30,0
2010-04-01,14.87,14.87,14.31,14.88,359730,26.50,0
2010-04-02,14.88,15.10,14.32,14.31,97110,25.50,0
2010-04-05,14.31,14.31,13.75,13.98,83270,24.90,0
2010-04-06,14.60,14.60,13.76,13.75,63980,24.50,0
2010-04-07,13.75,14.42,13.75,14.43,150190,25.70,0
2010-04-08,14.71,14.71,14.37,14.37,51720,25.60,0
2010-04-09,14.37,14.65,14.31,14.60,105310,26.00,0
2010-04-12,15.05,15.05,14.66,14.71,128010,26.20,0
2010-04-13,14.71,14.71,14.49,14.48,102620,25.80,0
2010-04-14,14.48,14.54,14.03,14.54,60890,25.90,0
2010-04-15,14.60,14.76,14.48,14.76,78710,26.30,0
2010-04-16,14.59,14.82,14.54,14.65,217630,26.10,0
2010-04-19,14.14,14.71,14.14,14.48,67600,25.80,0
2010-04-20,15.10,15.10,14.54,14.76,249290,26.30,0
2010-04-21,15.15,15.49,15.10,15.49,509740,27.60,0
2010-04-22,16.22,16.22,16.22,16.22,110440,28.90,0
2010-04-26,17.01,17.01,16.56,17.01,515370,30.30,0
2010-04-27,16.84,16.84,16.22,16.45,106350,29.30,0
2010-04-28,15.78,16.56,15.78,16.56,284810,29.50,0
2010-04-29,16.84,17.35,16.39,17.35,291750,30.90,0
2010-05-04,18.19,18.19,17.52,18.19,183080,32.40,0
2010-05-05,17.68,19.09,17.68,19.09,263860,34.00,0
2010-05-06,20.04,20.04,19.15,20.04,422880,35.70,0
2010-05-07,19.25,19.65,19.09,19.65,345100,35.00,0
2010-05-10,19.65,19.65,18.70,18.69,161870,33.30,0
2010-05-11,18.69,18.69,17.79,17.79,100440,31.70,0
2010-05-12,16.95,16.95,16.95,16.95,23420,30.20,0
2010-05-13,16.11,16.28,16.11,16.11,451300,28.70,20000
2010-05-14,16.28,16.33,15.32,16.34,257130,29.10,0
2010-05-17,16.85,16.85,15.61,15.66,100980,27.90,0
2010-05-18,15.15,15.88,15.15,15.61,46730,27.80,100000
2010-05-19,15.16,15.72,14.88,14.88,139390,26.50,0
2010-05-20,14.15,15.27,14.15,15.27,136190,27.20,0
2010-05-21,14.54,14.60,14.54,14.54,146910,25.90,25000
2010-05-24,14.37,15.05,14.15,14.37,34550,25.60,0
2010-05-25,14.88,15.04,14.31,14.71,46790,26.20,0
2010-05-26,15.05,15.44,14.77,15.44,138640,27.50,0
2010-05-27,15.44,15.66,15.22,15.44,86580,27.50,0
2010-05-28,16.17,16.17,15.55,16.17,125670,28.80,25000
2010-05-31,16.17,16.28,15.72,15.89,106740,28.30,0
2010-06-01,15.89,16.11,15.61,15.72,76510,28.00,0
2010-06-02,15.72,15.72,15.05,15.72,45410,28.00,90000
2010-06-03,16.00,16.51,15.72,16.28,132990,29.00,0
2010-06-04,16.28,16.34,16.00,16.28,39420,29.00,30000
2010-06-07,15.49,16.06,15.49,15.49,140160,27.60,90000
2010-06-08,15.15,15.94,15.15,15.27,28600,27.20,90000
2010-06-09,15.72,15.72,15.33,15.32,54420,27.30,45000
2010-06-10,15.32,15.71,15.32,15.61,34720,27.80,50000
2010-06-11,16.00,16.00,15.67,15.72,41460,28.00,95000
2010-06-14,15.83,15.83,15.66,15.66,23290,27.90,0
2010-06-15,15.94,15.94,15.60,15.66,66080,27.90,50000
2010-06-16,16.39,16.39,16.39,16.39,130750,29.20,245000
2010-06-17,17.18,17.18,17.18,17.18,75330,30.60,151300
2010-06-18,18.02,18.02,17.40,18.02,646810,32.10,20000
2010-06-21,18.92,18.92,18.92,18.92,126770,33.70,0
