Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2015,1,287480369052,-12577206960,274903162092,-181571198094,93331963998,112847138849,-1948563219,-1492510852,-46818120395,-8653409625,148759009608,793837832,-7632789,786205043,0,149545214651,-32899563223,0,-32899563223,116645651428,0,116645651428,2783,0
2015,2,297090005288,-8581502577,288508502711,-181444334620,107064168091,-102259740183,-2376878772,-1394585759,-68051985969,-30975262288,-96599699121,143131597027,-13049,143131583978,0,46531884857,-9097296189,0,-9097296189,37434588668,0,37434588668,524,0
2015,3,320321025411,-9730312153,310590713258,-187379431315,123211281943,880066508,-2624088508,-1429656267,-32720999417,-37962952935,50783307591,201290093,-54222608,147067485,0,50930375076,-11186580916,0,-11186580916,39743794160,0,39743794160,0,0
2015,4,361254219907,-10188561035,351065658872,-222681956460,128383702412,6247406243,-8866592204,-1131022372,-74504790304,-24426563875,26833162272,14878686,-4110,14874576,0,26848036848,-5906567227,0,-5906567227,20941469621,0,20941469621,0,0
2016,1,353330612493,-5857095410,347473517083,-204733881943,142739635140,652332351,-1986589594,-1279546490,-83594781620,-19335435908,38475160369,184855,-343948,-159093,0,38475001276,-7695000257,0,-7695000257,30780001019,0,30780001019,0,0
2016,2,310122341890,-6329578189,303792763701,-179976755791,123816007910,6601608404,-2554526314,-1322597493,-56420769534,-24514197256,46928123210,32331605,-40234,32291371,0,46960414581,-9371523229,0,-9371523229,37588891352,0,37588891352,0,0
2016,3,357257819527,-8472857327,348784962200,-222617929602,126167032598,757458672,-1889398763,-1161566640,-66181998361,-18382648012,40470446134,7203039,-6442,7196597,0,40477642731,-8095528547,0,-8095528547,32382114184,0,32382114184,0,0
2016,4,421798515767,-36947924213,384850591554,-266300169507,118550422047,8201034329,3583726348,-734302414,-56607449489,-28153981656,45573751579,183718853,-93374242,90344611,0,45664096190,-9217060145,0,-9217060145,36447036045,0,36447036045,0,0
2017,1,355773134530,-13135652669,342637481861,-216531253763,126106228098,5235294099,-2536479361,-1435994942,-57098996342,-22598125744,51788453117,6688201,-393,6687808,0,51795140925,-9833769251,0,-9833769251,41961371674,0,41961371674,0,0
2017,2,321845001775,-14845040500,306999961275,-190945600374,116054360901,5150188965,-2586674464,-1475135843,-58359323202,-19238426287,41814003001,136478113,-7332860,129145253,0,41943148254,-8081883800,0,-8081883800,33861264454,0,33861264454,0,0
2017,3,366310360916,-17161211953,349149148963,-221562262841,127586886122,4188884455,-3215126923,-2063291905,-52127968338,-22052961672,54379713644,435392304,-486513,434905791,0,54814619435,-10974012488,0,-10974012488,43840606947,0,43840606947,0,0
2017,4,415592945807,-26152139499,389440806308,-268515814558,120924991750,4199037945,-2473062282,-1853771452,-43371147231,-28887392777,54948154077,110192328,-14806381,95385947,0,55043540024,-10316189197,0,-10316189197,44727350827,0,44727350827,0,0
2018,1,361154724884,-12770617178,348384107706,-229147512226,119236595480,5170842183,-3944436255,-3258398696,-50010183262,-19750867984,51285400047,10066277,-2655,10063622,0,51295463669,-10153250864,0,-10153250864,41142212805,0,41142212805,0,0
2018,2,311785415116,-16280130615,295505284501,-187291730019,108213554482,4081874361,-3164464098,-2193386608,-42837236223,-18007716608,50257194993,76254600,-178771982,-102517382,0,50154677611,-9532010316,0,-9532010316,40622667295,0,40622667295,0,0
2018,3,374874965243,-7937120979,366937844264,-267271696020,99666148244,3435919086,-2490093798,-1379556097,-35711793908,-14653603290,55136334493,66935398,-25920852,41014546,0,55177349039,-10068079434,0,-10068079434,45109269605,0,45109269605,0,0
2018,4,426203925903,-30440183575,395763742328,-289185340666,106578401662,10531246453,-2601039894,-1534498264,-51057308074,-15109022217,44332266545,78154503,-11567271,66587232,0,44398853777,-8268205190,0,-8268205190,36130648587,0,36130648587,0,0
2019,1,261684255234,-9624613411,252059641823,-175139454433,76920187390,3458003154,-2416289949,-1712980142,-27794356980,-11130119464,42314024984,14290214,-8790727,5499487,0,42319524471,-7822260673,0,-7822260673,34497263798,0,34497263798,0,0
2019,2,309703316131,-9746150640,299957165491,-191628245093,108328920398,4514197190,-4218106682,-3008309194,-48690431299,-17060056782,46582792297,52165954,-13527803,38638151,0,46621430448,-8472109612,0,-8472109612,38149320836,0,38149320836,0,0
2019,3,315111117044,-6259581824,308851535220,-196031309867,112820225353,2785592198,-3584178857,-2690724897,-56957161787,-14742035091,39935628183,101479878,-45118242,56361636,0,39991989819,-7672738696,0,-7672738696,32319251123,0,32319251123,0,0
2019,4,437337582487,-28472967172,408864615315,-287724513979,121140101336,2290558897,-4404355858,-2902140553,-42422323244,-41176386592,43856664199,178068815,-62888434,115180381,0,43971844580,-7927103883,0,-7927103883,36044740697,0,36044740697,0,0
2020,1,382673161886,-2503441959,380169719927,-232193533592,147976186335,2933244314,-4595200448,-2948271151,-78416821361,-21237250201,50039145227,621335704,-8060,621327644,0,50660472871,-9607657815,0,-9607657815,41052815056,0,41052815056,0,0
2020,2,277001513177,-21138165583,255863347594,-157821208145,98042139449,2015258557,-3914504996,-2051321984,-31078095071,-15104984764,47387694227,75540342,-11854838,63685504,0,47451379731,-9828873202,63292757,-9765580445,37685799286,0,37685799286,0,0
