date,open,high,low,close,volume,unadjusted,putthrough
2018-12-18,12.6400,12.6400,12.6400,12.6400,219600,15.3000,0
2018-12-19,13.8000,13.8800,13.8000,13.8800,6300,16.8000,0
2018-12-20,15.2000,15.2000,15.2000,15.2100,47700,18.4000,0
2018-12-21,16.6200,16.6200,14.8800,15.3700,89500,18.6000,0
2018-12-24,15.3700,15.6200,15.3700,15.5400,72800,18.8000,0
2018-12-25,15.4600,15.4600,15.2100,15.3700,81000,18.6000,0
2018-12-26,15.2900,15.7000,14.9600,15.7000,84500,19.0000,0
2018-12-27,15.7800,15.8700,15.7000,15.7900,87500,19.1000,0
2018-12-28,15.7900,16.1200,15.7900,16.1200,33300,19.5000,0
2019-01-02,16.1200,16.2000,15.7100,15.8700,23600,19.2000,0
2019-01-03,15.8700,15.9500,15.7000,15.7900,24700,19.1000,0
2019-01-04,15.7100,15.8700,15.7100,15.7900,64700,19.1000,0
2019-01-07,15.7900,16.1200,15.7100,15.9500,92900,19.3000,0
2019-01-08,15.9500,16.0300,15.8700,15.9500,44300,19.3000,0
2019-01-09,15.8700,16.0300,15.7800,15.8700,43100,19.2000,0
2019-01-10,15.8700,16.0400,15.8700,15.9500,22000,19.3000,0
2019-01-11,15.9500,16.1200,15.9500,16.0300,25300,19.4000,0
2019-01-14,16.0300,16.3600,16.0300,16.2000,103800,19.6000,0
2019-01-15,16.2000,16.5300,16.2000,16.3600,138400,19.8000,0
2019-01-16,16.2800,16.3600,16.1900,16.2000,40200,19.6000,0
2019-01-17,16.1200,16.2000,15.8700,16.1200,42000,19.5000,16900
2019-01-18,16.0400,16.2000,15.8700,15.9500,46310,19.3000,0
2019-01-21,15.8700,15.9500,15.7800,15.8700,20600,19.2000,0
2019-01-22,15.7900,16.1200,15.7900,16.0300,20900,19.4000,0
2019-01-23,16.0300,16.1100,15.9500,16.0300,42400,19.4000,0
2019-01-24,16.0300,16.2800,15.8600,15.9500,69300,19.3000,0
2019-01-25,15.8700,16.1200,15.8700,16.0300,23700,19.4000,0
2019-01-28,16.0300,16.2800,15.8600,15.9500,69000,19.3000,0
2019-01-29,15.8700,16.3600,15.7800,16.3600,98400,19.8000,0
2019-01-30,16.1900,16.5300,16.1900,16.5300,44500,20.0000,0
2019-01-31,16.4500,16.7000,16.1200,16.2800,49600,19.7000,0
2019-02-01,16.2000,16.2800,16.1100,16.2800,18400,19.7000,0
2019-02-11,16.2800,16.3600,16.2800,16.3600,22800,19.8000,0
2019-02-12,16.3600,16.4400,16.0300,16.1200,106200,19.5000,0
2019-02-13,16.1200,16.2900,15.9500,16.2000,39200,19.6000,0
2019-02-14,16.2000,16.4500,16.2000,16.4500,61500,19.9000,0
2019-02-15,16.3700,16.6200,16.1200,16.2000,45500,19.6000,0
2019-02-18,16.1200,16.3700,16.1200,16.2800,46600,19.7000,0
2019-02-19,16.2000,16.4500,15.9500,16.3600,57500,19.8000,0
2019-02-20,16.3600,16.4400,16.1900,16.2800,64300,19.7000,0
2019-02-21,16.3600,16.5300,16.3600,16.4500,23300,19.9000,0
2019-02-22,16.4500,17.3600,16.4500,17.1100,109600,20.7000,0
2019-02-25,17.0300,17.7700,17.0300,17.4400,74900,21.1000,0
2019-02-26,17.3600,17.5200,16.9400,17.1900,62000,20.8000,0
2019-02-27,17.1100,17.1900,16.8600,16.9400,17100,20.5000,0
2019-02-28,16.9400,17.0200,16.7700,16.8600,25500,20.4000,0
2019-03-01,16.7800,17.1100,16.7800,16.9400,27000,20.5000,0
2019-03-04,16.8600,18.2600,16.7700,18.0200,322100,21.8000,0
2019-03-05,18.1000,18.6000,17.5200,17.7700,103200,21.5000,0
2019-03-06,17.7700,17.9400,17.3600,17.6000,62700,21.3000,0
2019-03-07,17.5200,17.5200,16.5300,16.7800,97400,20.3000,0
2019-03-08,16.6100,16.9500,16.3700,16.9400,150800,20.5000,0
2019-03-11,16.8600,17.0200,16.6900,17.0200,27409,20.6000,0
2019-03-12,16.9400,17.1000,16.7700,16.8600,13500,20.4000,0
2019-03-13,16.7800,17.0300,16.6900,16.9400,42200,20.5000,0
2019-03-14,16.9400,16.9400,16.7700,16.8600,14711,20.4000,0
2019-03-15,16.7800,17.1100,16.7800,17.1100,29720,20.7000,0
2019-03-18,17.0300,17.1900,16.9400,17.1900,12662,20.8000,0
2019-03-19,17.1100,17.2700,17.1100,17.1900,21700,20.8000,0
2019-03-20,17.1900,17.3600,17.1100,17.3600,38503,21.0000,0
2019-03-21,17.3600,17.4400,17.2800,17.4400,19300,21.1000,0
2019-03-22,17.4400,17.5200,17.2700,17.2700,15000,20.9000,0
2019-03-25,17.2700,17.4400,17.1900,17.3600,17006,21.0000,0
2019-03-26,17.3600,17.4400,17.2800,17.3600,64800,21.0000,0
2019-03-27,17.3600,17.7700,17.1900,17.6000,115850,21.3000,0
2019-03-28,17.6000,17.7700,17.3500,17.4400,83550,21.1000,0
2019-03-29,17.5200,17.6100,17.3600,17.3600,68203,21.0000,17200
2019-04-01,17.3600,17.6100,17.2800,17.4400,47000,21.1000,0
2019-04-02,17.4400,19.1800,17.1100,18.8400,169500,22.8000,0
2019-04-03,18.6700,19.2500,18.6700,19.1700,47800,23.2000,0
2019-04-04,18.6700,19.0900,18.4300,18.9300,41000,22.9000,0
2019-04-05,19.0100,19.1000,18.6800,18.7600,44603,22.7000,0
2019-04-08,18.9300,18.9300,18.4300,18.6000,19700,22.5000,0
2019-04-09,18.6000,18.9300,18.0200,18.9300,18500,22.9000,0
2019-04-10,18.9300,18.9300,18.6000,18.6800,29700,22.6000,0
2019-04-11,18.6800,19.0900,18.5100,18.8400,49300,22.8000,0
2019-04-12,18.8400,18.8400,18.4300,18.5100,30200,22.4000,0
2019-04-16,18.5900,18.6800,18.5900,18.6800,56100,22.6000,0
2019-04-17,18.6800,18.9300,18.5100,18.9300,39130,22.9000,0
2019-04-18,18.8500,19.1000,18.5200,18.6800,25000,22.6000,0
2019-04-19,18.7600,18.8500,18.4300,18.6000,33200,22.5000,0
2019-04-22,18.5200,18.6000,17.9400,18.1000,39700,21.9000,0
2019-04-23,18.1800,18.1800,17.2700,17.3600,56400,21.0000,0
2019-04-24,17.4400,17.9400,17.3600,17.6900,27500,21.4000,0
2019-04-25,17.6900,17.8600,17.3600,17.5200,20000,21.2000,0
2019-04-26,17.5200,17.6900,17.4400,17.4400,18000,21.1000,0
2019-05-02,17.3600,17.6900,17.2700,17.4400,20200,21.1000,0
2019-05-03,17.3600,17.6900,17.2700,17.6000,41500,21.3000,0
2019-05-06,17.5200,17.5200,17.3500,17.4400,34800,21.1000,0
2019-05-07,17.4400,17.9400,17.4400,17.7700,41800,21.5000,0
2019-05-08,17.8500,17.9400,17.7700,17.8500,26300,21.6000,0
2019-05-09,17.9300,18.0200,17.8500,17.9300,42100,21.7000,0
2019-05-10,17.9300,18.1800,17.9300,18.1800,41000,22.0000,0
2019-05-13,18.2600,18.3500,18.1800,18.3500,31752,22.2000,0
2019-05-14,18.3500,18.3500,18.2700,18.3500,20100,22.2000,0
2019-05-15,18.3500,18.6000,18.1800,18.2600,32900,22.1000,0
2019-05-16,18.1800,18.2600,17.8500,18.1000,48700,21.9000,0
2019-05-17,18.1000,18.1800,17.9300,18.1000,23700,21.9000,0
2019-05-20,18.1000,18.4300,18.1000,18.4300,29300,22.3000,0
2019-05-21,18.3500,18.5100,18.2600,18.4300,45000,22.3000,0
2019-05-22,18.4300,18.6800,18.3500,18.6000,31700,22.5000,0
2019-05-23,18.5200,18.6000,18.1900,18.4300,38900,22.3000,0
2019-05-24,18.4300,18.4300,18.1000,18.1800,32620,22.0000,0
2019-05-27,18.1800,18.2600,18.1800,18.2600,25100,22.1000,60000
2019-05-28,18.2600,18.3400,17.5200,18.1800,32600,22.0000,0
2019-05-29,18.1800,18.3500,17.9300,18.3500,23900,22.2000,0
2019-05-30,18.2700,19.4200,18.2700,19.4200,224500,23.5000,0
2019-05-31,19.4200,19.8300,19.0100,19.8300,57900,24.0000,0
2019-06-03,19.8300,19.9100,19.5800,19.6700,21200,23.8000,0
2019-06-04,19.5900,19.7500,19.5000,19.6700,18400,23.8000,0
2019-06-05,19.5000,19.7500,19.5000,19.5900,18700,23.7000,0
2019-06-06,19.5900,19.5900,19.4200,19.5900,19200,23.7000,0
2019-06-07,19.5900,20.0000,19.5100,19.9200,38700,24.1000,0
2019-06-10,19.9200,20.0900,19.8400,20.0000,74220,24.2000,0
2019-06-11,19.9200,20.0800,19.9200,20.0800,117620,24.3000,0
2019-06-12,20.0000,20.2500,19.9100,20.1700,115700,24.4000,0
2019-06-13,20.1700,20.1700,19.9200,20.0000,120200,24.2000,0
2019-06-14,20.0000,20.0800,19.9200,20.0000,84402,24.2000,0
2019-06-17,20.0000,20.0800,20.0000,20.0000,37800,24.2000,0
2019-06-18,20.0800,20.1700,19.8300,19.9200,50200,24.1000,0
2019-06-19,19.9200,20.0900,19.9200,20.0000,51479,24.2000,0
2019-06-20,20.0000,20.3300,20.0000,20.2500,62611,24.5000,0
2019-06-21,20.1700,20.2500,20.0000,20.1700,50249,24.4000,0
2019-06-24,20.1700,20.2500,20.0900,20.1700,45401,24.4000,0
2019-06-25,20.1700,20.1700,19.9200,20.1700,62705,24.4000,0
2019-06-26,20.1700,20.2500,20.0000,20.2500,23100,24.5000,0
2019-06-27,20.2500,20.3300,20.1700,20.3300,130308,24.6000,0
2019-06-28,20.2500,20.5000,20.2500,20.5000,149320,24.8000,0
2019-07-01,20.4200,20.8300,20.4200,20.7400,69206,25.1000,0
2019-07-02,20.6600,20.7400,20.5700,20.6600,24300,25.0000,0
2019-07-03,20.6600,20.7400,20.4100,20.5800,33000,24.9000,0
2019-07-04,20.5000,20.9900,20.5000,20.8300,64000,25.2000,0
2019-07-05,20.8300,20.9100,20.6600,20.8300,41712,25.2000,0
2019-07-08,20.8300,20.9100,20.7500,20.8300,51800,25.2000,0
2019-07-09,20.8300,20.9100,20.6600,20.8300,43320,25.2000,0
2019-07-10,20.7500,21.0800,20.7500,20.9900,71201,25.4000,0
2019-07-11,20.9100,21.2400,20.8200,21.1600,213100,25.6000,0
2019-07-12,21.0800,21.3300,21.0800,21.3200,207600,25.8000,0
2019-07-15,21.3200,21.4000,21.2400,21.3200,199900,25.8000,0
2019-07-16,21.2400,21.4000,21.0700,21.2400,190000,25.7000,0
2019-07-17,21.2400,21.2400,20.9100,21.0700,117300,25.5000,0
