date,open,high,low,close,volume,unadjusted,putthrough
2014-08-26,17.0300,18.9800,17.0300,18.9800,22700,39.0000,0
2014-08-27,20.8800,20.8800,20.8800,20.8800,22100,42.9000,0
2014-08-28,22.9200,22.9200,22.9200,22.9200,34603,47.1000,0
2014-08-29,25.2100,25.2100,20.6300,22.9700,27929,47.2000,0
2014-09-03,22.0000,24.3300,21.4600,21.7100,7700,44.6000,0
2014-09-04,21.7100,21.7100,19.5700,19.5600,4251,40.2000,0
2014-09-05,17.8100,19.5600,17.6100,17.7600,16729,36.5000,0
2014-09-08,17.8600,18.9800,17.8600,18.9800,400,39.0000,0
2014-09-09,18.0100,18.8300,17.8600,18.8300,7900,38.7000,0
2014-09-10,17.2700,17.2700,17.0300,17.1800,4500,35.3000,0
2014-09-11,17.0300,17.0300,16.7900,17.0300,2500,35.0000,0
2014-09-12,16.7900,16.7900,16.3000,16.3000,900,33.5000,0
2014-09-15,16.6900,17.9100,16.1500,17.8100,6000,36.6000,0
2014-09-16,16.5400,16.5400,16.5400,16.5500,1200,34.0000,0
2014-09-17,16.6000,17.5200,16.6000,17.0300,1000,35.0000,0
2014-09-18,17.5200,17.7600,17.0300,17.7600,2200,36.5000,0
2014-09-19,17.7600,18.2500,17.7600,18.2500,12400,37.5000,0
2014-09-22,18.0100,19.2200,18.0100,18.7400,13200,38.5000,0
2014-09-23,18.4500,18.5900,18.0600,18.4900,7600,38.0000,0
2014-09-24,18.4900,18.7300,18.4900,18.7400,2500,38.5000,0
2014-09-25,18.8900,18.8900,18.3500,18.4000,3500,37.8000,0
2014-09-26,18.5000,18.5900,18.0600,18.3500,6300,37.7000,0
2014-09-29,18.4500,18.5000,18.3500,18.4900,6400,38.0000,0
2014-09-30,18.4400,18.4400,18.2500,18.2500,900,37.5000,0
2014-10-01,18.4400,18.4400,18.4400,18.4400,6800,37.9000,49
2014-10-02,18.4400,18.4400,18.0000,18.2500,7000,37.5000,0
2014-10-03,18.2500,18.4400,18.2000,18.2500,8100,37.5000,0
2014-10-06,18.1500,18.1500,18.0600,18.0600,3800,37.1000,0
2014-10-07,17.9100,17.9100,17.8200,17.8100,600,36.6000,0
2014-10-08,17.7600,17.7600,17.7600,17.7600,300,36.5000,0
2014-10-09,17.7600,17.7600,17.7600,17.7600,2400,36.5000,0
2014-10-10,17.5200,17.5700,17.5200,17.5200,2700,36.0000,0
2014-10-13,17.5200,17.5200,17.5200,17.5200,600,36.0000,0
2014-10-14,19.2700,19.2700,17.2800,17.5200,2700,36.0000,0
2014-10-15,17.5200,17.5200,17.0300,17.0800,5100,35.1000,0
2014-10-16,17.5200,17.6600,17.5200,17.6700,6800,36.3000,0
2014-10-17,17.5200,17.6200,17.5200,17.6200,1000,36.2000,0
2014-10-20,17.5200,17.5700,16.6500,17.5700,18000,36.1000,0
2014-10-21,17.0300,17.5200,17.0300,17.2800,1380,35.5000,0
2014-10-22,17.0900,17.0900,16.8400,17.0300,11600,35.0000,0
2014-10-23,17.5200,17.5200,17.0300,17.4700,1600,35.9000,0
2014-10-24,17.1800,17.5200,17.1300,17.4700,6400,35.9000,0
2014-10-27,16.1100,17.4700,16.1100,17.4200,4100,35.8000,0
2014-10-28,17.4200,17.4200,17.4200,17.4200,1400,35.8000,0
2014-10-29,16.3000,17.4700,16.3000,17.4700,3100,35.9000,0
2014-10-30,17.0300,17.3200,17.0300,17.2800,2600,35.5000,0
2014-10-31,16.3100,17.4300,16.3100,17.4200,1100,35.8000,0
2014-11-03,17.0300,17.7600,17.0300,17.4200,12400,35.8000,0
2014-11-04,17.5200,17.5200,17.5200,17.5200,4500,36.0000,0
2014-11-05,17.4200,17.4200,17.3300,17.3300,2100,35.6000,0
2014-11-06,17.2800,17.2800,17.2800,17.2800,500,35.5000,0
2014-11-07,17.4300,17.6700,17.2300,17.2300,4700,35.4000,0
2014-11-10,17.0400,17.0400,17.0400,17.0300,100,35.0000,0
2014-11-11,17.0800,17.0800,17.0800,17.0800,500,35.1000,0
2014-11-12,17.0800,17.2300,17.0800,17.1800,1300,35.3000,100000
2014-11-13,17.1800,17.2800,17.0800,17.2800,3500,35.5000,0
2014-11-14,17.0400,17.1800,17.0400,17.0300,1300,35.0000,0
2014-11-17,17.2700,17.2700,17.2700,17.2800,1100,35.5000,0
2014-11-18,17.2800,17.2800,17.2300,17.2300,1500,35.4000,91
2014-11-19,17.2800,17.3300,17.2300,17.2800,4900,35.5000,0
2014-11-20,17.2800,17.2800,17.2800,17.2800,2000,35.5000,0
2014-11-21,17.2800,17.5200,17.2800,17.3300,2100,35.6000,0
2014-11-25,17.0400,17.0400,17.0400,17.0300,1100,35.0000,0
2014-11-27,16.0600,17.2700,16.0600,17.2800,1600,35.5000,0
2014-11-28,17.5200,17.5200,17.5200,17.5200,2200,36.0000,0
2014-12-02,16.9400,16.9400,16.9400,16.9400,500,34.8000,0
2014-12-03,17.2800,17.2800,17.0400,17.1800,4100,35.3000,0
2014-12-04,17.0300,17.0300,17.0300,17.0300,300,35.0000,0
2014-12-05,16.9300,16.9300,16.9300,16.9400,100,34.8000,0
2014-12-08,16.9400,16.9400,16.9400,16.9400,200,34.8000,0
2014-12-09,16.6500,17.3300,16.6500,16.7900,5800,34.5000,0
2014-12-12,16.6400,16.6400,16.6400,16.6400,100,34.2000,0
2014-12-15,15.5700,16.7400,15.5700,16.7400,700,34.4000,0
2014-12-16,16.7400,16.7400,16.6400,16.6400,700,34.2000,0
2014-12-17,16.6400,16.6400,16.3000,16.3000,400,33.5000,0
2014-12-18,17.2700,17.3700,17.2700,17.3700,400,35.7000,0
2014-12-19,17.5200,17.7600,17.5200,17.7600,2300,36.5000,0
2014-12-22,17.0800,17.0800,16.9300,17.0300,2300,35.0000,0
2014-12-23,17.0300,17.0300,17.0300,17.0300,100,35.0000,0
2014-12-24,16.8400,16.8400,16.7900,16.7900,300,34.5000,0
2014-12-25,15.5700,17.0300,15.5700,17.0300,200,35.0000,0
2014-12-26,15.5700,15.5700,15.5700,15.5700,100,32.0000,0
2014-12-29,16.5400,16.5400,16.3500,16.3500,300,33.6000,0
2014-12-31,17.1800,17.1800,16.5400,16.9800,3700,34.9000,0
2015-01-05,16.7900,17.1700,16.7900,17.1800,5400,35.3000,0
2015-01-06,17.2300,17.2300,17.2300,17.2300,100,35.4000,0
2015-01-07,16.9400,16.9400,16.5500,16.5500,1700,34.0000,0
2015-01-08,16.6500,17.0400,16.6500,17.0300,10700,35.0000,0
2015-01-09,17.0800,17.1300,17.0800,17.1300,5600,35.2000,0
2015-01-12,17.0800,17.1300,17.0800,17.1300,5300,35.2000,0
2015-01-13,17.0800,17.1300,17.0800,17.1300,2900,35.2000,0
2015-01-15,17.1300,17.1300,17.1300,17.1300,6900,35.2000,0
2015-01-16,17.1300,17.1300,17.1300,17.1300,8000,35.2000,15200
2015-01-20,17.0800,17.1300,17.0800,17.1300,4400,35.2000,0
2015-01-21,17.1300,17.1300,17.0800,17.1300,4300,35.2000,0
2015-01-22,17.1300,17.1300,17.0800,17.0800,1600,35.1000,0
2015-01-26,17.0800,17.0800,17.0800,17.0800,200,35.1000,0
