Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,56002095618,0,56002095618,-36767210177,19234885441,963177509,9817294441,0,-2082981448,-4228067400,23704308543,0,0,0,0,23704308543,-4077182119,0,-4077182119,19627126424,0,19627126424,1955,0
2010,1,45375073319,0,45375073319,-24166220152,21208853167,793278578,0,0,-1989164363,-2899084611,17113882771,0,0,0,0,17113882771,-4236509367,0,-4236509367,12877373404,0,12877373404,1282,0
2010,2,71912688923,0,71912688923,-41957882692,29954806231,7669597186,-1075750416,0,-2547055573,-5032588447,28969008981,0,0,0,0,28969008981,-7171251170,0,-7171251170,21797757811,0,21797757811,2171,0
2010,3,61651204873,0,61651204873,-40016356270,21634848603,1050999354,-393967278,0,-1986106921,-4103271032,16202502726,0,0,0,0,16202502726,-3945561181,0,-3945561181,12256941545,0,12256941545,1221,0
2010,4,57369327973,0,57369327973,-41158626142,16210701831,1087392275,-1609613432,-885972221,-2019935422,-5231611254,8436933998,0,0,0,0,8436933998,-1996287451,0,-1996287451,6440646547,0,6440646547,428,0
2011,1,46858499460,0,46858499460,-28022630876,18835868584,2277127900,-1597561143,-1594166668,-1360354263,-3588708842,14566372236,0,0,0,0,14566372236,-3527234171,0,-3527234171,11039138065,0,11039138065,733,0
2011,2,69951840936,0,69951840936,-43389506102,26562334834,3392030557,-3120056498,-2162129098,-2235527898,-6568954325,18029826670,0,-1681768058,-1681768058,0,16348058612,-4686217940,0,-4686217940,11661840672,0,11661840672,774,0
2011,3,53796027314,0,53796027314,-37349294994,16446732320,1538654840,-2458621836,-2456387025,-1510089980,-4265148678,9751526666,0,0,0,0,9751526666,-2437877042,0,-2437877042,7313649624,0,7313649624,586,0
2011,4,48869246665,0,48869246665,-30140188461,18729058204,1829842174,-2577721403,-2385461140,-1422293189,-3149940806,13408944980,133357182,0,133357182,0,13542302162,1385929368,0,1385929368,14928231530,0,14928231530,991,0
2012,1,49244882945,0,49244882945,-43129529168,6115353777,419572665,-1323156351,-1316467067,-1094561406,-2369259418,1747949267,0,0,0,0,1747949267,-436987317,0,-436987317,1310961950,0,1310961950,87,0
2012,2,61649498107,0,61649498107,-47957975272,13691522835,901701283,-547045971,-1286356962,-1219786794,-3508382609,9318008744,0,-36087900,-36087900,0,9281920844,-1439205010,0,-1439205010,7842715834,0,7842715834,521,0
2012,3,54967471674,0,54967471674,-44716675249,10250796425,890490635,-1416746914,-1415384103,-872761495,-1856240835,6995537816,0,0,0,0,6995537816,-1138195768,0,-1138195768,5857342048,0,5857342048,389,0
2012,4,50137544371,0,50137544371,-47787667877,2349876494,914655457,728133431,-152980763,-630429357,-4029764274,-667528249,1979027976,0,1979027976,0,1311499727,-200826032,0,-200826032,1110673695,0,1110673695,74,0
2013,1,36665519331,0,36665519331,-30621324099,6044195232,1263869800,-2525213020,-889846627,-699737288,-1679722676,2403392048,0,0,0,0,2403392048,-427626262,0,-427626262,1975765786,0,1975765786,131,0
2013,2,35732990695,0,35732990695,-36561490039,-828499344,895157801,-1737667358,-927527472,-412240341,-2299988802,-4383238044,2817818477,0,2817818477,0,-1565419567,427626262,0,427626262,-1137793305,0,-1137793305,-75,0
2013,3,35147747499,0,35147747499,-25888264854,9259482645,1462856985,-492764182,-483415215,-1818182,-1745856860,8481900406,0,0,0,0,8481900406,-2027165971,0,-2027165971,6454734435,0,6454734435,429,0
2013,4,40582162852,0,40582162852,-35127970293,5454192559,1352867202,-2117842869,-343237723,-107552618,-1391291172,3190373102,-1509870884,0,-1509870884,0,1680502218,-308560930,0,-308560930,1371941288,0,1371941288,91,0
2014,4,47249956166,0,47249956166,-36473408289,10776547877,213179866,-1589585741,0,-36935455,-2944210861,6418995686,327272727,-100000000,227272727,0,6646268413,-1426915179,0,-1426915179,5219353234,0,5219353234,347,0
2015,1,44268602996,0,44268602996,-31305820930,12962782066,318465999,-70360,0,-126027502,-2116040329,11039109874,0,0,0,0,11039109874,-2428599513,0,-2428599513,8610510361,0,8610510361,572,0
2015,2,44612114753,0,44612114753,-32345067767,12267046986,9749660428,-71923,0,-35570457,-2382049856,19599015178,0,-22000000,-22000000,0,19577015178,-3937779506,0,-3937779506,15639235672,0,15639235672,1038,0
2015,3,48280174565,0,48280174565,-34123871861,14156302704,577808815,-71923,0,-58510000,-3109758632,11565770964,0,0,0,0,11565770964,-2512781032,0,-2512781032,9052989932,0,9052989932,601,0
2015,4,64348679801,0,64348679801,-43843089638,20505590163,528164712,-931482030,0,-25454545,-6156830114,13919988186,303059299,-36363636,266695663,0,14186683849,-3120866510,0,-3120866510,11065817339,0,11065817339,735,0
2016,1,40053929822,0,40053929822,-28203038523,11850891299,1005155051,-71141,0,-96773817,-3232509830,9526691562,1782727272,-689782000,1092945272,0,10619636834,-2123925567,0,-2123925567,8495711267,0,8495711267,564,0
2016,2,50983179956,0,50983179956,-35211137270,15772042686,3001400970,-140071923,0,-19545454,-3152133692,15461692587,1128399818,597286168,1725685986,0,17187378573,-3074002432,0,-3074002432,14113376141,0,14113376141,770,0
2016,3,47620293419,0,47620293419,-35925605236,11694688183,1185036008,-71923,0,-71088181,-3647528173,9161035914,0,0,0,0,9161035914,-1832207183,0,-1832207183,7328828731,0,7328828731,487,0
2016,4,56766109328,0,56766109328,-41136560380,15629548948,548360864,71141,0,-21803564,-5147226061,11008951328,13114022727,0,13114022727,0,24122974055,-4824566355,0,-4824566355,19298407700,0,19298407700,1281,0
2017,1,56321553701,0,56321553701,-38903560987,17417992714,2503030867,-70360,0,-170517407,-3195484134,16554951680,227272726,0,227272726,0,16782224406,-3356444881,0,-3356444881,13425779525,0,13425779525,891,0
2017,2,65511309239,0,65511309239,-43184392561,22326916678,5289318273,-995871923,0,-27454546,-3858369126,22734539356,77272727,0,77272727,0,22811812083,-4533562017,0,-4533562017,18278250066,0,18278250066,1098,0
2017,3,66982796032,0,66982796032,-44920821332,22061974700,603912475,-71923,0,-81000000,-2672812710,19912002542,0,0,0,0,19912002542,-4028784287,0,-4028784287,15883218255,0,15883218255,1055,0
2017,4,68805580201,0,68805580201,-50357460557,18448119644,1461280024,-1396271141,0,-29930000,-4574512272,13908686255,0,0,0,0,13908686255,-2781734552,0,-2781734552,11126951703,0,11126951703,0,0
2018,1,58458507944,0,58458507944,-39980307342,18478200602,1973442177,-8524497,0,-179052546,-3039625058,17224440678,0,0,0,0,17224440678,-3305081576,0,-3305081576,13919359102,0,13919359102,924,0
2018,2,76943199358,0,76943199358,-50519919510,26423279848,1064466734,-741762869,0,0,-3846283754,22899699959,0,-15678030,-15678030,0,22884021929,-4553221883,0,-4553221883,18330800046,0,18330800046,1101,0
2018,3,75120518315,0,75120518315,-49819244275,25301274040,1634230209,-1559259,0,-15868182,-4480380142,22437696666,2363250,0,2363250,0,22440059916,-4341345184,0,-4341345184,18098714732,0,18098714732,1202,0
2018,4,87298879364,0,87298879364,-65306886854,21991992510,2009950686,63952726,0,-44670000,-3551181306,20470044616,0,0,0,0,20470044616,-3924586984,0,-3924586984,16545457632,0,16545457632,0,0
2019,1,73496112748,0,73496112748,-48837692779,24658419969,1428623150,-1923733720,0,-193892570,-3228779163,20740637666,0,-8577313,-8577313,0,20732060353,-4058749914,0,-4058749914,16673310439,0,16673310439,1132,0
2019,2,82725443693,0,82725443693,-55639568046,27085875647,2105535787,-2957234537,0,0,-4087800419,22146376478,4275000,0,4275000,0,22150651478,-4238132207,0,-4238132207,17912519271,0,17912519271,1012,0
2019,3,81316928727,0,81316928727,-56880408776,24436519951,1542221526,-2507201818,0,-97295000,-4202181143,19172063516,93220000,-6294838,86925162,0,19258988678,-3692537712,0,-3692537712,15566450966,0,15566450966,1057,0
2019,4,93988590290,0,93988590290,-67991356448,25997233842,3890639675,-4887636622,0,0,-3253705847,21746531048,3206250,-11991828,-8785578,0,21737745470,-3959803891,0,-3959803891,17777941579,0,17777941579,1207,0
2020,1,71480448027,0,71480448027,-46849347991,24631100036,1479150525,-2002474325,0,-233155456,-3454218253,20420402527,0,0,0,0,20420402527,-3994709605,0,-3994709605,16425692922,0,16425692922,1115,0
