Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2014,4,961016511338,-1014208537705,-6985095886,-12531002504,-261059991,256365896713,-226290121096,0,-42893409131,-25509804,121934636,0,0,12839210800,0,451355349,13386990981,10000000000,0,775363080432,-719527359352,-50206011,0,0,65785515069,36279096919,34429767566,0,70708864485
2015,1,923886666804,-963346809580,-6738603401,-12209732890,-3523291288,167896513318,-184688324373,979139790,-78723581410,-13440001,0,0,0,-6500000000,16500000000,178086713,10164646712,80000000000,0,736546912425,-695578632694,-55437706,0,0,120912842025,52353907327,58660513142,0,111014420469
2015,2,881752935140,-845180389802,-7581376561,-12647252306,0,-95247369402,128768913786,1190336875,49865460855,-5717295558,-59792200,-15633693290,18904500000,6500000000,-16500000000,85202619,-12421078429,0,0,811098047050,-938126903831,355738,0,0,-127028501043,-89584118617,111014420469,2639627,21432941479
2015,3,1213283700351,-1175025016544,-7278257197,-13459796044,-1237599376,540844471169,-588549976158,1861252109,-31422473799,4786917558,119584400,15633693290,-18904500000,-16000000000,16500000000,103362629,2239057877,521870000,0,765803368360,-740739677392,-79942220,0,0,25505618748,-3677797174,21432941479,-2639627,17752504678
2015,4,923754212662,-818406054123,-7533682432,-12790378354,-999809188,136948291188,-119379426584,3324772288,101593153169,-45000000,0,0,0,0,7500000000,198239020,7653239020,150000000,0,642304831178,-731733747186,-38281661,0,0,-89317197669,19929194520,17752504678,0,37681699198
2016,1,681276946738,-837824780738,-7901403334,-13235945962,-3150170553,248634873537,-161066492714,1159576337,-93266973026,-48095707,0,0,0,0,221079475,1984630,174968398,0,-221079475,661805750956,-574899280488,-37570799,0,0,86647820194,-6444184434,39830596590,0,33386412156
2016,2,0,0,0,0,0,0,0,9370295272,15633154988,-15704460292,2280255641,-20000000000,0,0,-42599475,496467137,-32970336989,0,-3473682358,715620524242,-704334574400,-37373880,-1960000000,0,5814893604,-11522288397,33386412156,0,21864123759
2016,3,0,0,0,0,0,0,0,0,34349645868,15404218859,-2280255641,-2850000000,1850000000,-805456374,42599475,-486169614,10874936705,18817360,304886291,514889222972,-556815961550,-36400254,1960000000,0,-39679435181,5545147392,21864123759,0,27409271151
2016,4,659540473216,-847612340256,-7396401180,-14535223634,-20146250,358434534533,-142921593929,0,5489302500,-1501698434,0,-20000000000,20000000000,0,0,1837764,-1499860670,0,0,637594388566,-652405107835,-35923002,-1906689384,0,-16753331655,-12763889825,27409271151,0,14645381326
2017,1,517312075877,-654452654913,-10495278498,-15008285882,-766738020,309632254951,-182606552982,0,-36385179467,-614282810,0,-880000000,200000000,-1000000000,0,12446806,-2281836004,0,-221079475,687279364845,-633426063532,-68804116,0,0,53563417722,14896402251,15568713015,0,30465115266
2017,2,0,0,0,0,0,0,0,0,-104474526218,-2330270433,150000000,0,18729000000,-2375753777,3014823677,620211128,17808010595,0,221079475,691215206736,-619063707516,-68140983,0,0,72304437712,-14362077911,30465115266,0,16103037355
