Year,Quarter,Average Outstanding Shares,Average Outstanding Shares diluted,BookValue per Share,Sale per Share,Tangible BookValue per Share,Cash Flow per Share,EPS Basis,EPS Diluted,EPS before other income,Basic EPS in year,Beta,Cash Ratio,Quick Ratio,Current Ratio,LT Debt/Equity,LT Debt/Total Assets,Debt/Equity,Debt/Total Assets,ST liabilities/ Equity,ST liabilities/ Total Assets,Total liabilities/ Equity,Total liabilities/ Total Assets,ROE %,ROCE %,ROA %,Account Receivable Turnover Ratio,Turnover Ratio,Inventory Turnover Ratio,Inventory Turn-Days,Payment Period Turnover Ratio,Average Payment Period,Sales per Employees,Net Profit per Employees,Dividend Yield %,Cash Dividend Ratio %,Dividend Payout Ratio %,Gross profit margin %,EBITDA/ Revenue %,EBIT/ Revenue %,Operating profit margin %,Pre-tax profit margin %,Net profit margin,Revenue/MarCap,Asset Turnover Ratio,Equity Turnover Ratio (%),The quality of earning by Financial Report (%),The Quality of earning by Cash Flow Statement (%),P/E cơ bản,P/E diluted,P/E before other income,P/B ,P/S,P/Tangible Book ,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Sale growth rate %,Gross profit growth rate %,EBITDA growth rate %,EBIT growth rate %,Pre-tax profit growth rate %,Net profit growth rate %,EPS growth rate %,Total assets growth rate %,Equity growth rate %,Capital growth rate %
2008,0,2504028,2504028,12594.2798794582,67691.8747450108,12849.1714869003,0,3623.08559129531,3623.08559129531,3458.56988130724,3115,0,0.137738360113216,0.642507032865578,0.945457079606026,0,0,0,0,3.90399912791102,0.758738628538709,4.14538074254887,0.805650922636168,0.302959018937249,0.533211869343815,0.075394768810315,0,0,0,0,0,0,332357548.498039,17788838.7588235,0,0,0,0.141836378909959,0.112268672103151,0.112268672103151,0.078984615759073,0.0535231976502814,1.66319102567594,1.40863722871981,5.66033107582196,-0.0254614181087916,0,0,11.2335187713435,11.2335187713435,11.7678697833963,3.23162581660452,0.601253845506765,3.16751940321549,0,0.499163953566293,4.446155318446,4.446155318446,0.977635730491717,0.593493035466699,0,0,0.646629622419957,0.601526337090952,0.283825183777756,1.20539462314374,0.161303409245769,0.247464496979516
2009,0,3028822,3028822,19698.1767782986,76046.5204201501,19697.6045006937,2908.16829843418,9969.46915368417,9969.46915368417,9957.76273415869,6661,0,0.0676159887799671,0.585084394133445,1.01029633315578,0.349752924003613,0.0969872849794056,1.32585438716188,0.367662451015095,2.19666199679896,0.609139390882606,2.6061729542989,0.722697715092144,0.657552495418736,0.730327619591316,0.158618686784497,3.46118227165023,105.455295720666,7.40367436772526,49.2998451675751,11.173228034142,32.6673723014219,451630145.239216,59207348.0411765,0,0,0,0.229726193021623,0.231887674634825,0.196655865561071,0.176265754735214,0.13109697983029,1.86846487518796,1.20993395110882,5.01577150190616,-0.0451687749049239,0,0,4.08246410842843,4.08246410842843,4.08726348343132,2.0661810713791,0.535198714880526,2.06624110046309,13.9950634981867,0.840158812435637,3.62312836919304,4.27222859607372,0.35886832503183,1.20089972351454,0,0,2.03251397244403,2.32834249856859,1.75165156948996,0.299376385780542,0.853983798738177,0.209579924825122
2010,0,4543225,4543225,18200.8674991884,88324.399437404,18200.8674991884,3990.1226232467,7317.43127976272,7317.43127976272,6030.14819544487,7317,0,0.203325543875289,0.664021110935225,1.00301428751787,0.409257080102048,0.0938844841669659,1.83381812428615,0.420681955243653,2.86996509905582,0.658376375149978,3.3591556553074,0.770597776479381,0.467074924231493,0.369932927002718,0.115510557170215,4.71086642256755,77.480439320346,11.3082736933703,32.2772520277775,11.6970739938669,31.204384976224,786818862.027451,65185758.2862745,0,0,0,0.12760206617479,0.128985541770829,0.0955245071005006,0.110259978479127,0.0828472237158955,2.17013266430968,1.39425984347201,5.63778607516425,-0.0274127547632312,0,0,5.56206111734332,5.56206111734332,6.7494195301443,2.23615715030149,0.460801321710025,2.23615715030149,10.2001877744005,0.718444705844674,5.56996308253796,7.52105116950568,0.742175251855022,-0.0323038098038663,5.37819699379716,0,0.0897874409295336,0.100974126403032,-0.26601595662106,0.67537633534929,0.385978686366263,0.499997358709096
2011,0,6587652,6587652,16405.3064062886,83390.4688606806,16398.6647713024,3634.33548493454,4897.08104511289,4897.08104511289,4899.68207777217,0,0,0.18727820315387,0.5246009054155,1.00013367485406,0.277767353879487,0.0655321334739497,1.59143919863403,0.375459551037839,2.95101890471022,0.696217759382632,3.2386435349294,0.76407546618174,0.338223358102774,0.512713229224177,0.0788237327793315,5.82325946412636,62.6796731707643,7.39565346474027,49.3533129614826,7.84759051402128,46.5110914423803,1077151743.08039,63255423.0215686,0,0,0,0.148766271224262,0.152813036252424,0.122403509606104,0.0715964024124565,0.058724709334521,2.04890586881279,1.34225837254158,5.75947266381702,-0.0128716930779356,0,0,8.31107339761451,8.31107339761451,8.30666140250998,2.48090459221161,0.488065369532782,2.48190938516072,11.1987460069975,0.692422850339751,4.53117657577311,5.65688722952452,0.368995832541203,0.596058836929282,2.36869260091162,4.85083659524504,-0.111053912039796,-0.0296128374579687,-0.330765010577362,0.270817478064541,0.306949063000367,0.449994662381898
2012,0,6587652,6587652,20502.6264956012,122399.530789119,30280.1654377007,25332.0608207598,9364.90510169633,9364.90510169633,9123.52326845741,9365,0,0.366053813580937,0.718265584224916,0.984619361070151,3.10345510934909,0.359373344723674,4.93008227823751,0.570892793891491,4.02297940079053,0.465852255655718,7.14289009477533,0.827131121252597,0.507473833692638,0.293602057667494,0.0759547725915739,7.31195541714877,49.9182474696117,7.83979290328197,46.5573522799563,7.30296635714784,49.9796907379634,1581030419.21961,117449464.198039,0,0,0,0.174225211894382,0.163260969528648,0.138763009585822,0.0920003699476339,0.0742866568348583,3.00735947884813,0.99273067110086,6.63269498806592,-0.0177137131127756,0,0,4.34601307306656,4.34601307306656,4.46099591160263,1.98511151772346,0.332517614549697,1.34411418866708,1.60665965110292,1.00061040437463,6.12890152045218,7.21093040112949,0.467788015361926,0.718976189212708,2.68380457629853,4.87962737974899,0.886086952247568,0.85674932816419,0.912344316017022,1.54623137648973,0.249755779492295,0
2013,0,6587652,6587652,23779.1093902653,126070.475730503,34866.676759337,-9236.85114605325,5917.26587591451,5917.26587591451,6246.81377917352,5917,0,0.159094045158461,0.698976988072009,1.04040621224127,2.63150752431673,0.345378428237151,4.20310187870967,0.551646045916698,3.50790047738721,0.460402693929947,6.13940800170394,0.805781122167098,0.267255370980303,0.224451878580522,0.0330358340900711,4.64052903168982,78.6548252381232,7.49042493406631,48.7288776288228,6.72018863609781,54.313951551804,1628447885.46471,82982208.2156863,0,0,0,0.209831115190859,0.217225179627033,0.171215155064029,0.067651987714509,0.0509578531535296,3.09755468625315,0.703845898971974,5.69401687663926,-0.0166941345609794,0,0,6.8781766534548,6.8781766534548,6.51532148047877,1.7115863900547,0.322835301161258,1.16730367740312,-4.40626349352727,1.10109409139833,5.06890634542857,6.43105507211998,0.0299914952101321,0.240487881903451,1.77339208630928,2.13925244593346,-0.242601176281501,-0.293464565527821,-0.368144598193239,0.023283298702059,0.159807959012818,0
2014,0,6587652,6587652,34759.7807876008,164904.105520905,45887.1064868029,37208.0332950192,14686.297550326,14686.297550326,14412.8614035395,13525,0,0.449738765070876,0.834791611609951,1.03249089070083,1.28506159001338,0.261466551822962,2.56844944791986,0.522592555795092,2.6297605203248,0.53506728448893,3.91482211033818,0.796533836311892,0.419225672836811,0.276528889996339,0.0718754863048031,5.18982499320339,70.3299245115211,8.17097445460578,44.6703146641535,9.13880846623891,39.9395611964517,2130060510.86863,191724579.045098,0.0614250614250614,5.87451902013039,0.170226702232688,0.201753273885129,0.207815698721066,0.170647702710331,0.11592596326137,0.0900089824053467,4.05169792434656,0.807049069880143,4.70724730679445,-0.0259169808560231,0,0,2.77129071234817,2.77129071234817,2.82386674376851,1.17089346013707,0.246810107434472,0.886959390470726,1.09384980596242,0.635945946285353,3.06014391693735,3.72665987402626,0.308031119620864,0.25767601476598,1.94938735148937,3.83618403716617,1.24139412071371,1.3104299483905,1.48193977730572,0.255571146215988,0.946448559825907,0
2015,0,6587652,6587652,52074.6817963365,302677.077511229,75279.4415218047,21397.239477738,21141.5579188154,21141.5579188154,21425.5560737726,19571,0,0.387216142492097,0.872661161759323,1.13665393208437,1.01574331131171,0.251745705116693,1.86540430197253,0.462328933007049,1.94166298672803,0.481229176947866,3.03479896843076,0.752156177340125,0.346691011866876,0.294600609719713,0.0793566719854102,6.85110776011925,53.2760558992648,10.522230699115,34.6884620226678,10.2399872290883,35.6445757044657,3909669127.49216,299936596.382353,0.0737100737100737,7.04718597293846,0.141900611654077,0.148726473332139,0.153866960665988,0.128558672902341,0.0953799579755306,0.0767166188753027,7.43678323123412,1.13612467206991,4.96346686815768,-0.0186633391002279,0,0,1.92511829810698,1.92511829810698,1.8996006385954,0.781569826181122,0.134466740377755,0.540652257472065,1.90211452474254,0.412989023557047,2.6840656484634,3.21245556004433,0.835473268267771,0.353055942181676,1.85080461720028,2.81215566884134,0.510165266411272,0.564413899752524,0.439543073832528,0.342271411424133,0.635031946463476,0
2016,0,6587652,6587652,65927.1995364965,274045.553730373,88119.3670615873,37472.1386405961,18457.7240901614,18457.7240901614,16618.1214995874,16824,0,0.436783764475883,0.927423077366974,1.2302024202512,1.43986253567506,0.337731678648939,1.97823207333536,0.464010710974912,1.75569664109845,0.411813182928942,3.26333277776926,0.765441720802466,0.225267786685166,0.145928132864996,0.0541796224263323,4.88812713178559,74.6707256500239,7.09099703392619,51.4737205859335,7.83816427295856,46.5670260649218,3539836745.33922,268147476.494118,0,0,0,0.125313442617602,0.136554334545307,0.101058995530928,0.0878539994329161,0.0757513681519857,6.73330598846126,0.804415785835757,3.34459628057058,-0.0121026312809304,0,0,2.20503892035608,2.20503892035608,2.44913361603539,0.617347624139093,0.148515454624174,0.461873494524245,1.08614030254219,0.53848693484378,3.94338954260815,5.32844139222601,-0.0945942917655973,-0.237126358727671,0.518460693265441,0.630588120524191,-0.166035357258274,-0.105986132641551,-0.126945887287967,0.231441531931799,0.165430727957622,0
2017,0,11857738,11857738,54114.2652013394,118939.92864634,74221.8008212865,3587.71218836173,13294.8456371696,13294.8456371696,13016.7740226466,5277,0,0.450881793994421,0.961986642333044,1.11583559003825,1.71276520392104,0.382149246386759,2.37382467961468,0.529643707317436,1.74345160025824,0.38899594271603,3.48192746712265,0.776881708297259,0.215715411236945,0.136103502872703,0.0490816259835312,2.62958397551872,138.80522675759,5.36209028537186,68.0704688982475,3.53358813603084,103.29443782036,2765408846.32745,374726810.276471,0.0565110565110565,5.7803676683346,0.172999376056664,0.218867389336278,0.232784482055034,0.186659844972541,0.156195358839555,0.135505030575902,2.92235696919755,0.439099877625236,1.92985885813568,-0.0206903282636532,0,0,3.06133678500271,3.06133678500271,3.12673477538981,0.752112217519173,0.34218954444658,0.548356406738213,11.3442767599998,1.33369697945246,5.72932081931971,7.14506636201619,-0.218775032501549,0.364455923874581,0.591603689439103,0.8513740858147,0.388937497672096,0.397465361881528,-0.279713708351715,0.593373677595465,0.515660901868317,0.79999459595012
