date,open,high,low,close,volume,unadjusted,putthrough
2017-01-12,6.49,6.49,6.49,6.49,100,43.40,0
2017-01-16,7.46,7.46,7.46,7.46,100,49.90,122922
2017-01-17,8.57,8.57,8.57,8.56,900,57.30,0
2017-01-18,9.83,9.83,9.83,9.83,1300,65.80,0
2017-01-19,11.29,11.29,9.93,11.30,21800,75.60,0
2017-01-20,11.66,12.66,11.66,12.66,1350,84.70,0
2017-01-23,14.29,14.29,11.97,14.29,11100,95.60,53986
2017-01-24,13.45,14.10,10.69,14.09,38500,94.30,0
2017-01-25,15.24,15.33,15.24,15.33,16900,102.60,0
2017-02-02,15.39,15.39,14.94,14.95,2200,100.00,0
2017-02-03,14.20,15.70,13.46,14.95,4700,100.00,0
2017-02-06,14.95,14.95,14.94,14.93,2600,99.90,0
2017-02-07,13.75,13.75,13.30,13.45,11600,90.00,0
2017-02-08,13.60,13.75,12.42,13.24,28100,88.60,5220
2017-02-09,12.70,13.24,11.39,12.85,29200,86.00,0
2017-02-10,12.70,12.70,12.55,12.55,11000,84.00,0
2017-02-13,11.73,12.40,10.98,11.81,61000,79.00,8
2017-02-14,11.36,12.33,11.08,12.11,56350,81.00,0
2017-02-15,12.38,13.46,12.38,12.93,30020,86.50,0
2017-02-16,12.89,12.99,12.78,12.82,44802,85.80,14616
2017-02-17,12.85,13.30,12.85,13.08,46000,87.50,0
2017-02-20,13.30,13.30,13.08,13.15,25800,88.00,74000
2017-02-21,13.28,13.75,13.28,13.67,46820,91.50,12900
2017-02-22,13.71,14.79,13.71,14.50,44695,97.00,14000
2017-02-23,13.62,14.65,13.62,14.27,10466,95.50,0
2017-02-24,14.27,14.27,14.12,14.27,16000,95.50,0
2017-02-27,14.05,14.93,14.05,14.35,30400,96.00,0
2017-02-28,14.20,14.29,14.20,14.21,13267,95.10,0
2017-03-01,14.25,14.27,13.97,13.97,11436,93.50,0
2017-03-02,13.60,13.90,13.46,13.75,17600,92.00,0
2017-03-03,13.75,14.42,13.66,14.05,30196,94.00,0
2017-03-06,14.35,14.42,14.20,14.35,41493,96.00,0
2017-03-07,14.41,14.75,14.41,14.50,48395,97.00,2000
2017-03-08,14.40,14.65,14.40,14.51,11913,97.10,0
2017-03-09,14.60,14.60,14.50,14.57,21210,97.50,1
2017-03-10,14.64,15.68,14.64,15.24,74848,102.00,0
2017-03-13,15.54,17.44,15.54,17.44,88634,116.70,0
2017-03-14,18.23,18.67,17.51,18.01,30700,120.50,0
2017-03-15,18.53,18.53,17.64,17.92,36498,119.90,0
2017-03-16,17.38,18.52,17.38,18.31,31129,122.50,0
2017-03-17,18.68,18.68,17.79,18.16,7082,121.50,0
2017-03-20,17.94,17.94,17.38,17.64,31374,118.00,10000
2017-03-21,17.64,18.39,17.64,17.99,64914,120.40,0
2017-03-22,18.00,18.00,16.88,17.19,61822,115.00,1305
2017-03-23,17.32,18.24,17.04,17.78,55000,119.00,0
2017-03-24,17.93,18.38,17.93,18.22,42910,121.90,0
2017-03-27,17.94,18.83,17.34,18.79,68097,125.70,0
2017-03-28,18.69,20.28,18.69,20.01,42481,133.90,0
2017-03-29,20.17,20.62,20.17,20.47,36461,137.00,0
2017-03-30,20.99,21.04,20.75,20.92,38227,140.00,44502
2017-03-31,20.80,20.80,17.95,18.38,154254,123.00,0
