Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,276682798426,0,276682798426,-161814700605,114868097821,9231790900,-6112796546,-167694604,-2595482635,-7975188419,107416421121,6609779713,-7096186763,-486407050,0,106930014071,-1864760915,0,-1864760915,105065253156,0,105065253156,0,0
2010,1,156712884671,0,156712884671,-94319333348,62393551323,6095574032,-4684469773,-4003176881,-972621664,-9379271511,53452762407,2680036032,-1936394032,743642000,0,54196404407,-5647590533,0,-5647590533,48548813874,557333,48548256541,0,0
2010,2,152198867582,0,152198867582,-89271533623,62927333959,10585796871,-2478318648,-2698296325,-2666347008,-15606327641,52762137533,1158673990,-620756610,537917380,0,53300054913,-4131472451,0,-4131472451,49168582462,196674,49168385788,0,0
2010,3,363721932259,0,363721932259,-212767829646,150954102613,7701946613,-4156205642,-859911842,-3593764693,-22237884830,128668194061,7117245585,-3795128603,3322116982,0,131990311043,-11099056346,0,-11099056346,120891254697,0,120891254697,0,0
2010,4,355787008065,0,355787008065,-169208462084,186578545981,11947707514,-1690223477,-1328458877,-4988209197,-26403341770,165444479051,53992091412,-24050752110,29941339302,0,195385818353,-18928782405,0,-18928782405,176457035948,240785,176456795163,4104,0
2011,1,441539635421,0,441539635421,-275068581056,166471054365,17606873784,-3851512812,-1922544445,-3234881907,-14335583586,162655949844,7683945149,-1319066553,6364878596,0,169020828440,-16123694683,0,-16123694683,152897133757,203892451,152693241306,3551,0
2011,2,212861052574,0,212861052574,-102711593302,110149459272,32963464805,-1875270659,-283636110,-1923024814,-9863390209,129451238395,19336436363,-3506144599,15830291764,-604947360,144676582799,-18787108122,0,-18787108122,125889474677,506576807,125382897870,2916,0
2011,3,626158376824,0,626158376824,-401022321607,225136055217,9905868992,-1065653077,-721897368,-4345636607,-15721433340,213909201185,40754556034,-4563801166,36190754868,0,250099956053,-26632520592,0,-26632520592,223467435461,917511947,222549923514,0,0
2011,4,543711560692,0,543711560692,-182768222253,360943338439,44040559650,-1692136007,721897368,-4886684979,23360584563,421765661666,-40450174248,-6513997666,-46964171914,0,374801489752,-25101654707,0,-25101654707,349699835045,1262974972,348436860073,0,0
2012,1,301079538557,0,301079538557,-209377323226,91702215331,29600644483,4665726973,0,-3893766371,-11424969376,110649851040,2584694400,-27984259,2556710141,0,113206561181,-14732054634,0,-14732054634,98474506547,859271033,97615235514,2270,0
2012,2,191258388213,-1940313301,189318074912,-100419290445,88898784467,28576126555,-3942712814,-220211321,-406336444,-11840822724,101285039040,385290860,-36390707,348900153,-860485347,100773453846,-11955565156,0,-11955565156,88817888690,504920141,88312968549,2054,0
2012,3,461017518538,-1593140630,459424377908,-284378158538,175046219370,13879362296,-2107244670,-1305782813,-2881887379,-11627983254,172308466363,4125994650,-1964906677,2161087973,-1399863406,173069690930,-8180425033,0,-8180425033,164889265897,736257439,164153008458,3818,0
2012,4,440487625546,-4158695376,436328930170,-251625977599,184702952571,25938818720,-3777521999,-1390171586,-7768543378,-20478587140,178617118774,2874400672,-466491483,2407909189,2790348076,183815376039,-14835777384,134900212,-14700877172,169114498867,-1519458405,170633957272,3968,0
2013,1,229457607418,-1309279220,228148328198,-146128385681,82019942517,13949996171,-2495222901,-2981425132,-2668026311,-13497232349,77309457127,1258350790,-111325245,1147025545,-120576971,78335905701,-7997671071,-6793748,-8004464819,70331440882,-404823909,70736264791,1626,0
2013,2,176408767889,-413012706,175995755183,-89735588389,86260166794,25642287377,270702207,314152274,-4029883358,-10472401575,97670871445,1930391663,-898551694,1031839969,-323887232,98378824182,-12188178642,6793748,-12181384894,86197439288,-372106921,86569546209,2032,0
2013,3,325573671198,-1998174326,323575496872,-220608702891,102966793981,6889521341,-14532949492,-1360995876,-4416585174,-11183406120,79723374536,3653707801,-2313196437,1340511364,193989387,81257875287,-5198696910,0,-5198696910,76059178377,-7597005,76066775382,1769,0
