date,open,high,low,close,volume,unadjusted,putthrough
2008-02-21,46.4600,46.4600,46.4600,46.4600,1710,232.0000,0
2008-02-22,44.2600,44.2600,44.2600,44.2600,10,221.0000,0
2008-02-25,42.0600,43.0600,42.0600,42.0600,160540,210.0000,0
2008-02-26,40.0600,40.0600,40.0600,40.0500,5390,200.0000,0
2008-02-27,38.0500,38.0500,38.0500,38.0500,6150,190.0000,0
2008-02-28,36.2500,36.2500,36.2500,36.2500,1390,181.0000,0
2008-02-29,34.4500,34.4500,34.4500,34.4500,970,172.0000,0
2008-03-03,32.8500,32.8500,32.8500,32.8400,230,164.0000,0
2008-03-04,31.2400,31.2400,31.2400,31.2400,1020,156.0000,0
2008-03-05,30.0400,30.0400,29.8400,29.8400,600,149.0000,0
2008-03-06,31.2400,31.2400,30.0400,31.2400,400010,156.0000,0
2008-03-07,32.2400,32.6400,31.2400,32.6400,256190,163.0000,0
2008-03-10,33.8400,34.0400,31.0400,31.0400,121970,155.0000,0
2008-03-11,29.6400,29.6400,29.6400,29.6400,6600,148.0000,0
2008-03-12,28.2400,29.8400,28.2400,28.2400,271340,141.0000,0
2008-03-13,28.2400,28.4400,27.0400,27.0400,193170,135.0000,0
2008-03-14,27.0400,27.0400,25.8400,27.0400,241640,135.0000,0
2008-03-17,26.0400,26.0400,25.8400,25.8300,132870,129.0000,0
2008-03-18,24.6300,24.6300,24.6300,24.6300,5890,123.0000,0
2008-03-19,23.4300,23.8300,23.4300,23.4300,296540,117.0000,150000
2008-03-20,22.4300,22.4300,22.4300,22.4300,17250,112.0000,20000
2008-03-21,21.4300,21.4300,21.4300,21.4300,6450,107.0000,50000
2008-03-24,20.4300,20.4300,20.4300,20.4300,6800,102.0000,0
2008-03-25,19.4300,19.4300,19.4300,19.4300,1200,97.0000,0
2008-03-26,18.5300,18.5300,18.5300,18.5200,73320,92.5000,0
2008-03-27,18.4200,18.6200,18.4200,18.6200,136820,93.0000,0
2008-03-28,18.7200,18.7200,18.7200,18.7200,75820,93.5000,0
2008-03-31,18.8200,18.8200,18.8200,18.8200,6390,94.0000,0
2008-04-01,18.9200,18.9200,18.9200,18.9300,5700,94.5000,0
2008-04-02,19.0300,19.0300,19.0300,19.0300,5900,95.0000,0
2008-04-03,19.1300,19.1300,19.1300,19.1300,2000,95.5000,0
