Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2016,1,3678015819,-69562781,-759948531,-4632740,-480554866,665438824,-3631871718,0,-603115993,0,0,0,2040353144,0,0,0,2040353144,0,0,0,-1110660000,0,0,0,-1110660000,326577151,1489163882,0,1815741033
2016,2,5586138216,-1938208972,-331399788,0,0,434377921,-18058676103,0,-14307768726,-17789999,0,-3000000000,0,-60000000000,0,0,-63017789999,91979100000,0,0,0,0,0,0,91979100000,14653541275,1815741033,0,16469282308
2017,2,21402326033,-5420910957,-680272007,-14004016,0,237474394,-11321069810,0,4203543637,0,0,0,6200000000,0,0,264564,6200264564,0,0,1246338698,-751996526,0,-6401838000,0,-5907495828,4496312373,1921686601,0,6417998974
2017,3,8663326270,-8095886871,-897352523,-22464445,0,3030424948,-4261535736,0,-1583488357,0,0,0,2600000000,-7669198000,0,769075261,-4300122739,0,0,220000000,-112000000,0,0,0,108000000,-5775611096,6417998974,0,642387878
2017,4,15376861305,-8146850085,-1532448040,-19783378,0,1665802361,-4788504362,0,2555077801,0,0,0,0,0,0,0,0,0,0,0,-1038000000,0,0,0,-1038000000,1517077801,642387878,0,2159465679
2018,1,16957944503,-6843604872,-2905299079,0,-2560000020,1570310413,-3249597181,0,2969753764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969753764,2159465679,0,5129219443
2018,2,15832288041,-5335062035,-2199454298,0,0,493209026,-1154462313,0,7636518421,0,195000000,-4400000000,0,0,0,15054586,-4189945414,0,0,0,0,0,0,0,0,3446573007,5129219443,0,8575792450
2018,3,7474487806,-1983615207,-1357006871,0,0,1167527475,-13499449121,0,-8198055918,-480000000,0,0,3034172821,0,0,0,2554172821,0,0,0,0,0,0,0,0,-5643883097,8575792450,0,2931909353
2018,4,6169507997,-2829246200,-899539571,0,-156745835,392083975,-1549521029,0,1126539337,-44593000,-195000000,-3000000000,0,0,0,-15054586,-3254647586,0,0,2627350868,-995740654,0,0,0,1631610214,-496498035,2931909353,0,2435411318
2019,1,14462977164,-6496488940,-2743136679,0,-1550056605,994333695,-2906501576,0,1761127059,-70000,0,-700000000,4400000000,0,0,0,3699930000,0,0,0,-2599995508,0,0,0,-2599995508,2861061551,2435411318,0,5296472869
2019,2,8432844463,-3196362679,-2181679994,-60673269,0,24197169,-2692902883,0,325422807,0,0,700000000,0,-2450000000,0,143085794,-1606914206,0,0,1692444060,0,0,0,0,1692444060,410952661,5296472869,0,5707425530
2019,3,-5801197762,1254709057,3152946602,60673269,1550056605,58614984,-1156411414,0,-880608659,70000,0,0,-4400000000,2450000000,0,-143085794,-2093015794,0,0,-872758427,2521995508,0,0,0,1649237081,-1324387372,5707425530,0,4383038158
2019,4,28275152008,-21565013273,-5117079529,-93565994,-1550056605,8935032031,-15780481238,0,-6896012600,-100070000,0,-1232000000,4400000000,0,0,0,3067930000,0,0,15567446139,-11370439568,0,0,0,4197006571,368923971,4383038158,0,4751962129
2020,1,15285613210,-6179613452,-3248472054,0,-1650000000,2173160589,-4611557446,0,1769130847,-2833000,0,0,1265463342,0,0,0,1262630342,0,0,0,-4841535571,0,0,0,-4841535571,-1809774382,4751962129,0,2942187747
