Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2006,0,25261139625,0,25261139625,-17024207372,8236932253,983888643,-1722218894,-1466975805,0,-1733345970,5765256032,290651112,0,290651112,0,6055907144,-605590714,0,-605590714,5450316430,0,5450316430,0,0
2007,0,54732686107,0,54732686107,-35806498255,18926187852,2640223463,-2190361671,-2148981798,0,-3583375652,15792673992,999019478,-198919009,800100469,0,16592774461,-1659277524,0,-1659277524,14933496937,0,14933496937,868,0
2008,0,152706173277,0,152706173277,-98385157678,54321015599,4649261509,-8042512798,-4666207848,0,-5894514259,45033250051,331294109,0,331294109,0,45364544160,-4405878323,0,-4405878323,40958665837,0,40958665837,2059,0
2009,0,264440432663,0,264440432663,-163923156980,100517275683,11793510755,-8529778631,-5073305780,0,-12093816738,91687191069,202478968,0,202478968,0,91889670037,-7027253844,0,-7027253844,84862416193,0,84862416193,4243,0
2010,0,327686033231,-587657000,327098376231,-167427794078,159670582153,22844266850,-13048964657,-6559129363,0,-20263891231,149201993115,2548810603,-94593106,2454217497,0,151656210612,-10075698993,0,-10075698993,141580511619,0,141580511619,6776,0
2011,0,402616672584,0,402616672584,-242785639308,159831033276,32879420275,-15045278421,-4930600692,0,-20175910128,157489265002,7596663484,-119495560,7477167924,0,164966432926,-13352603245,0,-13352603245,151613829681,0,151613829681,7581,0
2012,0,475244373615,0,475244373615,-267120997993,208123375622,27312075075,-9438314074,-8978313867,0,-25184037554,200813099069,405824288,-11000000,394824288,0,201207923357,-13153137345,0,-13153137345,188054786012,0,188054786012,9403,0
2013,0,500619673913,0,500619673913,-278152151245,222467522668,21161419269,-12256731722,-8489709760,0,-22469630725,208902579490,980219282,-141000000,839219282,0,209741798772,-12747802766,0,-12747802766,196993996006,0,196993996006,4925,0
2014,0,541640446824,0,541640446824,-305320787817,236319659007,36376919225,-9176628845,-6768972340,0,-22283464222,241236485165,1348105487,-263660105,1084445382,0,242320930547,-14368378427,0,-14368378427,227952552120,0,227952552120,5699,0
2015,0,652048118390,0,652048118390,-344330669795,307717448595,47712175101,-10375429431,-4510187232,0,-35544122759,309510071506,1041740908,0,1041740908,0,310551812414,-29462454027,0,-29462454027,281089358387,0,281089358387,7027,0
2016,0,652120056653,0,652120056653,-331889548338,320230508315,49549184232,-4396817934,-2774971856,0,-49381542717,316001331896,914122435,0,914122435,0,316915454331,-30108809944,0,-30108809944,286806644387,0,286806644387,7170,0
2017,0,626664374195,0,626664374195,-316926250642,309738123553,62921578609,-1880204028,-1502884535,0,-55215253201,315564244933,834999942,0,834999942,0,316399244875,-28959896104,0,-28959896104,287439348771,0,287439348771,7186,0
2018,0,638724759216,0,638724759216,-321584286531,317140472685,68271810592,-888278154,-410824902,0,-68147243210,316376761913,668435401,-8578903,659856498,0,317036618411,-29295280329,0,-29295280329,287741338082,0,287741338082,7194,0
2019,0,559892262521,0,559892262521,-274561547584,285330714937,80453233662,-65811538,0,0,-65608023812,300110113249,2162648832,0,2162648832,0,302272762081,-54641514802,0,-54641514802,247631247279,0,247631247279,6191,6191
