Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2006,0,5659374624,5550170608,5550170608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109204016,109204016,0,0,0,446365519,0,0,0,0,0,446365519,446365519,525135895,-78770376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6105740143,205045098,25695098,0,0,0,25695098,0,0,0,0,0,0,179350000,0,0,0,179350000,0,0,0,5900695045,5900695045,5800000000,0,0,0,0,0,0,0,0,100695045,0,0,0,0,6105740143
2007,0,62233932161,31559073326,31559073326,0,0,0,0,16290000000,0,16290000000,0,0,0,0,11029090909,11029090909,0,3355767926,249330486,956349440,0,2150088000,1469810493,0,0,0,0,0,1133554175,1133026675,1368139532,-235112857,0,0,0,0,0,0,527500,0,0,0,0,0,0,0,0,336256318,336256318,0,0,0,63703742654,37438890364,37192940364,0,0,32607079994,4234133514,351726856,0,0,0,0,0,245950000,0,0,0,245950000,0,0,0,26264852290,26264852290,15000000000,0,0,0,0,0,0,0,0,11264852290,0,0,0,0,63703742654
2008,0,268798230605,39657925466,21407925466,18250000000,0,0,0,163739919793,3332832982,100620860810,0,0,59786226001,0,47387503957,47387503957,0,18012881389,101567988,1800472422,3307409,16107533570,36441355057,0,0,0,0,0,2479729265,2284089475,2928924773,-644835298,0,0,0,195639790,223588330,-27948540,0,0,0,0,1390000000,0,0,1390000000,0,444874176,444874176,0,0,32126751616,305239585662,189603243751,186543243751,16000000000,9996901057,148834348392,3879576848,2350505263,0,0,0,5481912191,0,3060000000,0,0,0,3000000000,60000000,0,0,90643093526,90468702784,80000000000,3420000000,0,0,0,0,0,0,0,7048702784,174390742,174390742,0,24993248385,305239585662
2009,0,452727375190,78033220158,21033220158,57000000000,0,0,0,107241035761,1684523482,28330539875,0,0,77225972404,0,167479097175,167479097175,0,99974022096,1633656901,512280238,11310315,97816774642,94815940049,0,0,0,0,0,9598224956,7881009575,9441919970,-1560910395,0,0,0,137261881,237836330,-100574449,1579953500,0,0,0,51446800000,0,0,51446800000,0,4763100036,3846742236,0,916357800,29007815057,547543315239,397107999017,386820724214,120205600000,883459788,222220662715,10322540448,3879907892,259949495,0,0,29048603876,0,10287274803,0,0,3080674803,7206600000,0,0,0,123267258412,123206704023,80000000000,3420000000,0,0,0,0,683261215,683261215,0,38420181593,60554389,60554389,0,27168057810,547543315239
2010,0,540864886268,161564461264,25359790061,136204671203,0,0,0,206683906923,51946890384,33654047020,0,0,124907969519,-3825000000,124531524014,124531524014,0,48084994067,1198453374,227223899,8002906,46651313888,146893730226,0,0,0,0,0,13814786514,12298357253,15846998472,-3548641219,0,0,0,62558137,237836330,-175278193,1453871124,0,0,0,94487663210,0,24557389714,69930273496,0,12806007825,10995108931,112291094,1698607800,25785272677,687758616494,398767092006,380936159192,179722400000,1433143030,126157487166,11564870294,5922212133,33960381032,0,0,20015069220,0,17830932814,0,0,3080674803,12662196000,0,564475000,0,243597970129,243597970129,160000000000,5280000000,0,0,0,0,1365783676,5384813830,0,71567372623,0,0,0,45393554359,687758616494
2011,0,585934047478,107361799576,13660166243,93701633333,0,0,0,346455857910,147258046723,16623926163,0,0,192027305474,-9453420450,84098752589,84098752589,0,48017637403,1453133687,734659694,1234282175,44595561847,300309606140,0,0,0,0,0,14692170544,12479545216,18199088401,-5719543185,0,0,0,168051286,411848605,-243797319,2044574042,25413238755,26289557319,-876318564,199348408002,0,25169231328,174179176674,0,4641126082,2651319659,63515023,1926291400,56214662757,886243653618,429068178050,413728872568,108850000000,4291314596,121407365002,11746635076,6765877337,10815154230,0,0,147896793380,0,15339305482,0,0,80674803,12114816000,0,554600000,0,401389965133,401389965133,320000000000,32185270806,0,0,0,0,197188289,6765651704,0,42241854334,0,0,0,55785510435,886243653618
2012,0,580624955541,136052654099,25740449431,110312204668,0,0,0,281682960588,132680681532,8312353296,0,0,147561922753,-6871996993,129207425074,129207425074,0,33681915780,1063737067,2322416623,542390886,29753371204,235827220926,0,0,0,0,0,13168265623,11015775139,19940640009,-8924864870,0,0,0,216768372,520700535,-303932163,1935722112,24536920191,26289557319,-1752637128,176960375565,0,66815725823,110144649742,0,6047884816,4356568456,0,1691316360,15113774731,816452176467,236858031843,232958637378,450000000,35762860358,64857111280,24300451329,7343505437,48715582481,0,0,50068062566,0,3899394465,0,0,190674803,115760000,0,0,0,555736099377,555736099377,420000000000,31980270806,0,0,0,0,57334539,7642328822,0,96056165210,0,0,0,23858045247,816452176467
2013,0,934032482745,72886290145,19224951107,53661339038,0,0,0,385705877277,138883921748,14203877651,0,0,240256696570,-7638618692,432787263296,432787263296,0,42653052027,1684486652,2025691003,0,38942874372,334182584748,0,0,0,0,0,12153029674,9792526528,19076901211,-9284374683,0,0,0,245201034,601452535,-356251501,2115302112,23660601627,26289557319,-2628955692,228690413976,0,118545764234,110144649742,0,57137174647,3518056706,0,53619117941,12541364824,1268215067493,604600279813,531226420209,0,21303074194,158439075377,47488242480,6217506357,240868146345,0,0,53982390765,311933715,73373859604,0,0,140674803,69714000000,0,0,0,633132994648,633132994648,527996810000,10982380806,0,0,0,0,683261215,9433376895,0,84037165732,0,0,0,30481793032,1268215067493
2014,0,1755831634107,776338986657,154305252906,622033733751,0,0,0,473568496955,138934334713,82979710721,0,0,235949558727,-11906444008,499214313850,499214313850,0,6709836645,3668163751,3041672894,0,0,404621198182,712168460,0,0,712168460,0,10005094958,9295918133,19137212755,-9841294622,0,0,0,709176825,1180949914,-471773089,0,22784283063,26289557319,-3505274256,331279091617,0,331279091617,0,0,39637835089,5409845315,2159713532,32068276242,0,2160452832289,1088225342480,893205510579,1000000000,54500269225,234289339350,57960293399,13207183074,160482225421,0,0,360835866921,311933715,195019831901,522212621,0,307369245,119109413376,0,0,0,1072227489809,1072227489809,750000000000,10867980806,0,-580000000,0,0,13389194033,0,0,229082939263,0,0,0,0,2160452832289
2015,0,2986756550457,909523073630,141160146720,768362926910,0,0,0,925131068005,172928612418,106002099245,0,0,650140222743,-17951203203,1122028633093,1122028633093,0,30073775729,20514194940,9533720770,25860019,0,586590610224,1012271732,300103272,0,712168460,0,21038297320,17969619960,32838605341,-14868985381,0,0,0,3068677360,4139720768,-1071043408,0,22564045227,26289557319,-3725512092,392680741301,0,392680741301,0,0,117400355750,50770457729,7563564908,32068276242,0,3573347160681,1801987998045,1516713125481,156027425645,134354150614,831553698276,69161893168,14708934877,171732646355,0,0,114694436817,311933715,285274872564,0,0,307369245,282586483142,0,0,0,1771359162636,1771359162636,1172635700000,10867980806,0,-580000000,0,0,18884676055,0,0,382014359398,0,0,0,0,3573347160681
