date,open,high,low,close,volume,unadjusted,putthrough
2005-12-26,1.0254,1.0254,1.0254,1.0254,1000,18.5000,0
2006-01-11,1.0254,1.0254,1.0254,1.0254,400,18.5000,0
2006-02-06,0.9423,0.9423,0.9423,0.9422,1000,17.0000,0
2006-02-10,0.9699,0.9699,0.9699,0.9700,2000,17.5000,0
2006-02-13,0.9423,0.9423,0.9423,0.9422,1000,17.0000,0
2006-02-24,0.9422,0.9422,0.9422,0.9422,1000,17.0000,0
2006-02-27,0.9699,0.9699,0.9699,0.9700,200,17.5000,0
2006-03-01,0.9700,0.9700,0.9700,0.9700,300,17.5000,0
2006-03-03,0.9811,0.9811,0.9811,0.9810,3700,17.7000,0
2006-03-08,1.0531,1.0531,1.0531,1.0531,100,19.0000,0
2006-03-10,0.9977,0.9977,0.9977,0.9977,100,18.0000,0
2006-03-15,1.0933,1.0933,1.0754,1.0906,2500,18.2000,0
2006-03-20,1.1985,1.1985,1.1985,1.1984,1800,20.0000,0
2006-03-22,1.1984,1.2583,1.1984,1.2404,1800,20.7000,0
2006-03-24,1.1985,1.2584,1.1985,1.2464,11400,20.8000,0
2006-03-27,1.2584,1.2704,1.2584,1.2643,2500,21.1000,0
2006-03-29,1.3182,1.3482,1.3182,1.3302,15600,22.2000,0
2006-03-31,1.3781,1.4620,1.3542,1.4022,5700,23.4000,0
2006-04-03,1.5399,1.5399,1.5399,1.5400,1100,25.7000,0
2006-04-05,1.6898,1.6898,1.6778,1.6898,6000,28.2000,0
2006-04-07,1.7377,1.7977,1.7377,1.7737,2800,29.6000,0
2006-04-10,1.8576,1.8576,1.7377,1.8216,2700,30.4000,0
2006-04-12,1.7257,1.7377,1.7078,1.7257,3100,28.8000,0
2006-04-14,1.6718,1.6778,1.6538,1.6778,3400,28.0000,0
2006-04-17,1.6179,1.7976,1.6179,1.7018,15500,28.4000,0
2006-04-19,1.7378,1.7977,1.7138,1.7377,9000,29.0000,0
2006-04-21,1.8276,1.8575,1.7976,1.8276,6100,30.5000,0
2006-04-24,1.8576,1.9175,1.8576,1.8755,7800,31.3000,0
2006-04-26,1.8575,2.0613,1.8575,1.9894,16400,33.2000,0
2006-04-28,1.9175,2.0194,1.9055,1.9295,6500,32.2000,0
2006-05-03,1.9774,1.9774,1.9475,1.9654,4000,32.8000,0
2006-05-05,2.0073,2.0073,1.9654,1.9894,8800,33.2000,0
2006-05-08,2.0014,2.1871,1.9894,2.0313,8400,33.9000,0
2006-05-10,1.8575,1.8575,1.8336,1.8456,4500,30.8000,0
2006-05-12,1.9834,1.9834,1.9175,1.9594,2500,32.7000,0
2006-05-15,2.0133,2.0133,1.9714,1.9894,13600,33.2000,0
2006-05-17,1.9894,1.9894,1.9175,1.9534,7000,32.6000,0
2006-05-19,1.8575,1.8575,1.7976,1.8396,2400,30.7000,0
2006-05-22,1.7677,1.7857,1.7497,1.7677,400,29.5000,0
2006-05-24,1.7377,1.8875,1.6479,1.7317,6300,28.9000,0
2006-05-26,1.7077,1.7077,1.6179,1.6478,7600,27.5000,0
2006-05-29,1.6778,1.6838,1.5579,1.6239,13800,27.1000,0
