date,open,high,low,close,volume,unadjusted,putthrough
2009-10-27,14.0500,15.0000,14.0500,14.5500,14130980,29.0000,0
2009-10-28,14.9000,14.9500,14.5500,14.7000,6561020,29.3000,838046
2009-10-29,14.3000,14.5500,14.0000,14.1500,3970860,28.2000,0
2009-10-30,14.3000,14.3500,14.0500,14.1500,3723990,28.2000,0
2009-11-02,13.8000,13.9000,13.4500,13.7500,5989710,27.4000,255000
2009-11-03,13.6000,13.8000,13.2500,13.3000,3297810,26.5000,165833
2009-11-04,13.5500,13.6000,13.2000,13.3000,2791880,26.5000,92507
2009-11-05,13.5500,13.8000,13.3500,13.7000,2980370,27.3000,160000
2009-11-06,14.0000,14.0000,13.5500,13.5500,3057730,27.0000,90000
2009-11-09,13.3000,13.5000,13.1500,13.2500,3593740,26.4000,100000
2009-11-10,13.3000,13.4000,12.9500,13.0000,2749910,25.9000,83463
2009-11-11,13.0500,13.3000,12.9500,13.3000,2148090,26.5000,381784
2009-11-12,13.3000,13.4500,13.2500,13.3000,1890050,26.5000,0
2009-11-13,13.2000,13.3000,13.1500,13.3000,1842920,26.5000,0
2009-11-16,13.1500,13.3000,13.0000,13.0000,1965290,25.9000,306927
2009-11-17,13.0000,13.0000,12.7000,12.7000,2059480,25.3000,0
2009-11-18,12.5500,12.6000,12.4500,12.5500,2541330,25.0000,70000
2009-11-19,12.5500,12.8500,12.5500,12.7500,1896910,25.4000,220000
2009-11-20,12.7000,12.7500,12.5500,12.5500,1462170,25.0000,0
2009-11-23,12.4500,12.5000,12.2000,12.1900,1601490,24.3000,181874
2009-11-24,12.0400,12.1900,11.7400,11.7400,2915180,23.4000,40000
2009-11-25,11.5400,11.5400,11.1900,11.1900,4320240,22.3000,90000
2009-11-26,10.7900,10.9900,10.6400,10.6400,4072270,21.2000,75000
2009-11-27,10.1400,11.1400,10.1400,11.1400,2414700,22.2000,0
2009-11-30,11.6900,11.6900,11.6900,11.6900,960250,23.3000,150000
2009-12-01,12.2400,12.2400,12.2400,12.2400,509260,24.4000,236763
2009-12-02,11.7900,12.7900,11.7900,12.1900,9790490,24.3000,100000
2009-12-03,12.2900,12.5400,12.0400,12.4900,4989260,24.9000,100000
2009-12-04,12.6400,12.6400,12.3900,12.4900,1836220,24.9000,0
2009-12-07,12.4900,12.4900,12.2900,12.3400,1524840,24.6000,0
2009-12-08,12.1400,12.2400,11.8900,11.9400,2401440,23.8000,52000
2009-12-09,11.5400,11.6400,11.3900,11.4900,3143570,22.9000,223640
2009-12-10,11.6900,11.6900,11.3400,11.4400,2183660,22.8000,0
2009-12-11,11.4400,11.4900,11.0900,11.0900,2898380,22.1000,0
2009-12-14,11.6400,11.6400,11.4400,11.6400,4458950,23.2000,539600
2009-12-15,11.9400,12.0900,11.6900,11.9400,2988620,23.8000,50000
2009-12-16,11.9400,11.9400,11.4400,11.4900,2577780,22.9000,20000
2009-12-17,11.4400,11.8400,11.2400,11.7900,2894350,23.5000,130000
2009-12-18,11.8400,12.1900,11.8400,11.9400,3820150,23.8000,21000
2009-12-21,12.0900,12.2400,11.9400,12.2400,3973490,24.4000,500000
2009-12-22,12.1900,12.2400,11.9400,12.0400,3874370,24.0000,354000
2009-12-23,12.0400,12.1400,11.8900,11.9900,3508950,23.9000,63700
2009-12-24,11.9400,12.1400,11.8900,12.0900,4181060,24.1000,21000
2009-12-25,12.3400,12.4400,12.1400,12.3900,3364470,24.7000,21000
2009-12-28,12.0900,12.3400,12.0900,12.1900,2973170,24.3000,345782
2009-12-29,12.0400,12.1900,11.9900,11.9900,2220070,23.9000,18037750
2009-12-30,12.0400,12.1900,11.9400,11.9900,1656460,23.9000,375000
2009-12-31,12.1400,12.1900,11.9900,12.0400,6441730,24.0000,180286
2010-01-04,12.0400,12.6400,12.0400,12.6500,3521350,25.2000,250000
2010-01-05,13.2000,13.2500,13.0000,13.1000,4561690,26.1000,0
2010-01-06,13.0500,13.0500,12.7500,12.8000,2756100,25.5000,120000
2010-01-07,12.8000,12.8500,12.5500,12.5500,2586670,25.0000,8100000
2010-01-08,12.9000,13.0000,12.4500,12.4400,3831940,24.8000,7405000
2010-01-11,12.4400,12.5400,12.2900,12.3900,1292100,24.7000,0
2010-01-12,12.2900,12.4400,11.8400,11.8400,1951010,23.6000,45000
2010-01-13,11.8400,12.0900,11.7400,11.9900,2102770,23.9000,29649
2010-01-14,12.0400,12.0900,11.8900,11.9400,1124370,23.8000,200000
2010-01-15,11.9400,12.0400,11.8400,11.9400,1396510,23.8000,0
2010-01-18,11.9400,11.9400,11.6900,11.6900,1991690,23.3000,0
2010-01-19,11.8400,11.9900,11.6900,11.8400,1376290,23.6000,86649
2010-01-20,11.9900,11.9900,11.7400,11.7900,1566410,23.5000,0
2010-01-21,11.6400,11.8400,11.6400,11.6400,1350830,23.2000,0
2010-01-22,11.4400,11.6900,11.4400,11.5400,1177140,23.0000,101513
2010-01-25,11.5400,11.5900,11.4900,11.5400,1593240,23.0000,0
2010-01-26,11.6900,12.0400,11.6900,12.0400,1772240,24.0000,100000
2010-01-27,11.6900,11.9400,11.6400,11.8900,1513870,23.7000,150000
2010-01-28,11.8900,11.8900,11.4900,11.5900,1362970,23.1000,0
2010-01-29,11.5400,11.6400,11.4900,11.5400,1339920,23.0000,100000
2010-02-01,11.5400,11.6400,11.5400,11.5400,1085620,23.0000,50000
2010-02-02,11.5900,11.6400,11.5400,11.5900,1423240,23.1000,0
2010-02-03,11.5400,11.6900,11.5400,11.5900,851530,23.1000,0
2010-02-04,11.5900,11.7400,11.5900,11.6400,614680,23.2000,0
2010-02-05,11.5400,11.6400,11.5400,11.5400,649670,23.0000,0
2010-02-08,11.4900,11.7900,11.4900,11.7400,992150,23.4000,1550000
2010-02-09,11.6400,11.7400,11.5900,11.5900,490930,23.1000,50000
2010-02-10,11.5400,11.7400,11.5400,11.5900,380180,23.1000,3000000
2010-02-11,11.5400,11.7900,11.5400,11.7900,345620,23.5000,0
2010-02-12,11.9400,11.9400,11.7900,11.8900,481470,23.7000,0
