date,open,high,low,close,volume,unadjusted,putthrough
2010-10-13,23.5400,23.5400,22.2600,23.5400,366930,55.0000,0
2010-10-14,23.5400,23.9700,23.3300,23.5400,102890,55.0000,0
2010-10-15,22.4700,23.5400,22.4700,22.4700,79650,52.5000,0
2010-10-18,22.4700,22.6800,21.6100,22.0400,67420,51.5000,0
2010-10-19,22.2500,22.9000,21.4000,22.2500,64120,52.0000,0
2010-10-20,21.2200,22.2500,21.2200,22.2500,11000,52.0000,0
2010-10-21,22.0400,22.2500,21.3900,22.2500,20500,52.0000,0
2010-10-22,22.2500,22.2500,22.0400,22.2500,26000,52.0000,0
2010-10-25,21.3900,22.2500,21.3900,22.2500,26200,52.0000,0
2010-10-26,22.2500,22.8900,22.0400,22.4700,17310,52.5000,0
2010-10-27,22.6800,22.9000,21.4000,22.4700,20750,52.5000,0
2010-10-28,21.6100,22.0400,21.3600,21.4000,16160,50.0000,0
2010-10-29,21.6100,21.8300,20.5400,21.8200,18000,51.0000,0
2010-11-01,22.2500,22.2500,21.8200,22.0400,710,51.5000,0
2010-11-02,22.0400,22.2500,20.9700,21.1800,5200,49.5000,0
2010-11-03,20.1500,21.8200,20.1500,21.4000,6680,50.0000,0
2010-11-04,20.3500,21.7900,20.3500,21.7900,9630,50.0000,0
2010-11-05,21.7900,21.7900,21.7900,21.7900,3000,50.0000,0
2010-11-08,21.7900,21.7900,21.1400,21.7900,29730,50.0000,0
2010-11-09,20.9200,21.7900,20.7000,21.7000,11060,49.8000,0
2010-11-10,21.7000,21.7000,20.6500,21.6600,3500,49.7000,0
2010-11-11,20.7400,21.5700,20.6600,21.5700,2310,49.5000,0
2010-11-12,20.5700,21.3100,20.5200,21.3100,6310,48.9000,0
2010-11-15,21.3100,21.3100,21.3100,21.3100,1000,48.9000,0
2010-11-16,21.2700,21.2700,20.3500,20.3500,3740,46.7000,0
2010-11-17,20.3500,21.3500,20.3500,20.9200,14590,48.0000,0
2010-11-18,21.3600,21.3600,20.9200,20.9200,1100,48.0000,0
2010-11-19,20.9200,20.9200,20.9200,20.9200,2100,48.0000,0
2010-11-22,20.7000,20.7000,20.7000,20.7000,2000,47.5000,0
2010-11-23,20.5700,20.9200,20.5700,20.8300,3600,47.8000,0
2010-11-24,20.8300,20.8300,20.8300,20.8300,200,47.8000,0
2010-11-25,20.8700,20.8700,20.7900,20.8300,3280,47.8000,0
2010-11-26,21.3500,21.3500,19.8300,20.8300,6420,47.8000,0
2010-11-29,19.8300,20.6600,19.8300,20.5700,4620,47.2000,100000
2010-11-30,21.3100,21.3100,20.4800,20.5700,12820,47.2000,0
2010-12-01,20.5300,20.5700,19.6100,20.4800,14600,47.0000,0
2010-12-02,20.0400,20.4800,20.0400,20.4800,26600,47.0000,0
2010-12-03,20.4800,21.4800,20.4800,21.3500,36300,49.0000,20000
2010-12-06,21.7900,21.7900,20.3000,21.5700,12700,49.5000,0
2010-12-07,21.4800,21.4800,20.5200,21.2200,46600,48.7000,0
2010-12-08,20.6100,20.7000,20.6100,20.7000,18690,47.5000,0
2010-12-09,19.7000,21.4800,19.7000,21.4000,6530,49.1000,0
2010-12-10,20.4800,21.5300,20.4800,21.3500,70010,49.0000,0
2010-12-13,21.3900,21.3900,21.3500,21.3500,96000,49.0000,0
2010-12-14,21.3100,21.3500,20.3000,21.3500,49060,49.0000,0
2010-12-15,21.3500,21.3500,20.4800,20.4800,99100,47.0000,0
2010-12-16,20.4800,21.3500,19.4800,21.3500,237200,49.0000,0
2010-12-17,21.3500,21.3900,20.4800,21.4000,134500,49.1000,0
2010-12-20,21.0900,21.7900,20.8300,21.3500,109500,49.0000,0
2010-12-21,21.3500,21.3500,20.8300,21.2600,230970,48.8000,0
2010-12-22,21.3500,21.3500,20.7400,21.0900,152630,48.4000,0
2010-12-23,21.7000,21.7000,20.1300,20.4800,150740,47.0000,0
2010-12-24,19.7000,20.5200,19.7000,20.4400,92000,46.9000,0
2010-12-27,21.0900,21.0900,20.4000,20.6500,93000,47.4000,0
2010-12-28,20.6500,20.8200,19.6500,19.7800,145870,45.4000,0
2010-12-29,19.2100,20.0400,18.9500,20.0400,129100,46.0000,0
2010-12-30,19.6000,19.6000,19.0400,19.0900,162090,43.8000,0
2010-12-31,19.1300,20.0100,19.1300,20.0000,61080,45.9000,0
2011-01-04,19.9600,20.9600,19.9600,20.9600,74550,48.1000,0
2011-01-05,21.2700,21.3100,20.9200,20.9200,56050,48.0000,0
2011-01-06,20.4800,20.9200,19.8700,19.8700,108300,45.6000,0
2011-01-07,19.6100,19.8700,18.9100,19.0000,113030,43.6000,0
2011-01-10,18.6500,19.1700,18.5600,19.0400,48200,43.7000,0
2011-01-11,19.0400,19.3900,18.3900,19.1700,58900,44.0000,0
2011-01-12,18.7300,19.3900,18.7300,19.0400,65330,43.7000,0
2011-01-13,19.0400,19.6100,19.0400,19.6100,55380,45.0000,0
2011-01-14,19.6100,19.8300,19.3900,19.7400,43120,45.3000,0
2011-01-17,18.8200,20.4400,18.7800,19.7000,46300,45.2000,0
2011-01-18,19.1800,19.8300,18.9600,19.1700,75170,44.0000,0
2011-01-19,19.1700,19.3900,19.1700,19.3900,61200,44.5000,0
2011-01-20,19.1700,19.4300,19.1700,19.4300,82530,44.6000,0
2011-01-21,19.4300,19.4700,19.1700,19.4800,135030,44.7000,0
2011-01-24,19.1700,19.3500,19.1700,19.1700,60730,44.0000,0
2011-01-25,18.9500,19.5200,18.9500,19.0900,30350,43.8000,0
2011-01-26,18.8300,19.3100,18.7800,19.1700,46100,44.0000,0
2011-01-27,19.6100,19.6100,19.1700,19.3900,34000,44.5000,0
2011-01-28,19.3900,20.3500,19.3900,20.0400,102660,46.0000,0
2011-02-08,20.8700,20.8700,20.0400,20.4800,39850,47.0000,0
2011-02-09,20.4800,20.4800,20.4800,20.4800,44550,47.0000,0
2011-02-10,20.0400,20.0400,19.7000,19.7000,29240,45.2000,0
2011-02-11,20.0500,20.3500,20.0500,20.3500,112480,46.7000,0
2011-02-14,20.3500,20.4400,20.0400,20.3500,30140,46.7000,0
2011-02-15,20.3900,20.3900,20.0400,20.0400,25300,46.0000,0
2011-02-16,20.2100,20.2600,20.0800,20.2200,52710,46.4000,0
2011-02-17,20.3500,20.3500,20.0500,20.2200,75610,46.4000,0
2011-02-18,20.0000,20.2600,19.9600,20.2600,28700,46.5000,0
2011-02-21,19.3000,19.8200,19.2600,19.2600,22390,44.2000,0
2011-02-22,18.5200,18.7400,18.3000,18.5600,56910,42.6000,0
2011-02-23,19.3900,19.3900,18.7300,18.7400,17770,43.0000,0
2011-02-24,18.5700,18.5700,18.3000,18.3000,37280,42.0000,0
2011-02-25,18.3000,18.5200,18.0800,18.5200,37550,42.5000,0
2011-02-28,18.5200,18.5200,18.3000,18.3900,14590,42.2000,0
2011-03-01,17.8700,18.3900,17.8700,18.3900,21010,42.2000,0
2011-03-02,18.2600,18.2600,17.4700,17.4700,17380,40.1000,0
2011-03-03,17.6400,17.8600,17.4300,17.4300,86950,40.0000,0
2011-03-04,17.4300,17.4700,17.4300,17.4300,93750,40.0000,0
2011-03-07,16.9900,17.4300,16.9900,17.4300,37500,40.0000,0
2011-03-08,16.9900,17.4300,16.9900,17.4300,5080,40.0000,0
2011-03-09,17.3900,17.3900,17.3400,17.3400,18500,39.8000,655000
2011-03-10,17.3800,17.4300,17.2500,17.3400,49270,39.8000,0
2011-03-11,17.4300,17.4300,17.3000,17.3400,35850,39.8000,0
2011-03-14,17.4300,17.4300,16.9900,17.3400,19390,39.8000,0
2011-03-15,17.3400,17.3400,17.1200,17.1200,24300,39.3000,0
2011-03-16,16.7700,17.0800,16.7700,17.0800,22450,39.2000,0
2011-03-17,17.2500,17.2500,16.2500,17.0800,24600,39.2000,0
2011-03-18,17.0400,17.0400,16.9100,16.9500,21600,38.9000,0
2011-03-21,16.9100,16.9500,16.5100,16.9500,54530,38.9000,0
2011-03-22,16.9100,16.9100,16.3400,16.5600,30050,38.0000,0
2011-03-23,16.9500,16.9500,16.1200,16.5600,36680,38.0000,0
2011-03-24,16.5200,16.5200,16.1200,16.3400,18930,37.5000,0
2011-03-25,16.1200,16.1200,15.6900,15.7700,21500,36.2000,0
2011-03-28,16.1200,16.5100,15.4700,15.8200,54810,36.3000,0
2011-03-29,15.7300,16.3400,15.0800,16.3400,38860,37.5000,0
2011-03-30,16.4300,16.4300,15.6000,15.6900,35010,36.0000,0
2011-03-31,16.1300,16.1300,15.6900,15.6900,69440,36.0000,0
2011-04-01,16.0400,16.0400,14.9100,14.9000,64920,34.2000,0
2011-04-04,14.9000,15.6400,14.9000,15.6400,98840,35.9000,0
2011-04-05,16.2100,16.2100,15.1600,15.8200,152210,36.3000,0
2011-04-06,15.2500,16.6000,15.2500,16.6000,130410,38.1000,0
2011-04-07,16.1200,16.4300,16.1200,16.3000,87200,37.4000,0
2011-04-08,15.5200,16.4300,15.5200,16.4300,68340,37.7000,0
2011-04-13,16.3900,16.8700,15.9100,16.8600,92050,38.7000,0
2011-04-14,16.3800,16.5600,16.3400,16.5600,84210,38.0000,0
2011-04-15,17.1700,17.1700,16.0800,16.0800,74260,36.9000,0
2011-04-18,15.4700,16.0800,15.4700,16.0800,5348,36.9000,0
2011-04-19,15.6900,16.1200,15.6900,16.0800,106000,36.9000,0
2011-04-20,15.8600,16.1200,15.8600,16.0800,114250,36.9000,0
2011-04-21,15.9500,16.0400,15.3800,15.3800,76000,35.3000,0
2011-04-22,15.4700,15.9900,15.4700,15.9900,60330,36.7000,0
2011-04-25,15.9000,16.0300,15.3800,16.0400,69900,36.8000,0
2011-04-26,15.7300,16.3000,15.7300,16.0800,74120,36.9000,0
2011-04-27,16.7600,16.7600,15.9000,16.1200,78230,35.5000,0
2011-04-28,16.1700,16.1700,15.3500,16.1700,176530,35.6000,0
2011-04-29,16.1700,16.1700,15.5300,15.5300,45890,34.2000,0
2011-05-04,15.8500,15.8500,15.6700,15.6700,41000,34.5000,0
2011-05-05,15.7200,15.7200,14.9900,15.5800,43320,34.3000,0
2011-05-06,15.4400,15.4400,14.9900,14.9900,47770,33.0000,0
2011-05-09,15.4000,15.4000,15.1700,15.3100,57090,33.7000,0
2011-05-10,15.3100,15.3100,15.2600,15.2600,43320,33.6000,0
2011-05-11,14.5800,15.3100,14.5800,14.8100,42000,32.6000,0
2011-05-12,14.6700,14.9000,14.6700,14.9000,49370,32.8000,0
2011-05-13,14.9000,14.9000,14.7600,14.8500,65080,32.7000,0
2011-05-16,14.7100,14.7600,14.1200,14.1300,51390,31.1000,0
2011-05-17,14.2200,14.3600,14.2200,14.2600,31530,31.4000,0
2011-05-18,14.3100,14.5300,13.7200,14.5400,55630,32.0000,0
2011-05-19,14.5900,14.9900,14.5900,14.9000,56520,32.8000,0
2011-05-20,14.7600,14.7600,14.1700,14.1700,116260,31.2000,0
2011-05-23,14.2200,14.5300,13.4900,14.1300,51890,31.1000,0
2011-05-24,14.1300,14.3100,13.4500,13.4500,91020,29.6000,0
2011-05-25,12.8100,13.6300,12.8100,12.8100,46500,28.2000,0
2011-05-26,12.8100,13.0800,12.1700,13.0800,55300,28.8000,0
2011-05-27,13.0800,13.1300,12.7200,13.1300,36420,28.9000,0
2011-05-30,12.4900,13.0800,12.4900,12.7600,65300,28.1000,0
2011-05-31,12.2600,12.7100,12.2600,12.4500,44440,27.4000,0
2011-06-01,12.7200,12.9500,12.5000,12.9000,27330,28.4000,0
2011-06-02,12.9500,13.3500,12.9000,13.3100,35440,29.3000,0
2011-06-03,13.3600,13.4000,13.0400,13.0400,25020,28.7000,0
2011-06-06,13.0400,13.1800,12.4000,12.4000,61880,27.3000,0
2011-06-07,12.9500,12.9900,12.8100,12.8500,44180,28.3000,0
2011-06-08,12.9400,12.9400,12.7100,12.9500,38700,28.5000,0
2011-06-09,12.9500,13.5400,12.9500,13.5400,40820,29.8000,0
2011-06-10,13.8600,13.8600,13.6300,13.8500,44400,30.5000,0
2011-06-13,13.8500,13.8500,13.6200,13.6300,44310,30.0000,0
2011-06-14,13.1800,13.6800,13.1800,13.5400,44650,29.8000,0
2011-06-15,13.6300,13.6300,13.3600,13.3500,37100,29.4000,0
2011-06-16,13.2100,13.3500,13.1700,13.3100,51020,29.3000,0
2011-06-17,13.6300,13.7200,13.1700,13.1700,43170,29.0000,0
2011-06-20,13.2600,13.4400,13.2600,13.4000,35300,29.5000,0
2011-06-21,13.6300,13.6300,13.4900,13.4900,56700,29.7000,0
2011-06-22,13.6300,13.6300,13.1700,13.3500,49600,29.4000,0
2011-06-23,13.3500,13.3500,13.1700,13.3100,40910,29.3000,0
2011-06-24,13.9500,13.9500,13.1700,13.1700,27640,29.0000,0
2011-06-27,13.2200,13.3100,13.1700,13.1700,44430,29.0000,0
2011-06-28,13.1700,13.2600,13.1700,13.1700,44600,29.0000,0
2011-06-29,13.6200,13.6200,13.1700,13.1700,48000,29.0000,0
2011-06-30,13.4900,13.4900,13.1700,13.4900,35420,29.7000,0
2011-07-01,13.4900,13.4900,12.9000,13.1700,31500,29.0000,0
2011-07-04,13.3100,13.3100,13.0800,13.1700,34870,29.0000,0
2011-07-05,13.2600,13.3500,13.1700,13.3500,35100,29.4000,0
2011-07-06,13.3500,13.4000,13.1700,13.1700,37180,29.0000,0
2011-07-07,13.3100,13.3100,13.1700,13.1700,27020,29.0000,0
2011-07-08,13.2600,13.2600,13.1700,13.1700,25310,29.0000,0
2011-07-11,13.2600,13.4000,13.2200,13.3100,21110,29.3000,0
2011-07-12,13.3100,13.5400,13.3100,13.4000,16520,29.5000,0
2011-07-13,13.4000,13.4500,13.4000,13.4500,13000,29.6000,0
2011-07-14,13.4000,13.4500,13.4000,13.4000,19700,29.5000,1386060
