date,open,high,low,close,volume,unadjusted,putthrough
2012-07-24,5.6900,5.9300,5.6900,5.6900,239650,19.2000,0
2012-07-25,5.4200,5.4200,5.4200,5.4200,10970,18.3000,0
2012-07-26,5.4200,5.4200,5.1500,5.1900,159640,17.5000,0
2012-07-27,5.2800,5.2800,4.9800,4.9800,120970,16.8000,0
2012-07-30,4.9800,5.2200,4.9500,5.2200,172060,17.6000,0
2012-07-31,5.4600,5.4600,5.1900,5.2500,339380,17.7000,0
2012-08-01,5.2500,5.3700,5.1600,5.2800,39910,17.8000,0
2012-08-02,5.3400,5.3400,5.2200,5.2200,26710,17.6000,0
2012-08-03,5.2800,5.3400,5.2200,5.3400,24420,18.0000,0
2012-08-06,5.4000,5.4600,5.2800,5.3400,124650,18.0000,0
2012-08-07,5.3400,5.3700,5.1900,5.1900,125880,17.5000,0
2012-08-08,5.3100,5.3100,5.1600,5.2200,27100,17.6000,482000
2012-08-09,5.1300,5.2800,5.1300,5.2800,68540,17.8000,68180
2012-08-10,5.2800,5.2800,5.1900,5.2200,101720,17.6000,50000
2012-08-13,5.2800,5.4600,5.2800,5.4500,435250,18.4000,80000
2012-08-14,5.4800,5.7200,5.4800,5.7200,311940,19.3000,100850
2012-08-15,5.9000,5.9000,5.5700,5.6300,82540,19.0000,80000
2012-08-16,5.6300,5.7800,5.6000,5.6300,64250,19.0000,0
2012-08-17,5.6300,5.9000,5.6300,5.9000,310560,19.9000,0
2012-08-20,5.9600,6.1700,5.9600,6.1700,358040,20.8000,260000
2012-08-21,5.8700,6.1700,5.8700,5.8700,444030,19.8000,0
2012-08-22,5.6000,5.8400,5.6000,5.6000,453090,18.9000,0
2012-08-23,5.3600,5.3600,5.3300,5.3400,99190,18.0000,0
2012-08-24,5.0700,5.5800,5.0700,5.2800,503710,17.8000,0
2012-08-27,5.1900,5.1900,5.0400,5.0400,138630,17.0000,0
2012-08-28,4.9800,5.1600,4.8300,5.1600,116180,17.4000,0
2012-08-29,5.3100,5.4000,5.3100,5.4000,139960,18.2000,0
2012-08-30,5.4000,5.6100,5.3700,5.3700,221560,18.1000,0
2012-08-31,5.4600,5.4600,5.2800,5.3400,89890,18.0000,20000
2012-09-04,5.4300,5.5200,5.4000,5.4200,27370,18.3000,0
2012-09-05,5.4500,5.4800,5.2400,5.2500,91220,17.7000,0
2012-09-06,5.1000,5.2800,5.1000,5.1900,55650,17.5000,0
2012-09-07,5.1900,5.2200,5.1000,5.1900,90780,17.5000,0
2012-09-10,5.1900,5.1900,4.9500,4.9500,251110,16.7000,0
2012-09-11,4.9800,5.1000,4.9500,5.1000,35290,17.2000,0
2012-09-12,5.1000,5.1900,5.1000,5.1000,27320,17.2000,0
2012-09-13,5.1300,5.1900,5.0700,5.1600,26650,17.4000,0
2012-09-14,5.2500,5.4000,5.1900,5.4000,191670,18.2000,0
2012-09-17,5.4600,5.4600,5.2800,5.2800,42850,17.8000,0
2012-09-18,5.2800,5.3400,5.1000,5.3400,78310,18.0000,0
2012-09-19,5.3100,5.3100,5.1300,5.1300,34090,17.3000,0
