Year,Quarter,A. Current Assets,I. Cash and cash equivalents,1. Cash,2. Cash equivalents,II. Net Value Short-term investments,1. Short-term investments,2. Provisions for impairments of short-term investments,III. Accounts receivable,1. Trade accounts receivable,2. Prepayments to suppliers,3. Intercompany receivables,4. Construction contract in progress receivables,5. Other receivables,6. Provision for doubtful debts,"IV. Inventories,net",1. Inventories,2. Provision for decline in inventories,V. Other current assets,1. Short-term prepayments,2. VAT to be claimed,3. Other taxes receivable,4. Other current assets,B. Long-Term Assets,I. Long-term trade receivables,1. Long-term customer receivables,2. Long-term intercompany receivables,3. Other long-term receivables,4. Provision for doubtful LT receivable,II. Fixed Assets,1. Tangible fixed assets Accumulated depreciation,Cost,Accumulated depreciation,2. Finance lease assets,Cost,Accumulated depreciation,3. Intangible fixed assets,Cost,Accumulated depreciation,4. Construction in progress,III. Net Investment properties,1. Cost,2. Accumulated depreciation,IV. Long-term investments,1. Investments in subsidiaries,2. Investments in associates,3. Other long-term investments,4. Provision for diminuation in value of long-term investments,V. Other long-term assets,1. Long-term prepayments,2. Deferred income tax assets,3. Other long-term assets,VI. Commercial advantage, Total Assets,A. Liabilites,I. Current liabilities,1. Short-term borrowings,2. Short-term trade payables,3. Advances from customer,4. Taxes and liabilities to State budget,5. Payable to employees,6. Accrued expenses,7. Intercompany payables,8. Construction contract in progress payables,9. Other payables,10. Provision for ST liabilities,II. Long-term liabilities,1. Long-term trade payables,2. Long-term intercompany payables,3. Other long-term payables,4. Long-term borrowings,5. Deferred income tax liabilities,6. Provision for severance allowances,7. Provision for long-term liabilities,B. Owner's equity,I. Capital and researves,1. Paid-in capital,2. Share premium,3. Owner's other capital,4. Treasury shares,5. Differences upon asset revaluation,6. Foreign exchange differences,7. Investment and development funds,8. Financial researve funds,9. Other funds in owners' equity,10. Undistributed earnings,II. Budget sources and other funds,1. Bonus and welfare funds,2. Budget sources,C. Minority Interests,Total Resources
2009,0,18864871699,114871699,114871699,0,0,0,0,9250000000,0,9250000000,0,0,0,0,0,0,0,9500000000,0,0,0,9500000000,86000879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000879,86000879,0,0,0,18950872578,172923403,172923403,0,0,0,172923403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18777949175,18777949175,18000000000,0,0,0,0,0,0,0,0,777949175,0,0,0,0,18950872578
2010,0,176777992400,4355914330,4355914330,0,148018000000,148020480000,-2480000,17096302315,10559713982,154455000,0,0,6382133333,0,352468928,352468928,0,6955306827,663059437,1331724553,0,4960522837,59056572286,3580649191,0,0,3580649191,0,18764716708,12818189265,14340588058,-1522398793,0,0,0,0,0,0,5946527443,0,0,0,0,0,0,0,0,1726030340,1522532828,0,203497512,34985176047,235834564686,15391061860,15391061860,908886510,1437634100,49818974,2820163645,1890806729,7415300,0,0,8203941684,0,0,0,0,0,0,0,0,0,219520996753,219520996753,170000000000,42000000000,0,0,0,0,77794918,0,38897459,7404304376,0,0,0,922506073,235834564686
2011,0,227524152230,634156486,634156486,0,139940002000,139940002000,0,73395737619,63876304736,4768942490,0,0,4750490393,0,2047117570,2047117570,0,11507138555,534705795,2089864495,0,8882568265,223705180016,0,0,0,0,0,28024536875,25565125308,29599676959,-4034551651,0,0,0,0,0,0,2459411567,0,0,0,159272831926,0,159272831926,0,0,3613848684,3410351172,0,203497512,32793962531,451229332246,225939971481,224102765706,135142000000,64896414145,538544304,5587691715,1016080604,145442908,0,0,16309150180,0,1837205775,0,0,0,1508000000,0,329205775,0,221375356103,221375356103,170000000000,42000000000,1243883693,0,0,0,4339235151,1280353399,368103234,2143780626,0,0,0,3914004662,451229332246
2012,0,1277127194181,6591266338,6591266338,0,708892490000,709992490000,-1100000000,542689472810,455616927368,86809156324,0,0,263389118,0,2210936480,2210936480,0,16743028553,736370718,1566661353,0,14439996482,846525381211,0,0,0,0,0,306068912628,17202110115,22776149234,-5574039119,0,0,0,75742178933,75742178933,0,213124623580,373757641233,373757641233,0,147725898358,0,147725898358,0,0,14131407429,4065939284,9657528145,407940000,4841521563,2123652575392,918477618064,728814326388,191940297825,456725114278,437405085,49263933636,1504561068,583780000,0,0,27720000371,0,189663291676,0,0,530000000,103568787330,0,0,0,1199125671482,1199125671482,771800000000,413745800523,0,0,0,0,4028264228,658411551,368103234,8525091946,0,0,0,6049285846,2123652575392
2013,0,987621072712,12942080455,12442080455,500000000,349962677900,349962677900,0,513881999512,428964496957,57537900404,0,0,27525805863,-146203712,92083462034,92083462034,0,18750852811,7030439837,2368780798,1067363,9350564813,1113240412920,0,0,0,0,0,269071863899,127455828529,142118229222,-14662400693,0,0,0,91550455390,91550455390,0,50065579980,373757641233,373757641233,0,447554476184,0,442054476184,5500000000,0,18529677965,7176787603,10944950362,407940000,4326753639,2100861485632,836581182276,709131626536,115392186085,381435356623,5727781772,80318000885,2173325173,57312569538,0,0,65681939980,0,127449555740,0,0,960000000,58319933322,0,0,0,1258176265738,1258176265738,771800000000,413961378437,0,0,0,0,6415289973,1510920746,709106912,63779569670,0,0,0,6104037618,2100861485632
2014,0,3589787525097,563859148199,286359148199,277500000000,0,0,0,2954764771066,444823019406,634954186866,0,0,1875432461868,-444897074,43286057749,43286057749,0,27877548083,4543760204,23333787879,0,0,1813764450284,67942495200,0,0,67942495200,0,139485729672,36117338739,49584162574,-13466823835,0,0,0,103368390933,105868390933,-2500000000,0,373757641233,373757641233,0,543658360296,0,460192426230,83465934066,0,222994777452,12468449108,137916295,0,0,5403551975381,1487847367158,594324835302,6816750000,215249390832,585022170,138106629670,3033949179,32834860621,0,0,192188488385,0,893522531856,0,0,2726000000,47399100000,0,0,0,3915704608223,3915704608223,3148938820000,413711378437,0,0,0,0,7926210719,0,709106912,343299749950,0,0,0,0,5403551975381
2015,0,4622220420090,163218530205,28775760205,134442770000,0,0,0,3671494351441,1168176613008,894641452058,0,0,1609223283449,-546997074,620122747252,620122747252,0,167384791192,32070169390,134370552777,944069025,0,5192592824831,67066760000,0,0,67066760000,0,2587505290887,2483924187954,2528706399042,-44782211088,0,0,0,103581102933,106081102933,-2500000000,0,646156895995,653793041233,-7636145238,585375618910,0,208675618910,376700000000,0,220260738024,30428020631,765015123,0,0,9814813244921,3583702128820,2379130264634,259730500711,780096277608,179150192090,352630294690,14996297706,371156763998,0,0,420312538651,0,1204571864186,0,0,2666000000,1142477056887,5510042597,0,0,6231111116101,6231111116101,5298715330000,23967378437,0,0,0,0,7344810719,0,118623112,899157812604,0,0,0,0,9814813244921
2016,0,9125476202221,660584242265,502729505098,157854737167,282200000000,282200000000,0,6718671259434,588101984530,2054475151771,0,0,385867225377,-4809915461,1239419269461,1239520765310,-101495849,224601431061,24074050980,200370302045,157078036,0,8772696293783,838764715068,0,0,5714715068,0,3322010527811,3292794907284,3387953849945,-95158942661,0,0,0,29215620527,31919863693,-2704243166,0,1406440389915,1449690333979,-43249944064,468808528258,0,44085528258,433923000000,-9200000000,388401500262,156701322749,6438364346,0,0,17898172496004,9509689312317,6198303160463,491080333460,907941251831,949238489474,315316203385,33367843532,1506574645129,0,0,1969240029145,0,3311386151854,0,0,86937072785,3128530518657,7041676286,0,0,8388483183687,8388483183687,6380387370000,0,0,0,0,0,97260591979,0,118623112,1797592369009,0,0,0,0,17898172496004
2017,0,12764600168714,465835197829,96573606747,369261591082,276200000000,276200000000,0,10538143838532,2705737419654,1576571430190,0,0,446302028214,-5112340692,1252470388732,1252949987284,-479598552,231950743621,139626995997,92270468940,53278684,0,10030568219340,630576950010,0,0,15767110010,0,2939381147761,2889678613270,3531669308939,-641990695669,47851477587,69915071395,-22063593808,1851056904,4689099130,-2838042226,0,629101437358,2893226733888,-2264125296530,1300260781769,0,893934381769,506309864679,-99983464679,630231932290,475134866887,8670782689,0,0,22795168388054,14272195661245,11489659368004,1580247054479,1357031854415,1901589955447,289389156166,32157587605,1507458122433,0,0,4750684830858,0,2782536293241,0,0,8753493405,2752413194777,763544452,0,0,8522972726809,8522972726809,6380387370000,0,0,0,0,0,250512886410,0,118623112,1796861468716,0,0,0,0,22795168388054
2018,0,15644004854805,334136492896,317803965019,16332527877,278850000000,279954649646,-1104649646,12712987550312,4175797828889,1486750434620,0,0,2159707518607,-6032615880,1773020251938,1773020251938,0,545010559659,494216455238,46995715463,3798388958,0,10245284641054,830930876857,0,0,642020876857,0,2995858024679,2935585215301,3671228297461,-735643082160,57873012583,87649186019,-29776173436,2399796795,6031049130,-3631252335,0,958752044897,3759050030564,-2800297985667,965770589026,0,340377681907,833257921798,-207865014679,734655213226,601317107985,8232532305,0,0,25889289495859,16870601303917,13307129869079,1734785902195,1955915565640,3374293383559,340817078472,73442287506,1778903049552,0,0,3943719763818,0,3563471434838,0,0,1500000000,3377649615683,5164064453,0,0,9018688191942,9018688191942,7099978070000,0,0,0,0,0,288244783273,0,118623112,1541915113897,0,0,0,0,25889289495859
