disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2011-09-26,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2011-10-05,,,Giá tham chiếu 12.500đ/cp,,,,
2011-10-19,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2011-10-25,,,Số lượng 7.000.000 cp,,,,
2011-10-21,investorRight,MEETING,Họp cổ đông,2011-10-31,2011-11-23,2011-11-23,ĐHĐCĐ thường niên năm 2011,,,,
2012-01-17,investorRight,MEETING,Họp cổ đông,2012-01-20,2012-02-15,2012-02-15,ĐHĐCĐ thường niên năm 2012,,,,
2012-01-17,investorRight,DIVIDEND,Cổ tức bằng tiền,2012-01-20,2012-03-26,2012-03-26,Trả cổ tức năm 2011 (700 đ/cp),700,7,,2011
2012-07-04,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2012-07-11,,,Số lượng 60.180.000 cp,,,,
2012-07-24,investorRight,ADPAYDATE,Thay đổi ngày trả cổ tức,2012-01-20,2012-04-26,2012-04-26,Cổ tức 700đ. Thay đổi ngày TT 26/3/2012 sang 26/04/2012,,,,
2013-04-03,investorRight,MEETING,Họp cổ đông,2013-04-08,,,ĐHĐCĐ thường niên năm 2013,,,,
2013-07-02,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-07-10,2013-11-29,2013-11-29,Trả cổ tức năm 2013 (500 đ/cp),500,5,,2013
2013-07-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-07-12,2013-09-30,2013-09-30,Tạm ứng cổ tức bằng tiền 2013 (500đ/cp),500,5,,2013
2013-07-24,stockAlert,delistedHnx,Hủy niêm yết trên HNX,2013-07-30,,,Chuyển sang niêm yết sàn HOSE,,,,
2013-07-29,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2013-08-06,,,Giá tham chiếu 5.500đ/cp,,,,
2013-08-13,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2014-08-29,,,Số lượng 6.173.882 cổ phiếu,,,,
2013-09-27,investorRight,ADPAYDATE,Thay đổi thời gian trả cổ tức,2013-07-12,2013-11-29,2013-11-29,Thay đổi thời gian trả cổ tức từ 30/09/2013 đến 29/11/2013,500,,,
2014-01-27,investorRight,ISSUE,Phát hành thêm,2014-02-14,2014-03-27,,"Tỷ lệ 100:100, giá 10000 đ/cp",,100,,
2014-03-05,investorRight,POLL,Lấy ý kiến cổ đông,2014-03-11,,,Vv phát hành trái phiếu chuyển đổi cho các nhà đầu tư có nhu cầu,,,,
