Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2009,4,279529696430,0,279529696430,-259572453494,19957242936,21099801384,-14796590108,-9364431019,-9891693256,-4912201347,11456559609,4511000,0,4511000,0,11461070609,-105472835,0,-105472835,11355597774,0,11355597774,1577,0
2010,1,177718395296,0,177718395296,-166556083003,11162312293,8130829817,-7707097950,-7351805180,-6160344722,-3439671088,1986028350,478289000,0,478289000,0,2464317350,-38243740,0,-38243740,2426073610,0,2426073610,337,0
2010,2,210135830012,0,210135830012,-200535933645,9599896367,319719655,-2514195508,-1705119085,-6698642532,-3582263805,-2875485823,658976436,-102397701,556578735,0,-2318907088,0,0,0,-2318907088,0,-2318907088,-322,0
2010,3,573261749213,0,573261749213,-542150474236,31111274977,1080105823,-8191656191,-3827346171,-15036663162,-3190361304,5772700143,639178000,-499145328,140032672,0,5912732815,-50771159,0,-50771159,5861961656,0,5861961656,812,0
2010,4,516159024784,0,516159024784,-467110772187,49048252597,8803312721,-8241545250,-7525854917,-15797041421,-14565586477,19247392170,383034727,-112593049,270441678,0,19517833848,-182422887,0,-182422887,19335410961,0,19335410961,2679,0
2011,1,299077599128,0,299077599128,-289813826298,9263772830,18666710248,-9049857325,-8600251809,-11024031963,-3807753101,4048840689,42730636,0,42730636,0,4091571325,-43888239,0,-43888239,4047683086,0,4047683086,560,0
2011,2,387776400367,0,387776400367,-367240164631,20536235736,6653960257,-8143605624,-7304532681,-13742604136,-4301321690,1002664543,1500419,0,1500419,0,1004164962,-8466616,0,-8466616,995698346,0,995698346,138,0
2011,3,620394001407,0,620394001407,-590063092878,30330908529,5947018566,-11347513947,-9156584767,-16250706918,-4469619967,4210086263,2414314,-2500000,-85686,0,4210000577,-34160997,0,-34160997,4175839580,0,4175839580,578,0
2011,4,610972158562,0,610972158562,-554321764899,56650393663,4667941987,-14121382101,-11035668923,-18041664145,-11406662427,17748626977,721744723,-15000000,706744723,0,18455371700,-88051806,0,-88051806,18367319894,0,18367319894,2543,0
2012,1,370522935625,0,370522935625,-352042149619,18480786006,1621010703,-14268966587,-12752025589,-10713016294,-5581538516,-10461724688,6188473,0,6188473,0,-10455536215,0,0,0,-10455536215,0,-10455536215,-1448,0
