Year,Quarter,1. Net profit/(loss) before tax,2. Accumulated depreciation,3. Provisions,4. Unrealised foreign exchange gain/loss,5. (Profit)/loss from liquidation of fixed assets,6. Profits/losses from investments,7. Interest expense,8. Interest income and dividend,9. Operating profit/(loss) before changes in WC,10. (Increase)/decrease in receivables,11. (Increase)/decrease in inventories,12. Increase/(decrease) in payables,13. (Increase)/decrease in prepaid expenses,14. Interest paid,15. Business Income Tax Paid,16. Other receipts from operating activities,17. Cash for other business activities,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments","4. Collection of loans, proceeds from sales of debts instruments",5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2007,0,5430401421614,688736123965,5911570540,3884675,0,-285103560226,108997646988,0,5948947087556,1658809602503,-26668340760,-3983764550043,-108750137463,-108997646988,-1108595322015,8059710763,-25968339798,2253072063755,-1027491474128,0,-100000000000,0,-422420500000,16730125215,292102004684,-1241079844229,196629690997,0,844012934641,-404106321362,0,0,0,636536304276,1648528523802,1907659336810,0,3556187860612
2008,0,5273184397813,621405193128,241289743978,93859106799,0,-377733936729,76976777170,0,5928981282159,-713522533313,-38560175005,-2644579272388,102369913105,-76976777170,-1113353051383,0,-31017554265,1413341831740,-1323000752483,0,0,5000000000,-245622261560,44683879827,347360632529,-1171578501687,176198623391,0,668071143606,-474508805295,0,0,0,369760961702,611524291755,3556187860612,24600467896,4192312620263
2009,0,3934064835860,937425629833,41610810192,299873677886,0,-418145019611,239508148625,0,5034338082785,-1475051944555,-866451528343,3376430073221,-675873597982,-131287639197,-1106435319100,46310560543,-2416583399001,1785395288371,-2223084667795,28482709640,-32600000000,137177867067,-279626300640,187020109974,423894660080,-1758735621674,23803561429,0,552952984688,-350565739530,-287256000,-2365687591554,0,-2139784040967,-2113124374270,4401002291800,-6392244088,2281485673442
2010,0,5725666915897,1734004329585,17300074479,280517297371,0,-594212732078,286160142607,0,7449436027861,-3137418026067,249706985736,3841314505165,-215214089933,-250336602265,-692967021571,77308776000,-87717444689,7234113110237,-4203527550485,3116696463,-4113067180000,4307394500583,-313975518713,261732326603,515640326257,-3542686399292,0,0,3738675625675,-3389011330044,-1363685469,-1400369267196,0,-1052068657034,2639358053911,2281485673442,6323781144,4927167508497
2011,0,7685698567874,2798656500751,72119982228,543234837703,0,-1226713315909,795580913288,0,10668577485935,1314786561964,-166744194873,-818000681519,455028257928,-507098901033,-1038210312525,213502324383,-324922805167,9796917735093,-5154669623329,16225586608,-1768111030057,3266051386124,-276097502000,179347745000,799032796800,-2938220640854,0,0,7574198062749,-4839431427553,-35841449861,-4441026146645,0,-1742100961310,5116596132929,4927167508497,1436566592,10045200208018
2012,0,12350301544544,3088796474370,102223792403,-5685400262,0,-1067698147746,449624014624,0,14917562277933,1479228476613,-581402364408,-2553346982591,1081050011962,-529185270206,-1981984302115,37810180213,-331728721290,11538003306111,-2414704980096,20531843742,-176151837380,544081695453,0,0,1120730933458,-905512344823,0,0,2337623086925,-4183039332825,-40014456444,-6043425480000,0,-7928856182344,2703634778944,10045200208018,4249531928,12753084518890
2013,0,15582755695440,3338271404708,47501243891,12343823954,0,-1159756676572,420450207908,0,18241565699329,-548535666065,-853300204218,518796365795,919153794756,-449960870727,-3003609993823,54646353189,-294120152649,14584635325587,-2370691165930,962732491,-753283158412,406800000000,0,0,1110891885615,-1605319706236,0,0,5609612470569,-7315593730885,-29653684508,-5703802624545,0,-7439437569369,5539878049982,12753084518890,35284913,18292997853785
2014,0,17979330883171,3467376276521,370737700282,64849496291,0,-1122148503636,365715353306,0,21125861205935,926525991768,615096329725,-2807726103949,530232154562,-379776463577,-2980914126718,0,-327849789135,16701449198611,-2859942028772,9208786216,-549700000000,28100000000,0,0,1112482063829,-2259851178727,0,0,6243748745580,-6140037307744,-52751025649,-8123284760000,-582827540832,-8655151888645,5786446131239,18292997853785,561622920,24080005607944
2015,0,11198634580207,3108201526816,8532955939,149040082301,0,-841394917756,192515313041,0,13815529540548,-2943962913441,631746424068,1457276523587,129603673,-183332908994,-3330895941032,0,-319618216109,9126872112300,-4737118637350,1930299272,-4986320000000,227000000000,0,198414290000,1037485815055,-8258608233023,0,-40111223937,4123189844032,-5724457031633,-38634958934,-5519637734500,0,-7199651104972,-6331387225695,24080005607944,-285977503,17748332404746
2016,0,9152243481638,3308875990847,3819129637,79717116365,0,-1073069168236,359758790896,0,11849266341147,-4246788580301,-75207616212,-527342648759,-13939182978,-310342421923,-1503018478738,0,-230403229686,4942224182550,-3230006972802,728836485,-2582450000000,2783320000000,-58000000000,83638401486,1089427985285,-1913341749546,379000000000,0,7529327895772,-6101911453702,-47147587149,-8999514572611,0,-7240245717690,-4211363284686,17748332404746,591788276,13537560908336
2017,0,12588037598477,2713286984972,98854110025,-23435822102,0,-1224540426123,280095523887,0,14432297969136,2711910171099,-357953350979,951119267104,-146973013330,-301821167799,-2399907971669,13084333117,-516206317121,14385549919558,-2179625964790,17296615553,-15003900000000,7325000000000,0,24752815000,1125266102220,-8691210432017,0,0,10466011787538,-8910736045687,-19651716033,-7264565850000,0,-5728941824182,-34602336641,13537560908336,-941607017,13502016964678
