disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2002-01-02,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2002-01-02,,,,,,,
2002-11-08,investorRight,DIVIDEND,Cổ tức bằng tiền,2002-11-08,2002-11-29,2002-11-29,Cổ tức đợt 2/2002 (1.000 đ/cp),1000,10,2,2002
2003-01-24,investorRight,KINDDIV,Cổ phiếu thưởng,2003-01-22,2003-01-24,,Tỷ lệ 100:50,,50,,
2003-08-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2003-08-04,2003-08-28,2003-08-28,Cổ tức đợt 1/2003 (1.000 đ/cp),1000,10,1,2003
2003-12-24,investorRight,DIVIDEND,Cổ tức bằng tiền,2003-12-22,2004-01-12,2004-01-12,Cổ tức đợt 2/2003 (1.400 đ/cp),1400,14,2,2003
2004-08-31,investorRight,DIVIDEND,Cổ tức bằng tiền,2004-08-27,2004-09-20,2004-09-20,Cổ tức đợt 1/2004 (600 đ/cp),600,6,1,2004
2005-01-18,investorRight,DIVIDEND,Cổ tức bằng tiền,2005-01-14,2005-02-03,2005-02-03,Cổ tức đợt 2/2004 (1.000 đ/cp),1000,10,2,2004
2005-07-07,investorRight,DIVIDEND,Cổ tức bằng tiền,2005-07-21,2005-08-22,2005-08-22,Cổ tức đợt 1/2005 (600 đ/cp),600,6,1,2005
2005-10-27,investorRight,ISSUE,Phát hành thêm,2005-11-02,2005-11-25,,Tỷ lệ 10:4 với giá 28.000 đ/cp,,40,,
2005-10-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2005-11-08,2005-11-25,2005-11-25,Cổ tức đợt 2/2005 (800 đ/cp),800,8,2,2005
2006-02-15,investorRight,DIVIDEND,Cổ tức bằng tiền,2006-02-20,2006-03-15,2006-03-15,Cổ tức đợt 3/2005 (200 đ/cp),200,2,3,2005
2006-07-27,investorRight,DIVIDEND,Cổ tức bằng tiền,2006-08-11,2006-09-05,2006-09-05,Cổ tức đợt 1/2006 (800 đ/cp),800,8,1,2006
2007-03-22,investorRight,MEETING,Họp cổ đông,2007-02-09,2007-03-23,2007-03-23,họp ĐHCĐ thường niên,,,,
2007-06-28,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2007-07-10,2007-07-12,,"Trả cổ tức năm 2006, Tỷ lệ 100:10",,10,,2006
2007-06-29,investorRight,ISSUE,Phát hành thêm,2007-07-10,2007-08-22,,"Tỷ lệ thực hiện 1:1.1, giá 32000đ/cp",,110,,
2007-06-29,investorRight,MEETING,Họp cổ đông,2007-07-10,,,Đại hội cổ đông bất thường,,,,
2008-02-21,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-03-17,2008-04-10,2008-04-10,Cổ tức năm 2007 (1.600 đ/cp),1600,16,,2007
2008-02-21,investorRight,MEETING,Họp cổ đông,2008-03-17,2008-04-19,2008-04-19,ĐHCĐ thường niên 2008,,,,
2008-03-24,investorRight,DIVIDEND,Cổ tức bằng tiền,2002-06-26,2002-07-19,2002-07-19,Cổ tức đợt 1/2002 (1.500 đ/cp),1500,15,1,2002
2008-05-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-06-18,2008-07-10,2008-07-10,Cổ tức đợt 1/2008 (1.200 đ/cp),1200,12,1,2008
2008-11-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2008-11-14,2008-12-10,2008-12-10,Cổ tức đợt 2/2008 (1.300 đ/cp),1300,13,2,2008
2009-02-25,investorRight,MEETING,Họp cổ đông,2009-03-12,2009-04-25,2009-04-25,ĐHCĐ thường niên 2009,,,,
2009-05-06,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-05-13,2009-05-29,2009-05-29,Cổ tức đợt 1/2009 (1.000 đ/cp),1000,10,1,2009
2009-12-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2009-12-14,2009-12-30,2009-12-30,Cổ tức đợt 2/2009 (1.000 đ/cp),1000,10,2,2009
2010-02-09,investorRight,MEETING,Họp cổ đông,2010-02-23,2010-04-03,2010-04-03,ĐHCĐ thường niên 2010,,,,
2010-06-02,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2010-05-17,2010-05-19,,"Trả cổ tức năm 2009, Tỷ lệ 100:25",,25,,2009
2010-09-20,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-09-27,2010-10-18,2010-10-18,Tạm ứng cổ tức năm 2010 (1.500 đ/cp),1500,15,,2010
2011-03-02,investorRight,MEETING,Họp cổ đông,2011-03-09,2011-04-03,2011-04-03,ĐHCĐ thường niên năm 2011,,,,
2011-04-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-04-19,2011-04-28,2011-04-28,Trả cổ tức đợt 2/2010 (1.200 đ/cp),1200,12,2,2010
2011-08-04,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-08-17,2011-08-31,2011-08-31,Tạm ứng cổ tức đợt 1.2011  (1.200 đ/cp),1200,12,1,2011
2011-08-04,investorRight,MEETING,Họp cổ đông,2011-08-17,2011-09-17,2011-09-17,v/v thay đổi trụ sở chính và phát hành cp cho cán bộ,,,,
2011-10-10,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-10-20,2011-11-07,2011-11-07,Cổ tức đợt 2.2011 (1.200 đ/cp),1200,12,2,2011
