date,open,high,low,close,volume,unadjusted,putthrough
2002-01-02,3.3315,3.3315,3.3315,3.3315,8400,38.0000,0
2002-01-04,3.3929,3.3929,3.3929,3.3929,9500,38.7000,0
2002-01-07,3.4543,3.4543,3.4543,3.4543,14000,39.4000,0
2002-01-09,3.5157,3.5157,3.5157,3.5156,7900,40.1000,0
2002-01-11,3.5857,3.5857,3.5857,3.5858,19800,40.9000,0
2002-01-14,3.5858,3.5858,3.5858,3.5858,2000,40.9000,0
2002-01-16,3.5157,3.5157,3.5157,3.5156,300,40.1000,0
2002-01-18,3.4455,3.4455,3.4455,3.4455,100,39.3000,0
2002-01-21,3.4455,3.4455,3.4455,3.4455,8000,39.3000,0
2002-01-23,3.4455,3.4455,3.4455,3.4455,13400,39.3000,0
2002-01-25,3.4455,3.4455,3.4455,3.4455,17600,39.3000,0
2002-01-28,3.5069,3.5069,3.5069,3.5069,8000,40.0000,0
2002-01-30,3.5069,3.5069,3.5069,3.5069,14700,40.0000,0
2002-02-01,3.4368,3.4368,3.4368,3.4367,400,39.2000,0
2002-02-04,3.4367,3.4367,3.4367,3.4367,100,39.2000,0
2002-02-06,3.3753,3.3753,3.3753,3.3754,1500,38.5000,0
2002-02-08,3.4368,3.4368,3.4368,3.4367,4100,39.2000,0
2002-02-18,3.4367,3.4367,3.4367,3.4367,1100,39.2000,0
2002-02-20,3.3753,3.3753,3.3753,3.3754,4200,38.5000,0
2002-02-22,3.3140,3.3140,3.3140,3.3140,300,37.8000,0
2002-02-25,3.3140,3.3140,3.3140,3.3140,700,37.8000,0
2002-02-27,3.3315,3.3315,3.3315,3.3315,4500,38.0000,0
2002-03-01,3.3929,3.3929,3.3929,3.3929,14500,38.7000,0
2002-03-04,3.4543,3.4543,3.4543,3.4543,9100,39.4000,0
2002-03-05,3.4543,3.4543,3.4543,3.4543,10600,39.4000,0
2002-03-06,3.4543,3.4543,3.4543,3.4543,1000,39.4000,0
2002-03-07,3.4192,3.4192,3.4192,3.4192,9300,39.0000,0
2002-03-08,3.4192,3.4192,3.4192,3.4192,4400,39.0000,0
2002-03-11,3.4367,3.4367,3.4367,3.4367,28700,39.2000,0
2002-03-12,3.4981,3.4981,3.4981,3.4981,1400,39.9000,0
2002-03-13,3.5595,3.5595,3.5595,3.5595,18400,40.6000,0
2002-03-14,3.6296,3.6296,3.6296,3.6296,13000,41.4000,0
2002-03-15,3.6997,3.6997,3.6997,3.6998,5200,42.2000,0
2002-03-18,3.6998,3.6998,3.6998,3.6998,8300,42.2000,0
2002-03-19,3.6998,3.6998,3.6998,3.6998,1400,42.2000,0
2002-03-20,3.6998,3.6998,3.6998,3.6998,5900,42.2000,0
2002-03-21,3.6998,3.6998,3.6998,3.6998,100,42.2000,0
2002-03-22,3.6998,3.6998,3.6998,3.6998,300,42.2000,0
2002-03-25,3.6297,3.6297,3.6297,3.6296,200,41.4000,0
2002-03-26,3.6121,3.6121,3.6121,3.6121,16900,41.2000,0
2002-03-27,3.6822,3.6822,3.6822,3.6822,2300,42.0000,0
2002-03-28,3.7523,3.7523,3.7523,3.7524,5800,42.8000,0
2002-03-29,3.8225,3.8225,3.8225,3.8225,1400,43.6000,0
2002-04-01,3.7524,3.7524,3.7524,3.7524,1100,42.8000,0
