date,open,high,low,close,volume,unadjusted,putthrough
2017-07-17,9.98,9.98,9.98,9.98,3000,14.30,0
2017-07-18,10.96,10.96,10.96,10.95,5000,15.70,0
2017-07-19,12.00,12.00,12.00,12.00,9900,17.20,0
2017-07-20,13.19,13.19,13.19,13.19,12900,18.90,0
2017-07-21,14.45,14.45,14.38,14.44,52000,20.70,0
2017-07-24,15.84,15.84,14.65,15.07,37900,21.60,0
2017-07-25,15.07,15.14,14.65,14.65,49900,21.00,0
2017-07-26,13.95,14.58,13.32,13.74,45000,19.70,0
2017-07-27,13.60,13.67,12.55,12.56,33900,18.00,0
2017-07-28,12.21,12.21,11.30,11.30,12800,16.20,0
2017-07-31,11.16,11.86,10.67,10.81,79000,15.50,0
2017-08-01,10.67,11.37,10.67,10.95,53400,15.70,0
2017-08-02,10.81,11.02,10.60,11.02,145200,15.80,0
2017-08-03,11.02,11.72,10.67,10.67,56800,15.30,0
2017-08-04,10.74,10.74,10.32,10.74,36100,15.40,0
2017-08-07,10.60,10.81,10.46,10.67,103400,15.30,0
2017-08-08,10.74,10.74,10.46,10.60,55500,15.20,0
2017-08-09,10.60,10.67,10.32,10.53,55700,15.10,0
2017-08-10,10.39,10.67,10.32,10.60,38700,15.20,0
2017-08-11,10.46,10.74,10.11,10.67,65800,15.30,0
2017-08-14,10.67,10.67,10.32,10.33,99100,14.80,0
2017-08-15,10.33,10.82,10.26,10.46,32900,15.00,0
2017-08-16,10.46,10.53,10.25,10.33,30000,14.80,0
2017-08-17,10.47,10.54,10.33,10.33,35400,14.80,0
2017-08-18,10.33,10.33,10.19,10.26,28700,14.70,0
2017-08-21,10.33,10.54,10.12,10.33,33700,14.80,0
2017-08-22,10.26,10.47,10.26,10.26,35800,14.70,0
2017-08-23,10.19,10.40,10.12,10.40,53500,14.90,0
2017-08-24,10.33,10.47,10.19,10.33,56000,14.80,0
2017-08-25,10.40,10.40,10.12,10.33,58600,14.80,0
2017-08-28,10.26,10.61,10.12,10.60,92800,15.20,0
2017-08-29,10.67,10.81,10.46,10.81,32700,15.50,0
2017-08-30,10.74,11.11,10.66,10.81,77400,14.50,0
2017-08-31,10.81,11.03,10.66,10.89,56700,14.60,0
2017-09-01,10.96,10.96,10.67,10.81,57700,14.50,0
2017-09-05,10.88,11.11,10.74,10.96,73900,14.70,0
2017-09-06,10.81,11.03,10.66,10.89,80400,14.60,0
2017-09-07,10.96,11.04,10.67,10.89,66600,14.60,0
2017-09-08,10.96,10.96,10.67,10.96,90700,14.70,0
2017-09-11,10.89,10.96,10.89,10.96,56000,14.70,0
2017-09-12,10.81,11.03,10.66,11.04,76300,14.80,0
2017-09-13,10.89,11.11,10.74,11.04,74100,14.80,0
2017-09-14,10.82,11.04,10.74,10.96,65500,14.70,0
2017-09-15,10.96,11.03,10.81,10.96,70100,14.70,0
2017-09-18,11.03,11.03,10.74,10.89,69300,14.60,0
2017-09-19,10.89,10.96,10.74,10.96,70700,14.70,0
2017-09-20,10.96,11.03,10.81,10.81,80300,14.50,0
2017-09-21,10.88,11.03,10.88,11.04,56900,14.80,0
2017-09-22,10.89,11.04,10.74,10.96,63800,14.70,0
2017-09-25,10.89,10.96,10.74,10.89,49100,14.60,0
2017-09-26,10.89,10.96,10.89,10.89,30100,14.60,0
2017-09-27,10.82,10.96,10.74,10.96,36900,14.70,0
2017-09-28,10.89,10.96,10.74,10.89,44400,14.60,0
2017-09-29,10.89,10.96,10.74,10.81,41000,14.50,0
2017-10-02,10.88,10.88,10.74,10.89,42700,14.60,0
2017-10-03,10.82,10.89,10.74,10.89,36800,14.60,0
2017-10-04,10.74,10.89,10.74,10.89,40900,14.60,0
2017-10-05,10.89,10.96,10.74,10.96,42500,14.70,0
2017-10-06,10.89,10.96,10.81,10.96,34300,14.70,0
