date,bull,bigBull,cancelSell,bear,bigBear,cancelBuy
2019-12-02,24709,10050,13480,105131,61801,1130
2019-12-03,81349,40002,134980,98001,52968,12110
2019-12-04,102565,48395,2830,36775,5180,1350
2019-12-05,33209,29339,2000,98051,57691,12480
2019-12-06,108358,53550,9010,193892,116597,5830
2019-12-09,91393,28430,350,169137,88237,16340
2019-12-10,24625,6496,7740,80775,41864,6880
2019-12-11,147006,104540,28150,36374,16614,10
2019-12-12,98422,37410,10650,34548,14573,29040
2019-12-13,300685,243730,16460,146955,61205,29460
2019-12-16,153550,93815,7400,37760,11200,1010
2019-12-17,17588,0,8400,67612,40552,430
2019-12-18,141650,126490,13320,187370,138280,26830
2019-12-19,67917,36977,36240,195743,130303,3580
2019-12-20,105377,79397,1600,183713,159503,1500
2019-12-23,94184,53014,8660,222666,187176,700
2019-12-24,101702,75787,1550,116908,100513,12940
2019-12-25,67274,41324,300,108216,65466,1100
2019-12-26,102532,70150,890,79998,65078,10650
2019-12-27,60230,22115,960,101910,57655,5000
2019-12-30,81962,44930,280,96588,54308,5590
2019-12-31,10372,0,9910,42878,25822,10
2020-01-02,38924,0,760,63856,24900,4100
2020-01-03,104133,48413,3240,286947,243900,8010
2020-01-06,44932,8800,7940,149038,105768,4560
2020-01-07,137927,43313,15250,210123,155667,12280
2020-01-08,101210,13171,8590,219500,125199,16240
2020-01-09,156429,96646,13000,97521,37984,15000
2020-01-10,232271,122965,8190,399129,315585,24810
2020-01-13,25072,13988,5330,84228,61538,2050
2020-01-14,45592,24667,100,103448,70303,3510
2020-01-15,55151,18132,11980,164049,110609,10500
2020-01-16,136080,73710,0,289650,226630,6680
2020-01-17,125697,98397,2620,83043,31953,9350
2020-01-20,75903,39653,7610,123817,78857,0
2020-01-21,165747,103687,20140,229253,175010,5220
2020-01-22,226649,161136,1300,247811,199724,27710
2020-01-30,111899,50986,49270,405811,304061,5270
2020-01-31,303718,168438,21650,1938002,1757212,44810
2020-02-03,266840,166420,60950,507510,381350,5460
2020-02-04,232815,176153,20660,159605,89817,3670
2020-02-05,270526,174656,16670,202544,114874,48400
2020-02-06,188791,103291,12570,229419,163689,11710
2020-02-07,117901,80011,13190,145379,96010,4100
2020-02-10,202563,158613,16140,177137,126927,1300
2020-02-11,108780,59780,500,163470,116410,5070
2020-02-12,137907,72940,12320,159623,82583,46640
2020-02-13,427803,292723,15270,362907,244787,41320
2020-02-14,213223,123208,14830,138237,65360,6660
2020-02-17,317182,233432,26770,190708,93080,1760
2020-02-18,141132,58750,14100,339338,240438,33200
2020-02-19,148551,100012,5620,116759,41930,51400
2020-02-20,209287,133063,11760,144203,87347,10350
2020-02-21,60632,15000,100,187538,160128,3960
2020-02-24,135826,94963,37370,371634,258194,2230
2020-02-25,148346,70001,28180,150714,87039,13970
2020-02-26,83888,38250,9600,221832,184142,16690
2020-02-27,73634,27609,1770,64516,35101,4400
2020-02-28,126458,68991,3770,175582,126052,3220
2020-03-02,263254,92710,2620,114736,51407,28100
2020-03-03,55201,21860,12970,91569,75210,10
2020-03-04,108401,63610,5500,161599,114029,26690
2020-03-05,54078,17030,88560,177412,113222,126490
2020-03-06,21426,9990,4850,63354,28500,1630
2020-03-09,153938,10500,12010,574502,445952,26600
2020-03-10,216822,142577,10470,140108,104678,2900
2020-03-11,140131,94546,4900,307329,232714,4680
2020-03-12,41004,7200,199440,566796,440817,4800
2020-03-13,259856,202336,115380,657784,516224,64510
2020-03-17,153227,98780,3200,135053,74803,22960
2020-03-18,337650,207320,18190,325790,216540,85530
2020-03-19,151340,75442,7570,188980,120248,2460
2020-03-20,93880,54922,29380,194060,124348,5690
2020-03-23,51128,16410,45710,183202,141442,4690
2020-03-24,214653,162693,3000,171197,123207,12480
2020-03-25,121814,72504,10710,149386,102506,9150
2020-03-26,61991,44451,14190,115239,64769,170
2020-03-27,36567,17100,1980,140353,86815,9090
2020-03-30,84318,40130,6020,163112,98370,13040
2020-03-31,62814,23330,13300,193026,112956,3850
2020-04-01,92305,28590,9460,133565,74335,7010
2020-04-02,112935,112935,0,112935,112935,0
2020-04-03,143424,49910,1400,204826,128193,21090
2020-04-06,299773,183247,14500,120017,49450,6490
2020-04-07,104200,53824,29070,125400,76976,8100
2020-04-08,124805,12520,22340,92945,37010,9450
2020-04-09,193615,95840,6960,249075,136540,68960
2020-04-10,109730,42450,26660,192510,105360,42500
2020-04-13,183384,106939,5970,205846,119005,41330
2020-04-14,106610,44054,5200,154980,82316,34020
2020-04-15,189935,122705,15360,150025,102410,19310
2020-04-16,632442,443717,62030,427298,289438,129380
2020-04-17,607469,410999,21730,368021,235211,70110
2020-04-20,220720,90660,31680,373920,228345,21320
2020-04-21,276231,77810,79730,585849,417499,102170
2020-04-22,251607,145917,16080,194673,93705,3170
2020-04-23,245624,118695,58200,313846,215695,18590
2020-04-24,148301,75121,37640,188819,120279,12100
2020-04-27,124460,16450,24250,131110,66101,28630
2020-04-28,324350,196270,23450,178390,51130,17040
2020-04-29,237184,157604,33700,192766,107310,23850
2020-05-04,74098,0,0,113382,72370,3200
2020-05-05,43413,7500,16410,106977,37900,17450
