Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2009,1,191853056554,-150540658180,-3822067489,-3180375453,-130994825,1795125582,-13496973271,0,22477112918,-390417224,0,0,0,-1597188864,0,417169705,-1570436383,0,0,110142270271,-121779294688,0,0,0,-11637024417,9269652118,31292589810,0,40562241928
2010,1,353599463032,-280262435150,-8598821098,-5615825793,-4031049911,44527289394,-58994785186,1412631654,40623835288,-4908317100,4400000000,-875300000,5000000000,-7977865256,0,1011842152,-3349640204,0,0,200689540307,-198229229048,0,-29578666612,0,-27118355353,10155839731,32087472823,0,42243312554
2010,2,523356412552,-420648885641,-12438229440,-8276812471,-9469110831,72736259454,-93707382761,0,51552250862,-6516990451,4400000000,-875300000,0,5000000000,-9423345256,1750414354,-5665221353,0,0,266156487490,-299143008033,0,-28999996000,0,-61986516543,-16099487034,32087472823,0,15987985789
2010,3,774828140061,-561665713917,-17100077273,-10240430447,-15179810480,73734623880,-116864297072,4194682366,127512434752,-8706976035,4400000000,-875300000,5000000000,-9573345256,0,3119204748,-6636416543,0,0,311696764845,-404951731398,0,-29578004420,0,-122832970973,-1956952764,32087472823,-23432375,30107087684
2011,1,212239298990,-141066106139,-5998132208,-5520945851,-774184368,23524807207,-36332208756,0,46072528875,-846442729,0,0,0,-886164000,0,1044803808,-687802921,0,0,61124264446,-78113170519,0,-11899500,0,-17000805573,28383920381,9709962230,0,38093882611
2011,2,249532638634,-207210111661,-5120254909,-4418967334,-8533818000,13995474097,-35610326695,0,2634634132,-2659593902,0,0,0,-1285241600,0,748857804,-3195977698,0,0,131985441195,-116211242604,0,-14494048250,0,1280150341,718806775,38093882611,0,38812689386
2011,3,202988807818,-173217138043,-4757919778,-5577964076,-65684147,-5624760263,-12530732299,0,1214609212,-784941043,0,-4202840000,12454040000,-1250000000,0,334633910,6550892867,0,0,50851431484,-80225351413,0,0,0,-29373919929,-21608417850,38812689386,-24844152,17179427384
2011,4,137547262343,-146636563023,-9116048231,-5163947663,-116639591,233220513373,-187579083938,0,22155493270,-997708585,0,-25500000000,33830304000,-1486200224,0,806487784,6652882975,0,0,139208813561,-124933868385,0,-34799982000,0,-20525036824,8283339421,17179427384,24844152,25487610957
2012,1,201005213159,-200851896163,-818202329,-7579667165,-421745107,-212564711902,148456062080,0,-72774947427,-8227719918,63636364,0,0,-1147730984,0,561706060,-8750108478,172487074122,-100697529334,0,0,0,0,0,71789544788,-9735511117,25487610957,0,15752099840
2012,2,212130222431,-139244304377,-5443518414,-5444467384,-5303495751,1408434910,-13324674970,0,44778196445,-3803359724,0,-33830304000,33830304000,0,0,147682414,-3655677310,0,0,117131029357,-159355490853,0,0,0,-42224461496,-1101942361,15752099840,0,14650157479
