Year,Quarter,1. Sales,2. Sales deductions,3. Net sales,4. Cost of sales,5. Gross Profit,6. Financial income,7. of which: interest expenses,Interest expenses,8.Selling expenses,9. General and admin expenses,10 Operating profit/(loss),11. Other incomes,12. Other expenses,13. Net other income/(expenses),13b. Venture company profit/(loss),14. Net accounting profit/(loss) before tax,15. Business income tax - current,16. Business income tax - deferred,17. Business income tax expenses,18. Net profit/(loss) after tax,19. Minority Interests,20. Attributable to parent company,21. EPS Basis,22. EPS Diluted
2005,0,129066509970,-60072753,129006437217,-108977233522,20029203695,5112630870,-1714577331,-1526197985,-3636385459,-4910807512,14880064263,6051139253,-5261976502,789162751,0,15669227014,-1087805834,0,-1087805834,14581421180,0,14581421180,0,0
2006,0,174382546683,-1539695449,172842851234,-136574438754,36268412480,7246666721,-2303088587,-2072813036,-5267415304,-7932286868,28012288442,979157065,-7683151485,-6703994420,0,21308294022,-3330402186,40322280,-3290079906,18018214116,2720083423,15298130693,3467,0
2007,0,213195933903,-908271958,212287661945,-187738622985,24549038960,119396594289,-17575526856,-4468475279,-6949283894,-20443611467,98977211032,1899029365,-3247184138,-1348154773,0,97629056259,-24762947507,-31250000,-24794197507,72834858752,-500849790,73335708542,10901,0
2008,0,321007807199,-2326445287,318681361912,-286437740948,32243620964,28207145904,-89102509816,-12045047907,-8986760293,-30434537092,-68073040333,9616456924,-5782262138,3834194786,0,-64238845547,-3170722365,0,-3170722365,-67409567912,1463816729,-68873384641,-4608,0
2009,0,288490159231,-2952176572,285537982659,-247734879754,37803102905,45239404671,5695554453,-4757893799,-8037734852,-28074127804,52626199373,3949695677,-2621865191,1327830486,0,53954029859,-7560667078,0,-7560667078,46393362781,5469731915,40923630866,2395,0
2010,0,363261296188,-2216570405,361044725783,-298319105707,62725620076,18348113431,10489746041,-6418405959,-14537691845,-29589656064,47436131639,11883658805,-2674988333,9208670472,-1372514413,55272287698,-7981976574,0,-7981976574,47290311124,3702977249,43587333875,2357,0
2011,0,360671760245,-1247678748,359424081497,-303141187611,56282893886,8614831957,-11012775814,-6123353817,-15470044181,-30341162716,8073743132,8951979283,-2657710514,6294268769,-1079330426,13288681475,-3462693406,0,-3462693406,9825988069,-902195228,10728183297,441.84,0
2012,0,362900661459,-1705642009,361195019450,-308957246052,52237773398,2982845830,-6551424063,-6359990242,-18080921778,-27345338606,3242934781,16276161487,-6273314373,10002847114,0,13245781895,-2959563893,0,-2959563893,10286218002,-274325809,10560543811,434.93,0
2013,0,353187786919,-1100609927,352087176992,-304974945167,47112231825,31992920856,-9736961030,-8195980043,-18482867675,-26715852898,24169471078,5364259136,-2752158589,2612100547,0,26781571625,-3038124149,0,-3038124149,23743447476,364541917,23378905559,728,0
2014,0,350833094314,-854509034,349978585280,-295858760523,54119824757,58466925023,-28479446160,-18393929194,-18688859924,-29326870068,36091573628,2499481549,-3056185790,-556704241,0,35534869387,-7324917997,0,-7324917997,28209951390,277354568,27932596822,870,0
2015,0,375455477504,-470461945,374985015559,-334679160288,40305855271,14055954478,-24801341116,-28332460611,-17042567619,-31082047260,-18564146246,75188979118,-10152204165,65036774953,0,46472628707,-11067694484,0,-11067694484,35404934223,209974538,35194959685,796,0
2016,0,426172088756,-171258001,426000830755,-346704599083,79296231672,5572280339,-26398631789,-22547195792,-18874683512,-27707372671,11887824039,15965519310,-10302889730,5662629580,0,17550453619,-4236559289,0,-4236559289,13313894330,226346403,13087547927,236,0
2017,0,381108534488,-141164595,380967369893,-328632088432,52335281461,2875314003,-4450445608,-4065084308,-14524627695,-22390584482,14062805987,4348771958,-1961363122,2387408836,0,16450214823,-3027206890,0,-3027206890,13423007933,170142597,13252865336,238.91,0
2018,0,476100693416,-10404450,476090288966,-390666010223,85424278743,1394800871,-3667665744,-3216880317,-16567811616,-24661515012,41925900901,314455564,-421458997,-107003433,0,41818897468,-7819555511,0,-7819555511,33999341957,1330483275,32668858682,588.93,0
2019,0,376994584010,0,376994584010,-311918946895,65075637115,2263936535,-2541726618,-2216806107,-14146551609,-24076324777,26576676917,646302418,-1713782912,-1067480494,0,25509196423,-5152393212,0,-5152393212,20356803211,673433135,19683370076,354.84,0
