date,open,high,low,close,volume,unadjusted,putthrough
2006-12-26,2.3200,2.3200,2.3200,2.3200,1000,35.0000,0
2006-12-27,2.4200,2.4200,2.4200,2.4200,500,36.5000,0
2006-12-28,2.5400,2.5400,2.5400,2.5400,1250,38.3000,0
2006-12-29,2.6700,2.6700,2.6700,2.6700,1000,40.2000,0
2007-01-02,2.8000,2.8000,2.8000,2.8000,1490,42.2000,0
2007-01-03,2.9400,2.9400,2.9400,2.9400,2500,44.3000,0
2007-01-04,3.0900,3.0900,3.0900,3.0900,2800,46.5000,0
2007-01-05,3.2400,3.2400,3.2400,3.2400,1460,48.8000,0
2007-01-08,3.3900,3.3900,3.3900,3.3900,4990,51.0000,0
2007-01-09,3.3900,3.3900,3.3900,3.3900,2980,51.0000,0
2007-01-11,0.0000,3.3900,3.2200,3.2200,530,48.5000,0
2007-01-12,3.0600,3.0600,3.0600,3.0600,1100,46.1000,0
2007-01-16,3.0500,3.0500,3.0500,3.0500,100,46.0000,0
2007-01-17,2.9000,2.9000,2.9000,2.9100,200,43.8000,0
2007-01-19,2.7700,2.7700,2.7700,2.7700,10,41.7000,0
2007-01-22,2.6600,2.6600,2.6600,2.6600,600,40.0000,0
2007-01-23,2.5300,2.5300,2.5300,2.5200,20,38.0000,0
2007-01-24,2.5200,2.5200,2.5200,2.5200,100,38.0000,0
2007-01-26,2.4200,2.4200,2.4200,2.4200,2840,36.5000,0
2007-01-29,2.3000,2.3900,2.3000,2.3000,580,34.7000,0
2007-01-30,2.2500,2.2500,2.2300,2.2400,7650,33.7000,0
2007-01-31,2.3100,2.4200,2.3100,2.4200,3990,36.4000,0
2007-02-01,0.0000,2.5400,2.5300,2.5400,3100,38.2000,0
2007-02-02,2.5900,2.5900,2.5900,2.5900,1290,39.0000,0
2007-02-05,2.5900,2.5900,2.5900,2.5900,5270,39.0000,0
2007-02-06,2.5200,2.5900,2.5200,2.5200,2930,38.0000,0
2007-02-07,2.5900,2.5900,2.5900,2.5900,7200,39.0000,0
2007-02-08,2.5900,2.5900,2.5900,2.5900,2500,39.0000,0
2007-02-09,2.5900,2.7200,2.5900,2.5900,4590,39.0000,0
2007-02-12,2.6900,2.7200,2.6900,2.7200,2700,40.9000,0
2007-02-13,2.8500,2.8500,2.8500,2.8500,10170,42.9000,0
2007-02-14,2.9800,2.9800,2.8500,2.9800,4050,44.9000,0
2007-02-15,2.9800,2.9800,2.9800,2.9800,1580,44.9000,0
2007-02-26,3.1200,3.1200,3.0200,3.1200,3380,47.0000,0
2007-02-27,3.2500,3.2700,3.2500,3.2500,4080,49.0000,0
2007-02-28,3.2500,3.2500,3.2500,3.2500,10,49.0000,0
2007-03-01,3.2500,3.2500,3.2500,3.2500,2500,49.0000,0
2007-03-02,3.0900,3.0900,3.0900,3.0900,400,46.6000,0
2007-03-05,2.9800,2.9800,2.9400,2.9900,3220,45.0000,0
2007-03-06,3.0600,3.1200,3.0600,3.0500,5560,46.0000,0
2007-03-07,3.0500,3.0500,3.0500,3.0500,6700,46.0000,0
2007-03-08,3.2000,3.2000,3.1800,3.2100,5300,48.3000,0
2007-03-09,3.3200,3.3600,3.3200,3.3500,6850,50.5000,0
2007-03-12,3.5200,3.5200,3.5200,3.5200,8250,53.0000,0
2007-03-13,3.6900,3.6900,3.6900,3.6900,2360,55.5000,0
2007-03-14,3.8600,3.8600,3.8600,3.8500,5910,58.0000,0
2007-03-15,3.7800,3.7800,3.6800,3.6900,7070,55.5000,0
2007-03-16,3.5200,3.5200,3.5200,3.5200,350,53.0000,0
2007-03-19,3.3500,3.6900,3.3500,3.6900,4670,55.5000,0
2007-03-20,3.5900,3.5900,3.5200,3.5200,7800,53.0000,0
2007-03-21,3.5200,3.5200,3.3500,3.3500,3150,50.5000,0
2007-03-22,3.5200,3.5200,3.5200,3.5200,520,53.0000,0
2007-03-23,3.5900,3.6500,3.3500,3.3500,3510,50.5000,0
2007-03-26,3.3500,3.3500,3.1800,3.3200,2200,50.0000,0
2007-03-27,3.1900,3.1900,3.1900,3.1900,4500,48.0000,0
2007-03-28,0.0000,3.1900,3.0300,3.0300,1020,45.6000,0
