date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,3.9977,3.9977,3.9977,3.9977,23900,103.0000,0
2006-12-28,3.9977,3.9977,3.9977,3.9977,21220,103.0000,0
2006-12-29,3.9977,3.9977,3.8036,3.8037,7480,98.0000,0
2007-01-02,3.6290,3.8037,3.6290,3.6290,2950,93.5000,0
2007-01-03,3.4543,3.4543,3.4543,3.4544,6050,89.0000,0
2007-01-04,3.2991,3.2991,3.2991,3.2991,28060,85.0000,0
2007-01-05,3.4544,3.4544,3.1438,3.4544,36670,89.0000,0
2007-01-08,3.6097,3.6097,3.6097,3.6096,11090,93.0000,0
2007-01-09,3.7843,3.7843,3.7649,3.7843,41230,97.5000,0
2007-01-10,3.6485,3.6485,3.6096,3.6096,29380,93.0000,0
2007-01-11,3.4543,3.4543,3.4349,3.4349,15180,88.5000,0
2007-01-12,3.4931,3.5901,3.2797,3.5902,14590,92.5000,0
2007-01-15,3.5902,3.6096,3.5902,3.6096,18840,93.0000,0
2007-01-16,3.6096,3.6096,3.4932,3.4932,14870,90.0000,0
2007-01-17,3.4932,3.4932,3.3379,3.4155,8490,88.0000,0
2007-01-18,3.2603,3.4931,3.2603,3.4932,9350,90.0000,0
2007-01-19,3.4544,3.4932,3.4544,3.4932,18140,90.0000,0
2007-01-22,3.3379,3.3379,3.3185,3.3379,10800,86.0000,0
2007-01-23,3.4932,3.4932,3.4543,3.4544,4070,89.0000,0
2007-01-24,3.4544,3.4544,3.4544,3.4544,8980,89.0000,0
2007-01-25,3.3186,3.3768,3.3186,3.3767,8740,87.0000,0
2007-01-26,3.2214,3.2214,3.2214,3.2215,4050,83.0000,0
2007-01-29,3.2991,3.2991,3.2215,3.2991,10200,85.0000,0
2007-01-30,3.3379,3.4544,3.3379,3.4544,7730,89.0000,0
2007-01-31,3.4544,3.4544,3.4544,3.4544,15180,89.0000,0
2007-02-01,3.4932,3.4932,3.4544,3.4932,24460,90.0000,0
2007-02-02,3.6679,3.6679,3.6679,3.6678,20400,94.5000,0
2007-02-05,3.8425,3.8425,3.8425,3.8425,60780,99.0000,0
2007-02-06,3.9978,3.9978,3.9978,3.9977,54760,103.0000,0
2007-02-07,3.8813,3.8813,3.8036,3.8813,25090,100.0000,0
2007-02-08,3.6872,3.6872,3.6872,3.6872,3230,95.0000,0
2007-02-09,3.5125,3.5125,3.5125,3.5126,7370,90.5000,0
2007-02-12,3.6873,3.6873,3.5708,3.5708,15450,92.0000,0
2007-02-13,3.7455,3.7455,3.7455,3.7454,43500,96.5000,0
2007-02-14,3.7454,3.7454,3.7454,3.7454,6040,96.5000,0
2007-02-15,3.9201,3.9201,3.7454,3.9201,16560,101.0000,0
2007-02-26,4.0754,4.1142,4.0754,4.0754,23820,105.0000,0
2007-02-27,3.9201,3.9201,3.9201,3.9201,21570,101.0000,0
2007-02-28,3.8037,3.9201,3.8037,3.8037,10810,98.0000,0
2007-03-01,3.8037,3.8037,3.8037,3.8037,3390,98.0000,0
2007-03-02,3.8037,3.8037,3.8037,3.8037,8600,98.0000,0
2007-03-05,3.8037,3.8037,3.6873,3.8037,12320,98.0000,0
2007-03-06,3.7261,3.8037,3.7261,3.7260,8000,96.0000,0
