Year,Quarter,1. Interest and Similar Income,2. Interest and Similar Expenses,I. Net Interest Income,3. Fees and Commission income,4. Fees and Commission expenses,II. Net Fee and Commission Income,III. Net gain/(loss) from foreign currency and gold dealings,IV. Net gain/(loss) from trading of trading securities,V. Net gain/(loss) from disposal of investment securities,5. Other incomes,6. Other expenses,VI. Net Other income/(expenses),VII. Dividends income,Total operating income,VIII.General and Admin expenses,IX. Operating Profit Before Provision for Credit Losses,X. Provision for credit losses,XI. Profit before tax,7. Business income tax - current,8. Business income tax - deferred,XII. Business Income Tax,XIII. Net Profit For the Year,XIV. Minority Interest,XV. Basic Earnings Per Share
2014,1,1518506893241,-1199785974375,318720918866,52548552389,-11256668725,41291883664,11767715805,0,62471022157,14036084659,-3308900203,10727184456,120000000,445098724948,-408874392182,36224332766,-5074165268,31150167498,-7847513626,0,-7847513626,23302653872,0,0
2015,1,1811195972514,-1129902410436,681293562078,44858616270,-10902289068,33956327202,277315794,0,28324491203,10770727372,-11427631724,-656904352,2291778800,745486570725,-474915823093,270570747632,-104288220189,166282527443,-35043301031,0,-35043301031,131239226412,0,0
2015,2,1773429000000,-1058790000000,714639000000,229646000000,-11972000000,217674000000,8293000000,1965000000,-41345000000,7889000000,-5580000000,2309000000,13331000000,916866000000,-577269000000,339597000000,-167411000000,172186000000,-35834000000,0,-35834000000,122805000000,-13547000000,0
2015,3,1955673000000,-1177298000000,778375000000,75386000000,-12729000000,62657000000,9340000000,719000000,3225000000,9679000000,-5923000000,3756000000,16783000000,874855000000,-599775000000,275080000000,-211641000000,63439000000,-13698000000,0,-13698000000,24445000000,-25296000000,0
2015,4,2382982000000,-1312971000000,1070011000000,-115450000000,-10394000000,-125844000000,7851000000,-6922000000,75583000000,50474000000,-36168000000,14306000000,577533000000,1612518000000,-757775000000,854743000000,-451279000000,403464000000,-75753000000,2005000000,-73748000000,251118000000,-78598000000,0
2016,1,2426913000000,-1405988000000,1020925000000,39051000000,-11735000000,27316000000,46400000000,20596000000,7885000000,40102000000,-30405000000,9697000000,454000000,1133273000000,-700006000000,433267000000,-143543000000,289724000000,-59065000000,0,-59065000000,194897000000,-35762000000,241
2016,2,2765885000000,-1578184000000,1187701000000,40371000000,-13030000000,27341000000,55872000000,-20596000000,-95964000000,-6102000000,16709000000,10607000000,3021000000,1167982000000,-769132000000,398850000000,-286389000000,112461000000,-22822000000,0,-22822000000,204296000000,114657000000,57
2016,3,2931153000000,-1754746000000,1176407000000,55442000000,-13896000000,41546000000,44123000000,33356000000,5341000000,25035000000,-7870000000,17165000000,8810000000,1326748000000,-831101000000,495647000000,-353320000000,142327000000,-26981000000,0,-26981000000,65922000000,-49424000000,0
2016,4,3280553000000,-1903018000000,1377535000000,48750000000,-19572000000,29178000000,56907000000,45120000000,117868000000,127761000000,-49070000000,78691000000,0,1705299000000,-992130000000,713169000000,-210353000000,502816000000,-95590000000,-6325000000,-101915000000,352855000000,-48046000000,0
2017,1,3418804000000,-2062707000000,1356097000000,56903000000,-24638000000,32265000000,34006000000,-1452000000,43105000000,27145000000,-5078000000,22067000000,495000000,1486583000000,-893980000000,592603000000,-205256000000,387347000000,-77751000000,0,-77751000000,267158000000,-42438000000,0
2017,2,3570885000000,-2194452000000,1376433000000,36736000000,1368000000,38104000000,56288000000,5921000000,115165000000,88299000000,-11071000000,77228000000,43099000000,1712238000000,-990126000000,722112000000,-228391000000,493721000000,-90297000000,0,-90297000000,351649000000,-51775000000,0
2017,3,3998059000000,-2134173000000,1863886000000,53125000000,-18015000000,35110000000,32138000000,5234000000,342925000000,128246000000,-5959000000,122287000000,37000000,2401617000000,-1051472000000,1350145000000,-318952000000,1031193000000,-206660000000,0,-206660000000,778973000000,-45560000000,0
