date,open,high,low,close,volume,unadjusted,putthrough
2018-01-05,37.6230,38.2018,35.2113,38.2018,32205910,39.6000,0
2018-01-08,38.5877,38.5877,38.2018,38.2983,3321420,39.7000,15320003
2018-01-09,38.2983,38.3948,37.5265,38.3465,4537340,39.7500,5451600
2018-01-10,37.8159,38.8771,37.7195,38.8771,8726070,40.3000,3110000
2018-01-11,38.9736,40.9994,38.8771,40.9994,9874500,42.5000,1110003
2018-01-12,41.0959,43.8452,41.0959,43.8453,18714750,45.4500,1000000
2018-01-15,43.8935,44.0865,42.4465,43.8935,6559820,45.5000,2800000
2018-01-16,43.0253,43.6041,42.8806,43.3629,6271100,44.9500,2457000
2018-01-17,43.3147,43.3629,41.1923,41.1924,5794700,42.7000,3294550
2018-01-18,41.0959,42.4465,40.2277,42.4465,5371340,44.0000,1000000
2018-01-19,42.9288,44.4724,42.9288,43.6041,6728810,45.2000,430000
2018-01-22,43.2182,43.7970,42.7359,43.7006,4402360,45.3000,0
2018-01-25,43.8935,46.5947,43.4112,46.1123,10284390,47.8000,7383780
2018-01-26,46.1123,46.4017,44.6653,45.3405,5637470,47.0000,40230
2018-01-29,45.4370,45.8228,44.6652,45.3888,6592140,47.0500,0
2018-01-30,45.3888,45.3888,44.0865,45.3405,6121930,47.0000,20000
2018-01-31,45.2440,45.2440,44.3758,44.9547,5581950,46.6000,3300000
2018-02-01,44.9547,45.0512,44.1829,44.3758,3428660,46.0000,500000
2018-02-02,44.3758,44.3758,43.7005,44.3758,4567580,46.0000,0
2018-02-05,43.6040,43.9899,41.2888,41.4818,3353170,43.0000,2230000
2018-02-06,38.5877,39.8418,38.5877,39.5524,3906020,41.0000,400000
2018-02-07,40.9030,42.3018,40.8065,42.3018,4238270,43.8500,2800000
2018-02-08,42.3018,44.2312,41.9642,43.3147,4667920,44.9000,5690494
2018-02-09,42.2535,43.1218,40.6136,43.0253,3454800,44.6000,500000
2018-02-12,43.1218,45.3406,43.0735,44.8582,3436010,46.5000,1308030
2018-02-13,45.2923,45.2923,43.8935,44.9547,5066980,46.6000,197860
2018-02-21,45.2441,45.4370,43.8935,45.0511,3263200,46.7000,0
2018-02-22,44.5688,44.5688,43.4111,43.4112,2243860,45.0000,2400000
2018-02-23,43.4112,44.8582,42.7841,42.9770,2175420,44.5500,0
2018-02-26,42.9770,44.3758,42.1088,42.4465,2378080,44.0000,0
2018-02-27,42.9288,43.0253,41.2889,42.9288,1579540,44.5000,0
2018-02-28,42.4465,42.9288,41.4818,42.8323,2241390,44.4000,1000000
2018-03-01,41.7711,42.4464,41.6747,42.3982,2739770,43.9500,0
2018-03-02,41.9641,42.0123,41.6747,42.0123,1808640,43.5500,0
2018-03-05,42.0605,42.1570,41.3853,41.4818,2578830,43.0000,0
2018-03-06,41.4818,42.0124,41.2889,41.6747,2479350,43.2000,200000
2018-03-07,41.6747,42.3500,40.7100,40.9994,1357460,42.5000,1692646
2018-03-08,41.4817,41.9641,40.3241,40.9994,2182740,42.5000,0
