Year,Quarter,1. Cash from sales and provide services andother revenue,2. Cash paid to suppliers of goodsand services,3. Cash payments to employees,4. Interest payments,5. Cash paid for corporate incometax,6. Proceeds from business,7. Cash for other business activities,8. Accumulated depreciation,Net cash inflows(outflows) from operating activities,1. Purchases of fixed assets and other long term assets,2. Proceeds from disposal of fixed assets,"3. Loans granted, purchases of debt instruments",4. ,5. Investments in other entities,6. Proceeds from divestment in other entities,7. Dividends and interest received,Net cash inflows/(outflows) from investing activities,1. Proceeds from issue of shares,2. Payments for share returns and repurchases,3. Proceeds from borrowings,4. Repayment of borrowings,5. Finance lease principal payments,6. Dividends paid,7. Interest received,Net cash inflows/(outflows) from financing activities,Net increase in cash and cash equivalents,Cash and cash equivalents at the beginning period,Effect of foreign exchange differences,Cash and cash equivalents at the end of period
2008,0,52334676519,-42607476570,-7538288940,-6772100789,0,975281384,-26882289575,0,-30490197971,-3949606889,975281384,0,0,0,0,0,-2974325505,0,0,21580000000,-10998000000,-5228485992,-9405147,0,5344108861,-28120414615,29790503604,0,1670088989
2009,0,69174797229,-93546865049,-9778516261,-5772068636,0,4859440344,0,12129220108,-35063212373,-61958310236,7071428716,0,0,0,0,73378253,-54813503267,20000000000,0,109305754655,-24096266667,-5819227051,0,0,99390260937,9513545297,1670088989,0,11183634286
2010,0,111763569906,-110009217407,-15468498862,-10891125290,-1771967424,1592000000,-1353527325,16707506284,-26138766402,-11287532590,351818182,107887000000,-95195109000,-2440000000,0,1892855683,1209032275,52000000000,-2819118330,17906098158,-44110222646,-4090166629,0,0,18886590553,-6043143574,11183634286,0,5140490712
2011,0,146164398913,-101296590643,-24940379600,-23362415414,-1102585119,5057992200,-577229616,18430780239,-56809279,-37726790511,3919981817,-8200000000,20941891000,-9925020039,0,1341153530,-29648784203,0,-2969294450,109665431326,-70166116067,-7001915065,0,0,29528105744,-177487738,5140490712,0,4963002974
2012,0,159128163888,-97060155860,-33099479554,-25235680843,0,21000000,-372100000,23270053561,3381747631,-24575552862,10162727244,0,0,-3907554000,6500000000,16339577,-11804040041,0,0,100304364010,-85551527339,-8110470104,0,0,6642366567,-1779925843,4963002974,0,3183077131
2013,0,158741546178,-105745411190,-29610393966,-18912801232,0,15686398200,-2252442315,23650960524,17906895675,-1806280386,12974630913,0,0,-15000000000,0,481160070,-3350489403,0,0,96211387819,-99574339155,-10202867462,0,0,-13565818798,990587474,3183077131,0,4173664605
2014,0,171002761866,-120593863872,-29473167500,-15923857765,-194664057,15622119288,-36879781639,21031234741,-16440453679,-7787176311,11553996713,0,15000000000,0,0,2059953175,20826773577,4958800000,0,108385400594,-109472620667,-10383504197,0,0,-6511924270,-2125604372,4173664605,436298,2048496531
2015,0,202232355920,-118347892870,-33193695902,-12476971032,-3746050746,2340054210,-30996936492,21926600887,5810863088,-61657232092,29110000000,0,0,0,0,2592388194,-29954843898,32608320000,0,107234599577,-97820356918,-14836968860,0,0,27185593799,3041612989,2048496531,1892982,5092002502
2016,0,329401690228,-223477960453,-33497126382,-15924766860,-11337208803,439285361,-28224533068,28518056140,17379380023,-112517762175,11454545456,-137100000000,94120000000,-25300000000,0,6969823581,-162373393138,85074550000,0,237435592265,-133181446646,-14066448320,0,0,175262247299,30268234184,5092002502,523837,35360760523
2017,0,304439386985,-179174622904,-39670308720,-18056975070,-11546990565,21469828974,-29893396544,35352075173,47566922156,-58953134977,15182000000,-12855623741,37855623741,0,0,3803578851,-14967556126,0,0,150943703592,-170090238771,-29467077988,-14420062500,0,-63033675667,-30434309637,35360760523,-860441,4925590445
2018,0,292523778881,-144901170470,-40089130700,-17875669157,-2712082793,12542733088,-22320248523,0,77168210326,-62786906000,1880500000,-380000000,0,0,0,1310325088,-59976080912,0,0,139807172393,-136864220525,-19257964000,0,0,-16315012132,877117282,4925590445,789562,5803497289
