disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2010-07-20,stockAlert,listedHnx,Ngày giao dịch đầu tiên trên HNX,2010-07-28,,,Ngày giao dịch đầu tiên trên sàn HNX,,,,
2011-03-16,investorRight,MEETING,Họp cổ đông,2011-03-21,2011-04-23,2011-04-23,ĐHCĐ thường niên 2011,,,,
2012-03-12,investorRight,MEETING,Họp cổ đông,2012-03-16,2012-04-14,2012-04-14,Đại hội đồng cổ đông thường niên 2012,,,,
2013-04-02,investorRight,MEETING,Họp cổ đông,2013-04-03,,,Đại hội đồng cổ đông thường niên năm 2013,,,,
2013-04-04,stockAlert,halt,Kiểm soát đặc biệt (Hạn chế giao dịch),2013-04-04,2013-08-23,,CP thuộc diện kiểm soát,,,,
2014-03-17,investorRight,MEETING,Họp cổ đông,2014-03-26,2014-04-19,2014-04-19,Đại hội cổ đông thường niên năm 2014,,,,
2014-03-25,stockAlert,alert,Cảnh báo,2014-03-26,2014-06-30,,CP thuộc diện cảnh báo,,,,
2014-06-30,stockAlert,nomargin,CP không đủ điều kiện GD ký quỹ,2014-06-30,2015-03-05,,Vì thuộc diện bị cảnh báo,,,,
2014-12-16,investorRight,MEETING,Họp cổ đông,2014-12-22,2015-01-31,2015-01-31,Đại hội cổ đông bất thường năm 2014,,,,
2015-03-27,investorRight,MEETING,Họp cổ đông,2015-04-01,,,ĐHĐCĐ thường niên năm 2015,,,,
2015-05-04,schedEvent,schedIssue,Dự kiến phát hành,,,,Số lượng 8.922.500 CP,,,,
2015-06-11,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2015-06-17,2015-06-19,,"Trả cổ tức năm 2015, Tỷ lệ 100:1.5",,1.5,,2015
2015-06-11,investorRight,KINDDIV,Cổ phiếu thưởng,2015-06-17,2015-06-19,,Tỷ lệ 100:1,,1,,
2015-06-18,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-06-25,,,"Số lượng 3,000,000 cp",,,,
2015-07-13,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2015-07-20,,,"Số lượng 414,910 cp",,,,
2016-01-07,investorRight,ISSUE,Phát hành thêm,2016-01-18,2016-04-01,,"Phát hành 8,507,455 cp cho CĐHH, giá 10000 đ/cp, tỷ lệ 100:50",,50,,
2016-04-27,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2016, tỷ lệ 100:15",,15,,2016
2016-06-07,schedEvent,schedDiv,Dự kiến cổ tức,2016-07-01,2016-07-01,,"Dự kiến trả cổ tức bằng cổ phiếu năm 2015, tỷ lệ 100:13",,13,,2015
2016-06-14,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2016-06-20,,,"Số lượng 8,507,455 cp",,,,
2016-06-23,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2016-07-01,2016-07-04,,"Trả cổ tức năm 2015, Tỷ lệ 100:13",,13,,2015
2016-08-05,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2016-08-12,,,Số lượng 3317760CP,,,,
2016-12-08,investorRight,MEETING,Họp cổ đông,2016-11-24,2016-12-17,2016-12-17,ĐHĐCĐ bất thường năm 2016,,,,
2017-03-30,investorRight,MEETING,Họp cổ đông,2017-03-21,2017-04-08,2017-04-08,ĐHĐCĐ thường niên năm 2017,,,,
2017-08-11,investorRight,DIVIDEND,Cổ tức bằng tiền,2017-08-29,2017-09-28,2017-09-28,Trả cổ tức năm 2016 (500đ/cp),500,5,,2016
2018-04-02,investorRight,MEETING,Họp cổ đông,2018-04-10,2018-04-28,2018-04-28,ĐHĐCĐ thường niên năm 2018,,,,
2018-05-02,schedEvent,schedDiv,Dự kiến cổ tức,,,,Dự kiến trả cổ tức đợt 2/2016 (900 đ/cp),900,9,2,2016
2018-05-02,schedEvent,schedDiv,Dự kiến cổ tức,,,,"Dự kiến trả cổ tức năm 2017 bằng cổ phiếu, tỷ lệ 100:12",,12,,2017
2018-05-02,schedEvent,schedIssue,Dự kiến phát hành,2018-06-28,2018-06-28,,Số lượng 6.056.426 CP,,,,
2018-06-21,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2018-06-28,2018-06-29,,"Trả cổ tức năm 2017, Tỷ lệ 100:12",,12,,2017
2018-06-21,investorRight,STOCKDIV,Cổ tức bằng cổ phiếu,2018-06-28,2018-06-29,,"Trả cổ tức năm 2016, Tỷ lệ 100:9",,9,,2016
2018-08-08,schedEvent,schedUpdate,Dự kiến giao dịch bổ sung,2018-08-14,,,Số lượng 6056229 cp,,,,
2019-03-15,investorRight,MEETING,Họp cổ đông,2019-04-02,,,ĐHĐCĐ thường niên năm 2019,,,,
2020-05-26,investorRight,MEETING,Họp cổ đông,2020-06-05,,,ĐHĐCĐ thường niên năm 2020,,,,
